"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 8, English Learner Status (EL)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","English Learner Status (EL)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","N",76,76,100.0,76,"*","*","*","*","*","*","*","*","*","*","*","*",237
"Amistad Academy District","=""2790013""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","N",302,299,99.0,299,"*","*","*","*","*","*","*","*","*","*","*","*",232
"Area Cooperative Educational Services","=""2440014""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","N",36,36,100.0,36,"*","*","*","*","*","*",24,66.7,"*","*","*","*",260
"Avon School District","=""0040011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",50,49,98.0,49,"*","*","*","*",8,16.3,24,49.0,11,22.4,35,71.4,264
