"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",146,145,99.3,145,42,29.0,36,24.8,40,27.6,"*","*","*","*",27,18.6,207
"Amistad Academy District","=""2790013""","Y",81,81,100.0,81,"*","*","*","*","*","*","*","*","*","*","*","*",218
"Amistad Academy District","=""2790013""","N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Y",126,125,99.2,125,20,16.0,"*","*",47,37.6,23,18.4,"*","*","*","*",221
"Ansonia School District","=""0020011""","N",59,59,100.0,59,12,20.3,"*","*",13,22.0,26,44.1,"*","*","*","*",235
"Area Cooperative Educational Services","=""2440014""","Y",66,64,97.0,64,"*","*",17,26.6,16,25.0,12,18.8,"*","*","*","*",211
"Area Cooperative Educational Services","=""2440014""","N",32,31,96.9,31,"*","*",6,19.4,8,25.8,14,45.2,"*","*","*","*",242
"Ashford School District","=""0030011""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","N",28,28,100.0,28,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",286
"Avon School District","=""0040011""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",254,254,100.0,254,0,0.0,"*","*","*","*","*","*","*","*","*","*",285
"Barkhamsted School District","=""0050011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Y",34,34,100.0,34,"*","*",8,23.5,9,26.5,14,41.2,"*","*","*","*",243
"Berlin School District","=""0070011""","N",215,214,99.5,214,"*","*",10,4.7,40,18.7,106,49.5,"*","*","*","*",273
"Bethany School District","=""0080011""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","N",53,50,94.3,50,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",291
"Bethel School District","=""0090011""","Y",51,51,100.0,51,"*","*","*","*",11,21.6,21,41.2,13,25.5,34,66.7,264
"Bethel School District","=""0090011""","N",162,161,99.4,161,"*","*","*","*",18,11.2,70,43.5,66,41.0,136,84.5,289
"Bloomfield School District","=""0110011""","Y",65,65,100.0,65,"*","*","*","*",23,35.4,17,26.2,0,0.0,17,26.2,222
"Bloomfield School District","=""0110011""","N",59,59,100.0,59,"*","*",9,15.3,21,35.6,20,33.9,"*","*","*","*",237
"Bolton School District","=""0120011""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",59,57,96.6,57,"*","*","*","*","*","*","*","*","*","*","*","*",278
"Bozrah School District","=""0130011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","N",23,23,100.0,23,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",281
