"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 8, All Students"

"",,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",65,64,98.5,64,16,25.0,9,14.1,13,20.3,20,31.3,6,9.4,26,40.6,232
"Amistad Academy District","=""2790013""",82,82,100.0,82,15,18.3,"*","*",28,34.1,27,32.9,"*","*","*","*",235
"Ansonia School District","=""0020011""",187,187,100.0,187,56,29.9,"*","*",51,27.3,46,24.6,"*","*","*","*",222
"Area Cooperative Educational Services","=""2440014""",316,313,99.1,313,89,28.4,42,13.4,67,21.4,97,31.0,18,5.8,115,36.7,230
"Ashford School District","=""0030011""",36,36,100.0,36,"*","*","*","*","*","*",24,66.7,"*","*","*","*",260
"Avon School District","=""0040011""",275,272,98.9,272,15,5.5,10,3.7,24,8.8,133,48.9,90,33.1,223,82.0,279
"Berlin School District","=""0070011""",216,216,100.0,216,12,5.6,11,5.1,27,12.5,111,51.4,55,25.5,166,76.9,270
"Bethel School District","=""0090011""",216,214,99.1,214,"*","*","*","*",41,19.2,116,54.2,40,18.7,156,72.9,266
"Bloomfield School District","=""0110011""",129,129,100.0,129,26,20.2,12,9.3,32,24.8,48,37.2,11,8.5,59,45.7,241
"Bolton School District","=""0120011""",50,49,98.0,49,"*","*","*","*",8,16.3,24,49.0,11,22.4,35,71.4,264
"Bozrah School District","=""0130011""",22,21,95.5,21,0,0.0,0,0.0,"*","*",12,57.1,"*","*","*","*",273
"Branford School District","=""0140011""",241,238,98.8,238,16,6.7,16,6.7,34,14.3,129,54.2,43,18.1,172,72.3,265
"Bridgeport Achievement First District","=""2850013""",91,90,98.9,90,20,22.2,"*","*",23,25.6,24,26.7,"*","*","*","*",230
"Bridgeport School District","=""0150011""",1452,1425,98.1,1425,637,44.7,241,16.9,244,17.1,274,19.2,29,2.0,303,21.3,211
"Bristol School District","=""0170011""",564,556,98.6,556,61,11.0,42,7.6,105,18.9,264,47.5,84,15.1,348,62.6,256
"Brookfield School District","=""0180011""",201,199,99.0,199,13,6.5,8,4.0,16,8.0,93,46.7,69,34.7,162,81.4,277
"Brooklyn School District","=""0190011""",108,106,98.1,106,"*","*","*","*",10,9.4,64,60.4,24,22.6,88,83.0,274
"Canaan School District","=""0210011""",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""",63,63,100.0,63,"*","*","*","*",11,17.5,44,69.8,"*","*","*","*",255
"Canton School District","=""0230011""",140,140,100.0,140,"*","*","*","*",17,12.1,82,58.6,32,22.9,114,81.4,273
"Capital Preparatory Harbor School Inc. District","=""2970013""",38,38,100.0,38,12,31.6,7,18.4,8,21.1,11,28.9,0,0.0,11,28.9,223
"Capitol Region Education Council","=""2410014""",649,644,99.2,644,97,15.1,70,10.9,112,17.4,260,40.4,105,16.3,365,56.7,251
"Cheshire School District","=""0250011""",355,352,99.2,352,11,3.1,17,4.8,37,10.5,188,53.4,99,28.1,287,81.5,277
"Clinton School District","=""0270011""",160,159,99.4,159,9,5.7,9,5.7,23,14.5,78,49.1,40,25.2,118,74.2,271
