"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, Special Education Status (SWD)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Special Education Status (SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","N",132,131,99.2,131,"*","*","*","*","*","*","*","*","*","*","*","*",210
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","N",85,85,100.0,85,"*","*","*","*","*","*","*","*","*","*","*","*",228
"Amistad Academy District","=""2790013""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","N",162,162,100.0,162,20,12.3,"*","*","*","*","*","*","*","*","*","*",230
"Ansonia School District","=""0020011""","Y",23,22,95.7,22,12,54.5,"*","*","*","*","*","*","*","*","*","*",193
"Area Cooperative Educational Services","=""2440014""","N",69,69,100.0,69,"*","*",17,24.6,"*","*","*","*","*","*","*","*",234
"Area Cooperative Educational Services","=""2440014""","Y",29,26,89.7,26,"*","*",6,23.1,"*","*","*","*",0,0.0,"*","*",187
"Ashford School District","=""0030011""","N","*","*","*","*",0,0.0,0,0.0,"*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",254,254,100.0,254,"*","*","*","*","*","*","*","*","*","*","*","*",286
"Avon School District","=""0040011""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","N",38,36,94.7,36,0,0.0,"*","*","*","*","*","*","*","*","*","*",281
"Barkhamsted School District","=""0050011""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","N",222,222,100.0,222,"*","*",6,2.7,43,19.4,"*","*","*","*","*","*",275
"Berlin School District","=""0070011""","Y",27,26,96.3,26,"*","*",12,46.2,6,23.1,"*","*","*","*","*","*",220
"Bethany School District","=""0080011""","N",54,51,94.4,51,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",290
"Bethany School District","=""0080011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","N",193,192,99.5,192,0,0.0,"*","*","*","*","*","*","*","*","*","*",288
"Bethel School District","=""0090011""","Y",20,20,100.0,20,"*","*","*","*","*","*","*","*","*","*","*","*",236
"Bloomfield School District","=""0110011""","N",110,110,100.0,110,"*","*","*","*","*","*","*","*","*","*","*","*",235
"Bloomfield School District","=""0110011""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",58,57,98.3,57,"*","*",0,0.0,"*","*","*","*","*","*","*","*",290
