"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, Gender"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Gender","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","F",22,21,95.5,21,"*","*","*","*","*","*","*","*",0,0.0,"*","*",210
"Achievement First Hartford Academy Inc. District","=""2880013""","M",20,18,90.0,18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","F",33,33,100.0,33,6,18.2,"*","*",14,42.4,"*","*",0,0.0,"*","*",213
"Amistad Academy District","=""2790013""","M",25,25,100.0,25,7,28.0,"*","*",10,40.0,"*","*","*","*","*","*",218
"Ansonia School District","=""0020011""","F",80,78,97.5,78,22,28.2,13,16.7,30,38.5,"*","*","*","*",13,16.7,221
"Ansonia School District","=""0020011""","M",85,82,96.5,81,24,29.6,17,21.0,28,34.6,"*","*","*","*",12,14.8,219
"Area Cooperative Educational Services","=""2440014""","F",8,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","M",23,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","F",138,137,99.3,137,"*","*","*","*",26,19.0,38,27.7,66,48.2,104,75.9,290
"Avon School District","=""0040011""","M",149,148,99.3,147,"*","*","*","*",32,21.8,34,23.1,70,47.6,104,70.7,289
"Berlin School District","=""0070011""","F",103,101,98.1,101,"*","*","*","*",33,32.7,22,21.8,34,33.7,56,55.4,269
"Berlin School District","=""0070011""","M",112,111,99.1,111,"*","*","*","*",34,30.6,29,26.1,36,32.4,65,58.6,272
"Bethel School District","=""0090011""","F",94,93,98.9,93,"*","*","*","*",23,24.7,24,25.8,37,39.8,61,65.6,279
"Bethel School District","=""0090011""","M",101,100,99.0,100,"*","*","*","*",29,29.0,23,23.0,39,39.0,62,62.0,279
"Bloomfield School District","=""0110011""","F",67,66,98.5,66,8,12.1,9,13.6,27,40.9,14,21.2,8,12.1,22,33.3,243
"Bloomfield School District","=""0110011""","M",80,77,96.3,76,14,18.4,19,25.0,21,27.6,16,21.1,6,7.9,22,28.9,232
"Bolton School District","=""0120011""","F",43,43,100.0,43,"*","*","*","*",15,34.9,16,37.2,9,20.9,25,58.1,271
"Bolton School District","=""0120011""","M",35,35,100.0,35,"*","*","*","*",12,34.3,13,37.1,8,22.9,21,60.0,272
"Branford School District","=""0140011""","F",119,116,97.5,116,"*","*","*","*",46,39.7,20,17.2,37,31.9,57,49.1,270
"Branford School District","=""0140011""","M",99,93,93.9,93,"*","*","*","*",27,29.0,29,31.2,24,25.8,53,57.0,264
"Bridgeport Achievement First District","=""2850013""","F",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","M",24,24,100.0,23,"*","*","*","*","*","*","*","*",0,0.0,"*","*",198
"Bridgeport School District","=""0150011""","F",684,600,87.7,577,199,34.5,136,23.6,168,29.1,50,8.7,24,4.2,74,12.8,212
"Bridgeport School District","=""0150011""","M",785,674,85.9,640,240,37.5,127,19.8,143,22.3,66,10.3,64,10.0,130,20.3,217
"Bristol School District","=""0170011""","F",280,270,96.4,270,25,9.3,25,9.3,108,40.0,64,23.7,48,17.8,112,41.5,254
"Bristol School District","=""0170011""","M",281,271,96.4,271,30,11.1,38,14.0,89,32.8,52,19.2,62,22.9,114,42.1,255
"Brookfield School District","=""0180011""","F",124,122,98.4,122,0,0.0,"*","*",40,32.8,"*","*",50,41.0,"*","*",284
"Brookfield School District","=""0180011""","M",100,98,98.0,97,0,0.0,"*","*","*","*",34,35.1,35,36.1,69,71.1,286
"Brooklyn School District","=""0190011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","F",69,67,97.1,67,"*","*","*","*","*","*",25,37.3,30,44.8,55,82.1,291
"Canton School District","=""0230011""","M",57,55,96.5,55,"*","*","*","*","*","*",14,25.5,34,61.8,48,87.3,305
"Capital Preparatory Harbor School Inc. District","=""2970013""","F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","M",21,20,95.2,20,"*","*","*","*","*","*",0,0.0,0,0.0,0,0.0,200
"Capitol Region Education Council","=""2410014""","F",328,320,97.6,317,49,15.5,70,22.1,116,36.6,43,13.6,39,12.3,82,25.9,236
"Capitol Region Education Council","=""2410014""","M",305,285,93.4,281,58,20.6,59,21.0,74,26.3,40,14.2,50,17.8,90,32.0,240
"Cheshire School District","=""0250011""","F",153,151,98.7,150,"*","*","*","*",49,32.7,46,30.7,45,30.0,91,60.7,277
"Cheshire School District","=""0250011""","M",192,189,98.4,187,"*","*","*","*",40,21.4,62,33.2,78,41.7,140,74.9,288
"Clinton School District","=""0270011""","F",70,69,98.6,69,"*","*","*","*",14,20.3,22,31.9,22,31.9,44,63.8,270
"Clinton School District","=""0270011""","M",62,59,95.2,59,"*","*","*","*",11,18.6,12,20.3,24,40.7,36,61.0,266
"Colchester School District","=""0280011""","F",108,106,98.1,106,"*","*","*","*",33,31.1,25,23.6,40,37.7,65,61.3,278
"Colchester School District","=""0280011""","M",113,112,99.1,111,"*","*","*","*",24,21.6,25,22.5,47,42.3,72,64.9,275
"Columbia School District","=""0300011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","F",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","M",35,32,91.4,32,"*","*","*","*","*","*","*","*","*","*","*","*",233
"Connecticut Technical High School System","=""9000016""","F",1073,1071,99.8,1070,90,8.4,215,20.1,562,52.5,134,12.5,69,6.4,203,19.0,235
"Connecticut Technical High School System","=""9000016""","M",1613,1609,99.8,1607,115,7.2,239,14.9,670,41.7,321,20.0,262,16.3,583,36.3,250
"Cooperative Educational Services","=""2430014""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
