"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, All Students"

"",,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",42,39,92.9,39,10,25.6,9,23.1,13,33.3,"*","*","*","*",7,17.9,220
"Amistad Academy District","=""2790013""",58,58,100.0,58,13,22.4,17,29.3,24,41.4,"*","*","*","*","*","*",215
"Ansonia School District","=""0020011""",165,160,97.0,159,46,28.9,30,18.9,58,36.5,14,8.8,11,6.9,25,15.7,220
"Area Cooperative Educational Services","=""2440014""",31,23,74.2,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",287,285,99.3,284,7,2.5,11,3.9,58,20.4,72,25.4,136,47.9,208,73.2,290
"Berlin School District","=""0070011""",215,212,98.6,212,6,2.8,18,8.5,67,31.6,51,24.1,70,33.0,121,57.1,271
"Bethel School District","=""0090011""",195,193,99.0,193,7,3.6,11,5.7,52,26.9,47,24.4,76,39.4,123,63.7,279
"Bloomfield School District","=""0110011""",147,143,97.3,142,22,15.5,28,19.7,48,33.8,30,21.1,14,9.9,44,31.0,237
"Bolton School District","=""0120011""",78,78,100.0,78,"*","*","*","*",27,34.6,29,37.2,17,21.8,46,59.0,271
"Branford School District","=""0140011""",218,209,95.9,209,10,4.8,16,7.7,73,34.9,49,23.4,61,29.2,110,52.6,267
"Bridgeport Achievement First District","=""2850013""",42,42,100.0,41,16,39.0,11,26.8,10,24.4,"*","*","*","*","*","*",201
"Bridgeport School District","=""0150011""",1469,1274,86.7,1217,439,36.1,263,21.6,311,25.6,116,9.5,88,7.2,204,16.8,215
"Bristol School District","=""0170011""",561,541,96.4,541,55,10.2,63,11.6,197,36.4,116,21.4,110,20.3,226,41.8,254
"Brookfield School District","=""0180011""",224,220,98.2,219,0,0.0,7,3.2,65,29.7,62,28.3,85,38.8,147,67.1,285
"Brooklyn School District","=""0190011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""",126,122,96.8,122,"*","*","*","*",14,11.5,39,32.0,64,52.5,103,84.4,298
"Capital Preparatory Harbor School Inc. District","=""2970013""",38,37,97.4,37,11,29.7,16,43.2,"*","*","*","*",0,0.0,"*","*",200
"Capitol Region Education Council","=""2410014""",633,605,95.6,598,107,17.9,129,21.6,190,31.8,83,13.9,89,14.9,172,28.8,238
"Cheshire School District","=""0250011""",345,340,98.6,337,"*","*","*","*",89,26.4,108,32.0,123,36.5,231,68.5,283
"Clinton School District","=""0270011""",132,128,97.0,128,13,10.2,10,7.8,25,19.5,34,26.6,46,35.9,80,62.5,268
"Colchester School District","=""0280011""",221,218,98.6,217,7,3.2,16,7.4,57,26.3,50,23.0,87,40.1,137,63.1,277
"Columbia School District","=""0300011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""",50,46,92.0,46,8,17.4,10,21.7,13,28.3,8,17.4,7,15.2,15,32.6,242
"Connecticut Technical High School System","=""9000016""",2686,2680,99.8,2677,205,7.7,454,17.0,1232,46.0,455,17.0,331,12.4,786,29.4,244
"Cooperative Educational Services","=""2430014""",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""",116,115,99.1,114,6,5.3,6,5.3,34,29.8,17,14.9,51,44.7,68,59.6,284
"Cromwell School District","=""0330011""",147,146,99.3,146,6,4.1,10,6.8,58,39.7,39,26.7,33,22.6,72,49.3,265
"Danbury School District","=""0340011""",729,715,98.1,714,155,21.7,132,18.5,240,33.6,121,16.9,66,9.2,187,26.2,231
"Darien School District","=""0350011""",352,337,95.7,336,"*","*","*","*",64,19.0,90,26.8,172,51.2,262,78.0,296
"Derby School District","=""0370011""",80,78,97.5,78,14,17.9,15,19.2,24,30.8,14,17.9,11,14.1,25,32.1,237
"East Granby School District","=""0400011""",59,57,96.6,57,"*","*","*","*",10,17.5,17,29.8,28,49.1,45,78.9,291
"East Haddam School District","=""0410011""",86,84,97.7,84,"*","*","*","*",38,45.2,12,14.3,24,28.6,36,42.9,264
"East Hampton School District","=""0420011""",109,108,99.1,107,"*","*","*","*",31,29.0,24,22.4,43,40.2,67,62.6,279
"East Hartford School District","=""0430011""",484,438,90.5,433,82,18.9,91,21.0,150,34.6,67,15.5,43,9.9,110,25.4,232
"East Haven School District","=""0440011""",227,220,96.9,220,9,4.1,39,17.7,104,47.3,48,21.8,20,9.1,68,30.9,246
"East Lyme School District","=""0450011""",287,284,99.0,283,"*","*","*","*",69,24.4,77,27.2,123,43.5,200,70.7,289
"East Windsor School District","=""0470011""",90,88,97.8,88,6,6.8,6,6.8,33,37.5,24,27.3,19,21.6,43,48.9,256
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",95,86,90.5,85,15,17.6,12,14.1,38,44.7,13,15.3,7,8.2,20,23.5,235
"Education Connection","=""2420014""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""",179,178,99.4,178,"*","*","*","*",48,27.0,60,33.7,60,33.7,120,67.4,278
