"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, English Learner Status (EL)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","English Learner Status (EL)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","N",146,145,99.3,145,42,29.0,36,24.8,40,27.6,"*","*","*","*",27,18.6,207
"Amistad Academy District","=""2790013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","N",44,43,97.7,43,0,0.0,"*","*","*","*",20,46.5,19,44.2,39,90.7,296
"Ansonia School District","=""0020011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","N",98,95,96.9,95,"*","*",23,24.2,24,25.3,26,27.4,"*","*","*","*",221
"Ashford School District","=""0030011""","N",39,39,100.0,39,"*","*",0,0.0,"*","*",19,48.7,15,38.5,34,87.2,285
"Avon School District","=""0040011""","N",265,265,100.0,265,"*","*","*","*","*","*","*","*","*","*","*","*",283
"Avon School District","=""0040011""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","N",47,45,95.7,45,"*","*","*","*",7,15.6,25,55.6,8,17.8,33,73.3,270
"Berlin School District","=""0070011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","N",204,203,99.5,203,"*","*","*","*","*","*","*","*","*","*","*","*",285
"Bethel School District","=""0090011""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",69,67,97.1,67,7,10.4,"*","*","*","*",30,44.8,23,34.3,53,79.1,275
"Bozrah School District","=""0130011""","N",29,29,100.0,29,0,0.0,0,0.0,"*","*",20,69.0,"*","*","*","*",279
"Branford School District","=""0140011""","N",216,215,99.5,215,"*","*","*","*","*","*","*","*","*","*","*","*",263
"Branford School District","=""0140011""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","N",79,79,100.0,79,"*","*","*","*","*","*","*","*","*","*","*","*",217
"Bridgeport Achievement First District","=""2850013""","Y",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","N",1367,1359,99.4,1359,339,24.9,360,26.5,364,26.8,259,19.1,37,2.7,296,21.8,214
"Bridgeport School District","=""0150011""","Y",199,198,99.5,198,115,58.1,47,23.7,27,13.6,9,4.5,0,0.0,9,4.5,181
"Bristol School District","=""0170011""","N",617,615,99.7,615,"*","*",72,11.7,121,19.7,"*","*",93,15.1,"*","*",258
"Bristol School District","=""0170011""","Y",29,29,100.0,29,10,34.5,"*","*",10,34.5,"*","*",0,0.0,"*","*",203
"Brookfield School District","=""0180011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
