"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 8, Special Education Status (SWD)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Special Education Status (SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","N",58,58,100.0,58,"*","*","*","*","*","*","*","*","*","*","*","*",239
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","N",159,159,100.0,159,40,25.2,26,16.4,"*","*","*","*","*","*","*","*",226
"Ansonia School District","=""0020011""","Y",28,28,100.0,28,16,57.1,6,21.4,"*","*","*","*",0,0.0,"*","*",200
"Area Cooperative Educational Services","=""2440014""","N",250,250,100.0,250,40,16.0,"*","*","*","*","*","*","*","*","*","*",240
"Area Cooperative Educational Services","=""2440014""","Y",66,63,95.5,63,49,77.8,"*","*","*","*","*","*","*","*","*","*",190
"Ashford School District","=""0030011""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",246,243,98.8,243,"*","*","*","*",17,7.0,127,52.3,90,37.0,217,89.3,286
"Avon School District","=""0040011""","Y",29,29,100.0,29,9,31.0,"*","*",7,24.1,"*","*",0,0.0,"*","*",219
"Berlin School District","=""0070011""","N",187,187,100.0,187,"*","*","*","*",19,10.2,"*","*","*","*","*","*",277
"Berlin School District","=""0070011""","Y",29,29,100.0,29,"*","*","*","*",8,27.6,"*","*","*","*","*","*",222
"Bethel School District","=""0090011""","N",194,194,100.0,194,"*","*","*","*",33,17.0,"*","*",40,20.6,"*","*",271
"Bethel School District","=""0090011""","Y",22,20,90.9,20,"*","*","*","*",8,40.0,"*","*",0,0.0,"*","*",224
"Bloomfield School District","=""0110011""","N",116,116,100.0,116,"*","*","*","*","*","*","*","*","*","*","*","*",245
"Bloomfield School District","=""0110011""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",43,43,100.0,43,"*","*","*","*","*","*","*","*","*","*","*","*",268
"Bolton School District","=""0120011""","Y",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","N",214,212,99.1,212,10,4.7,"*","*","*","*",122,57.5,43,20.3,165,77.8,270
"Branford School District","=""0140011""","Y",27,26,96.3,26,"*","*",8,30.8,"*","*",7,26.9,0,0.0,7,26.9,223
"Bridgeport Achievement First District","=""2850013""","N",81,80,98.8,80,"*","*","*","*","*","*","*","*","*","*","*","*",235
"Bridgeport Achievement First District","=""2850013""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","N",1217,1201,98.7,1201,460,38.3,210,17.5,233,19.4,"*","*","*","*","*","*",217
"Bridgeport School District","=""0150011""","Y",235,224,95.3,224,177,79.0,31,13.8,"*","*","*","*",0,0.0,"*","*",180
"Bristol School District","=""0170011""","N",467,463,99.1,463,"*","*",26,5.6,96,20.7,242,52.3,"*","*","*","*",265
"Bristol School District","=""0170011""","Y",97,93,95.9,93,44,47.3,16,17.2,"*","*",22,23.7,"*","*","*","*",211
"Brookfield School District","=""0180011""","N",174,172,98.9,172,"*","*","*","*","*","*",84,48.8,"*","*","*","*",284
"Brookfield School District","=""0180011""","Y",27,27,100.0,27,"*","*","*","*","*","*",9,33.3,"*","*","*","*",229
"Brooklyn School District","=""0190011""","N",98,97,99.0,97,"*","*","*","*","*","*","*","*","*","*","*","*",279
"Brooklyn School District","=""0190011""","Y",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","N",120,120,100.0,120,"*","*","*","*",10,8.3,74,61.7,32,26.7,106,88.3,280
"Canton School District","=""0230011""","Y",20,20,100.0,20,"*","*","*","*",7,35.0,8,40.0,0,0.0,8,40.0,236
"Capital Preparatory Harbor School Inc. District","=""2970013""","N","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","N",567,564,99.5,564,"*","*",60,10.6,104,18.4,245,43.4,"*","*","*","*",258
"Capitol Region Education Council","=""2410014""","Y",82,80,97.6,80,45,56.3,10,12.5,"*","*",15,18.8,"*","*","*","*",206
"Cheshire School District","=""0250011""","N",330,328,99.4,328,"*","*","*","*","*","*",179,54.6,"*","*","*","*",280
"Cheshire School District","=""0250011""","Y",25,24,96.0,24,"*","*","*","*","*","*",9,37.5,"*","*","*","*",239
"Clinton School District","=""0270011""","N",145,144,99.3,144,"*","*","*","*","*","*","*","*","*","*","*","*",276
"Clinton School District","=""0270011""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","N",170,170,100.0,170,"*","*",6,3.5,"*","*",93,54.7,51,30.0,144,84.7,281
"Colchester School District","=""0280011""","Y",22,21,95.5,21,"*","*",7,33.3,"*","*",8,38.1,0,0.0,8,38.1,237
"Columbia School District","=""0300011""","N",50,50,100.0,50,0,0.0,"*","*","*","*","*","*","*","*","*","*",268
"Columbia School District","=""0300011""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","N",22,22,100.0,22,0,0.0,"*","*","*","*",14,63.6,"*","*","*","*",268
"Cooperative Educational Services","=""2430014""","Y",31,31,100.0,31,14,45.2,"*","*","*","*",7,22.6,0,0.0,7,22.6,212
"Cornwall School District","=""0310011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","N",123,122,99.2,122,"*","*","*","*","*","*","*","*","*","*","*","*",278
"Coventry School District","=""0320011""","Y",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","=""0330011""","N",130,130,100.0,130,"*","*","*","*","*","*","*","*","*","*","*","*",269
"Cromwell School District","=""0330011""","Y",13,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","N",709,706,99.6,706,102,14.4,"*","*",176,24.9,300,42.5,"*","*","*","*",242
"Danbury School District","=""0340011""","Y",96,94,97.9,94,58,61.7,15,16.0,"*","*",13,13.8,"*","*","*","*",199
"Darien School District","=""0350011""","N",316,314,99.4,314,0,0.0,"*","*","*","*",136,43.3,166,52.9,302,96.2,300
"Darien School District","=""0350011""","Y",57,55,96.5,55,"*","*","*","*",10,18.2,25,45.5,10,18.2,35,63.6,258
"Derby School District","=""0370011""","N",86,86,100.0,86,"*","*","*","*","*","*","*","*","*","*","*","*",237
"Derby School District","=""0370011""","Y",13,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","N",55,55,100.0,55,"*","*","*","*","*","*","*","*","*","*","*","*",272
"East Granby School District","=""0400011""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","N",92,89,96.7,89,0,0.0,"*","*","*","*","*","*","*","*","*","*",265
"East Haddam School District","=""0410011""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","N",134,133,99.3,133,0,0.0,"*","*","*","*","*","*","*","*","*","*",276
"East Hampton School District","=""0420011""","Y",14,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","N",404,401,99.3,401,108,26.9,62,15.5,"*","*","*","*",31,7.7,"*","*",234
"East Hartford School District","=""0430011""","Y",88,83,94.3,83,64,77.1,12,14.5,"*","*","*","*",0,0.0,"*","*",186
"East Haven School District","=""0440011""","N",210,207,98.6,207,34,16.4,"*","*",49,23.7,"*","*",10,4.8,"*","*",240
"East Haven School District","=""0440011""","Y",39,37,94.9,37,23,62.2,"*","*",7,18.9,"*","*",0,0.0,"*","*",198
"East Lyme School District","=""0450011""","N",193,193,100.0,193,0,0.0,"*","*","*","*","*","*",43,22.3,"*","*",276
