"CMT/CAPT Science Assessment, 2015-16"
"State of Connecticut, All Grades, Race/Ethnicity"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","Grade","Race/Ethnicity","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"State of Connecticut",05,"American Indian or Alaska Native",112,112,100.0,112,"*","*",16,14.3,26,23.2,46,41.1,"*","*","*","*",248
"State of Connecticut",05,"Asian",2014,2009,99.8,2009,93,4.6,119,5.9,276,13.7,820,40.8,701,34.9,1521,75.7,279
"State of Connecticut",05,"Black or African American",4845,4815,99.4,4815,1076,22.3,1122,23.3,1243,25.8,1144,23.8,230,4.8,1374,28.5,221
"State of Connecticut",05,"Hispanic/Latino of any race",9218,9173,99.5,9172,1848,20.1,1840,20.1,2321,25.3,2586,28.2,577,6.3,3163,34.5,227
"State of Connecticut",05,"Native Hawaiian or Other Pacific Islander",42,41,97.6,41,"*","*",9,22.0,9,22.0,14,34.1,"*","*","*","*",254
"State of Connecticut",05,"Two or More Races",1001,991,99.0,990,51,5.2,106,10.7,205,20.7,392,39.6,236,23.8,628,63.4,264
"State of Connecticut",05,"White",22119,21969,99.3,21969,706,3.2,1339,6.1,3384,15.4,10362,47.2,6178,28.1,16540,75.3,274
"State of Connecticut",08,"American Indian or Alaska Native",99,98,99.0,98,28,28.6,"*","*",23,23.5,32,32.7,"*","*","*","*",238
"State of Connecticut",08,"Asian",1934,1925,99.5,1925,125,6.5,89,4.6,188,9.8,911,47.3,612,31.8,1523,79.1,277
"State of Connecticut",08,"Black or African American",5147,5088,98.9,5088,1684,33.1,857,16.8,1088,21.4,1259,24.7,200,3.9,1459,28.7,223
"State of Connecticut",08,"Hispanic/Latino of any race",8637,8525,98.7,8523,2691,31.6,1210,14.2,1756,20.6,2472,29.0,394,4.6,2866,33.6,226
"State of Connecticut",08,"Native Hawaiian or Other Pacific Islander",26,26,100.0,26,6,23.1,"*","*",7,26.9,10,38.5,"*","*","*","*",243
"State of Connecticut",08,"Two or More Races",933,923,98.9,923,101,10.9,69,7.5,149,16.1,433,46.9,171,18.5,604,65.4,260
"State of Connecticut",08,"White",23350,23120,99.0,23117,1299,5.6,1322,5.7,3106,13.4,12072,52.2,5318,23.0,17390,75.2,269
"State of Connecticut",10,"American Indian or Alaska Native",127,120,94.5,120,18,15.0,"*","*",38,31.7,"*","*",25,20.8,"*","*",245
"State of Connecticut",10,"Asian",1943,1915,98.6,1914,101,5.3,133,6.9,419,21.9,409,21.4,852,44.5,1261,65.9,285
"State of Connecticut",10,"Black or African American",5460,5068,92.8,5012,1286,25.7,1263,25.2,1636,32.6,531,10.6,296,5.9,827,16.5,220
"State of Connecticut",10,"Hispanic/Latino of any race",8544,7986,93.5,7878,2083,26.4,1653,21.0,2571,32.6,893,11.3,678,8.6,1571,19.9,224
"State of Connecticut",10,"Native Hawaiian or Other Pacific Islander",46,46,100.0,46,"*","*","*","*",18,39.1,8,17.4,9,19.6,17,37.0,248
"State of Connecticut",10,"Two or More Races",864,831,96.2,830,64,7.7,106,12.8,272,32.8,150,18.1,238,28.7,388,46.7,262
"State of Connecticut",10,"White",24411,23863,97.8,23807,946,4.0,1613,6.8,6631,27.9,5931,24.9,8686,36.5,14617,61.4,277

