"Educator Race/Ethnicity Report for 2007-08"

"District","School","Race","Count","% of Total"
"Amistad Academy District","Amistad Academy","White",29,67.4
="Andover School District",="Andover Elementary School",="White",35,100.0
="Ansonia School District",="Ansonia High School",="White",51,96.2
,="Ansonia Middle School",="White",49,94.2
,="Mead School",="White",40,90.9
,="Prendergast School",="White",53,100.0
="Area Cooperative Educational Services",="A. C. E. S. Special Education Town Campus Learning Center",="White",5,100.0
,="Collaborative Alternative Magnet School",="White",11,84.6
,="Mill Road School",="White",30,90.9
,="Thomas Edison Magnet Middle School",="White",63,90.0
,="Village School",="White",32,100.0
,="Whitney High School East",="White",21,91.3
,="Whitney High School North",="White",17,94.4
,="Whitney High School West",="White",12,100.0
,="Wintergreen Interdistrict Magnet School",="White",45,90.0
="Ashford School District",="Ashford School",="White",54,100.0
="Avon School District",="Avon High School",="White",85,97.7
,="Avon Middle School",="White",52,98.1
,="Pine Grove School",="White",53,100.0
,="Roaring Brook School",="White",55,98.2
,="Thompson Brook School",="White",48,100.0
="Barkhamsted School District",="Barkhamsted Elementary School",="White",35,100.0
="Berlin School District",="Berlin High School",="White",91,98.9
,="Catherine M. McGee Middle School",="White",71,95.9
,="Emma Hart Willard School",="White",50,100.0
,="Mary E. Griswold School",="White",48,100.0
,="Richard D. Hubbard School",="White",26,100.0
="Bethany School District",="Bethany Community School",="White",53,100.0
="Bethel School District",="Anna H. Rockwell School",="White",41,100.0
,="Bethel High School",="White",98,99.0
,="Bethel Middle School",="White",68,95.8
,="Frank A. Berry School",="White",43,100.0
,="Ralph M. T. Johnson School",="White",41,100.0
="Bloomfield School District",="Bloomfield High School",="White",53,69.7
,="Carmen Arace Intermediate School",="White",40,81.6
,="Carmen Arace Middle School",="White",36,65.5
,="J. P. Vincent School",="White",28,73.7
,="Laurel School",="White",25,78.1
,="Metacomet School",="White",27,90.0
,="The Big Picture High School",="White",6,66.7
="Bolton School District",="Bolton Center School",="White",57,98.3
,="Bolton High School",="White",39,100.0
="Bozrah School District",="Fields Memorial School",="White",28,96.6
="Branford School District",="Branford High School",="White",113,95.8
,="Francis Walsh Intermediate School",="White",104,99.0
,="Indian Neck School",="White",6,100.0
,="John B. Sliney School",="White",36,100.0
,="Mary R. Tisko School",="White",41,100.0
,="Mary T. Murphy School",="White",40,97.6
="Bridgeport Achievement First District",="Achievement First Bridgeport Academy",="White",3,37.5
="Bridgeport School District",="Barnum School",="White",18,66.7
,="Bassick High School",="White",74,75.5
,="Beardsley School",="White",39,84.8
,="Black Rock School",="White",28,80.0
,="Blackham School",="White",74,86.0
,="Bridgeport Learning Center",="White",11,57.9
,="Bridgeport Regional Vocational Aquaculture School",="White",14,87.5
,="Bryant School",="White",31,91.2
,="Central High School",="White",137,77.8
,="Cesar Batalla School",="White",33,42.9
,="Classical Studies Academy",="White",23,79.3
,="Columbus School",="White",49,73.1
,="Cross School",="White",37,82.2
,="Curiale School",="White",34,70.8
,="Dunbar School",="White",21,55.3
,="Edison School",="White",30,85.7
,="Garfield School",="White",20,74.1
,="Geraldine Johnson School",="White",16,76.2
,="Hall School",="White",27,90.0
,="Hallen School",="White",27,81.8
,="Harding High School",="White",77,60.6
,="High Horizons Magnet School",="White",27,77.1
,="Hooker School",="White",31,79.5
,="Jettie S. Tisdale School",="White",23,74.2
,="Longfellow School",="White",24,50.0
,="Luis Munoz Marin School",="White",49,69.0
,="Madison School",="White",46,92.0
,="Make The Grade",="White",6,60.0
,="Maplewood Annex",="White",19,79.2
,="Multicultural Magnet School",="White",27,69.2
,="Park City Academy",="White",7,70.0
,="Park City Magnet School",="White",26,72.2
,="Read School",="White",58,84.1
,="Roosevelt School",="White",42,62.7
,="Skane Center",="White",26,81.3
,="Waltersville School",="White",27,73.0
,="Winthrop School",="White",42,73.7
="Bristol School District",="Bristol Central High School",="White",111,94.9
,="Bristol Eastern High School",="White",103,97.2
,="Chippens Hill Middle School",="White",77,93.9
,="Clara T. O'Connell School",="White",33,91.7
,="Clarence A. Bingham School",="White",26,96.3
,="Edgewood School",="White",33,97.1
,="Ellen P. Hubbell School",="White",38,97.4
,="Greene-Hills School",="White",31,93.9
,="Ivy Drive School",="White",35,100.0
,="John J. Jennings School",="White",29,93.5
,="Memorial Boulevard Middle School",="White",50,100.0
,="Mountain View School",="White",33,100.0
,="Northeast Middle School",="White",51,100.0
,="South Side School",="White",45,91.8
,="Stafford School",="White",41,100.0
="Brookfield School District",="Brookfield High School",="White",80,96.4
,="Center Elementary School",="White",35,100.0
,="Huckleberry Hill Elementary School",="White",48,96.0
,="Whisconier Middle School",="White",76,97.4
="Brooklyn School District",="Brooklyn Elementary School",="White",45,97.8
,="Brooklyn Middle School",="White",42,100.0
="Canaan School District",="Lee H. Kellogg School",="White",18,94.7
="Canterbury School District",="Canterbury Elementary School",="White",24,92.3
,="Dr. Helen Baldwin Middle School",="White",25,96.2
="Canton School District",="Canton High School",="White",53,100.0
,="Canton Intermediate School",="White",37,100.0
,="Canton Middle School",="White",34,97.1
,="Cherry Brook Primary School",="White",40,100.0
="Capitol Region Education Council",="CREC Early Learning Center at Asylum Hill",="White",50,94.3
,="Discovery Academy",="White",9,100.0
,="Farmington Valley Regional Diagnostic Center",="White",2,66.7
,="Glastonbury/East Hartford Magnet School",="White",19,86.4
,="Great Path Academy at MCC",="White",11,84.6
,="Greater Hartford Academy of Math and Science",="White",12,92.3
,="Greater Hartford Academy of the Arts High School - Full Time",="White",3,60.0
,="John J. Allison Polaris Center",="White",13,81.3
,="Metropolitan Learning Center for Global and International Studies",="White",51,82.3
,="Montessori Magnet School",="White",14,63.6
,="Soundbridge",="White",21,100.0
,="Two Rivers Magnet Middle School",="White",52,86.7
,="University of Hartford Magnet School",="White",34,94.4
="Chaplin School District",="Chaplin Elementary School",="White",28,100.0
="Cheshire School District",="Chapman School",="White",32,100.0
,="Cheshire High School",="White",136,95.8
,="Darcey School",="White",29,100.0
,="Dodd Middle School",="White",73,97.3
,="Doolittle School",="White",51,96.2
,="Highland School",="White",77,98.7
,="Humiston School",="White",7,100.0
,="Norton School",="White",47,97.9
="Chester School District",="Chester Elementary School",="White",38,97.4
="Clinton School District",="Abraham Pierson School",="White",32,100.0
,="Jared Eliot School",="White",55,98.2
,="Lewin G. Joel Jr. School",="White",63,100.0
,="The Morgan School",="White",66,98.5
="Colchester School District",="Bacon Academy",="White",89,96.7
,="Colchester Elementary School",="White",57,100.0
,="Jack Jackter Intermediate School",="White",60,100.0
,="William J. Johnston Middle School",="White",72,98.6
="Colebrook School District",="Colebrook Consolidated School",="White",20,100.0
="Columbia School District",="Horace W. Porter School",="White",63,96.9
="Common Ground High School District",="Common Ground High School",="White",13,92.9
="Connecticut Technical High School System",="A. I. Prince Technical High School",="White",69,72.6
,="Bristol Technical Education Center",="White",15,88.2
,="Bullard-Havens Technical High School",="White",83,85.6
,="E. C. Goodwin Technical High School",="White",71,85.5
,="Eli Whitney Technical High School",="White",63,72.4
,="Ella T. Grasso Southeastern Technical High School",="White",68,90.7
,="Emmett O'Brien Technical High School",="White",56,93.3
,="H. C. Wilcox Technical High School",="White",72,87.8
,="H. H. Ellis Technical High School",="White",65,94.2
,="Henry Abbott Technical High School",="White",75,92.6
,="Howell Cheney Technical High School",="White",62,88.6
,="J. M. Wright Technical High School",="White",41,89.1
,="Norwich Technical High School",="White",64,94.1
,="Oliver Wolcott Technical High School",="White",72,96.0
,="Platt Technical High School",="White",78,94.0
,="Vinal Technical High School",="White",76,96.2
,="W. F. Kaynor Technical High School",="White",75,90.4
,="Windham Technical High School",="White",62,93.9
="Cooperative Educational Services",="Academy of the Performing Arts - Part Time",="White",1,100.0
,="C. E. S. Special Education",="White",82,97.6
,="Regional Center for the Arts - Part Time",="White",1,100.0
,="Six-Six Magnet School",="White",40,87.0
="Cornwall School District",="Cornwall Consolidated School",="White",22,100.0
="Coventry School District",="Capt. Nathan Hale School",="White",48,96.0
,="Coventry Early Intervention Services",="White",4,100.0
,="Coventry Grammar School",="White",32,97.0
,="Coventry High School",="White",54,100.0
,="George Hersey Robertson School",="White",41,100.0
="Cromwell School District",="Cromwell High School",="White",62,100.0
,="Cromwell Middle School",="White",48,96.0
,="Edna C. Stevens School",="White",37,97.4
,="Woodside Intermediate School",="White",41,97.6
="Danbury School District",="Alternative Center For Excellence",="White",13,92.9
,="Broadview Middle School",="White",95,96.9
,="Danbury High School",="White",205,91.9
,="Ellsworth Avenue School",="White",34,97.1
,="Great Plain School",="White",27,79.4
,="Hayestown Avenue School",="White",40,97.6
,="King Street Intermediate School",="White",27,90.0
,="King Street Primary School",="White",26,92.9
,="Mill Ridge Educational Center",="White",34,94.4
,="Mill Ridge Primary School",="White",28,100.0
,="Morris Street School",="White",36,94.7
,="Park Avenue School",="White",34,91.9
,="Pembroke School",="White",36,90.0
,="Rogers Park Middle School",="White",83,86.5
,="Shelter Rock School",="White",24,72.7
,="South Street School",="White",32,91.4
,="Stadley Rough School",="White",40,90.9
,="Western CT Academy of International Studies Elementary Magnet School",="White",27,87.1
="Darien School District",="Darien High School",="White",131,95.6
,="Hindley Elementary School",="White",53,100.0
,="Holmes Elementary School",="White",47,97.9
,="Middlesex Middle School",="White",125,99.2
,="Ox Ridge Elementary School",="White",55,96.5
,="Royle Elementary School",="White",41,97.6
,="Tokeneke Elementary School",="White",42,100.0
="Deep River School District",="Deep River Elementary School",="White",43,95.6
="Department of Mental Health and Addiction Services",="Connecticut Valley Hospital",="White",1,100.0
,="Greater Bridgeport Community Mental Health Center",="White",1,100.0
="Derby School District",="Bradley School",="White",36,100.0
,="Derby High School",="White",52,91.2
,="Irving School",="White",39,97.5
="East Granby School District",="Allgrove School",="White",26,100.0
,="East Granby High School",="White",38,97.4
,="East Granby Middle School",="White",33,100.0
,="R. Dudley Seymour School",="White",17,100.0
="East Haddam School District",="East Haddam Elementary School",="White",45,100.0
,="Nathan Hale-Ray High School",="White",41,100.0
,="Nathan Hale-Ray Middle School",="White",42,100.0
="East Hampton School District",="Center School",="White",28,100.0
,="East Hampton High School",="White",52,98.1
,="East Hampton Middle School",="White",43,93.5
,="Memorial School",="White",54,100.0
="East Hartford School District",="Anna E. Norris School",="White",22,84.6
,="Connecticut IB Academy",="White",16,84.2
,="Dr. Franklin H. Mayberry School",="White",28,77.8
,="Dr. John A. Langford School",="White",29,90.6
,="Dr. Thomas S. O'Connell School",="White",28,96.6
,="East Hartford High School",="White",156,89.1
,="East Hartford Middle School",="White",93,91.2
,="Governor William Pitkin School",="White",28,82.4
,="Hockanum School",="White",33,94.3
,="Joseph O. Goodwin School",="White",31,96.9
,="Robert J. O'Brien School",="White",32,88.9
,="Silver Lane School",="White",26,92.9
,="Stevens Alternate High School",="White",10,90.9
,="Sunset Ridge Middle School",="White",40,93.0
,="Willowbrook Early Childhood",="White",23,95.8
,="Woodland School",="White",29,100.0
="East Haven School District",="Carbone School/East Haven Academy",="White",21,100.0
,="D. C. Moore School",="White",25,100.0
,="Deer Run School",="White",32,100.0
,="Dominick H. Ferrara School",="White",24,100.0
,="East Haven High School",="White",93,96.9
,="Grove J. Tuttle School",="White",17,94.4
,="Hays School",="White",15,100.0
,="Joseph Melillo Middle School",="White",47,100.0
,="Momauguin School",="White",25,100.0
,="Overbrook Elementary School",="White",13,92.9
,="Robert W. Carbone School",="White",32,100.0
="East Lyme School District",="East Lyme High School",="White",118,98.3
,="East Lyme Middle School",="White",82,98.8
,="Flanders School",="White",32,100.0
,="Lillie B. Haynes School",="White",34,100.0
,="Niantic Center School",="White",23,100.0
="East Windsor School District",="Broad Brook Elementary School",="White",45,100.0
,="East Windsor High School",="White",44,97.8
,="East Windsor Middle School",="White",39,97.5
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Arts at the Capitol Theater",="White",15,93.8
,="Arts at the Capitol Theater Magnet School (ACT)",="White",6,85.7
,="EastConn Special Education",="White",24,92.3
="Eastford School District",="Eastford Elementary School",="White",18,100.0
="Easton School District",="Helen Keller Middle School",="White",39,97.5
,="Samuel Staples Elementary School",="White",68,100.0
="Ellington School District",="Center School",="White",36,97.3
,="Crystal Lake School",="White",21,100.0
,="Ellington High School",="White",70,95.9
,="Ellington Middle School",="White",42,100.0
,="Windermere Intermediate School",="White",34,97.1
,="Windermere School",="White",35,97.2
="Elm City College Preparatory School",="Elm City College Preparatory School",="White",27,71.1
="Enfield School District",="Edgar H. Parkman School",="White",35,100.0
,="Eli Whitney School",="White",37,94.9
,="Enfield High School",="White",87,95.6
,="Enfield Street School",="White",29,96.7
,="Enrico Fermi High School",="White",103,98.1
,="Harriet Beecher Stowe School",="White",32,97.0
