"Educator Race/Ethnicity Report for 2011-12"

"District","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","White",52,73.2
="Amistad Academy District",="White",79,84.0
="Andover School District",="White",35,100.0
="Ansonia School District",="White",192,95.5
="Area Cooperative Educational Services",="White",251,92.3
="Ashford School District",="White",52,100.0
="Avon School District",="White",293,98.0
="Barkhamsted School District",="White",32,100.0
="Berlin School District",="White",285,98.3
="Bethany School District",="White",52,100.0
="Bethel School District",="White",277,98.2
="Bloomfield School District",="White",197,77.6
="Bolton School District",="White",92,96.8
="Bozrah School District",="White",27,100.0
="Branford School District",="White",313,97.8
="Bridgeport Achievement First District",="White",36,69.2
="Bridgeport School District",="White",1227,74.4
="Bristol School District",="White",666,95.3
="Brookfield School District",="White",239,96.4
="Brooklyn School District",="White",78,98.7
="Canaan School District",="White",24,100.0
="Canterbury School District",="White",49,96.1
="Canton School District",="White",155,98.1
="Capitol Region Education Council",="White",536,83.0
="Chaplin School District",="White",25,100.0
="Charter School for Young Children on Asylum Hill District",="White",13,76.5
="Cheshire School District",="White",384,97.7
="Chester School District",="White",39,100.0
="Clinton School District",="White",199,98.0
="Colchester School District",="White",263,98.1
="Colebrook School District",="White",18,100.0
="Columbia School District",="White",54,98.2
="Common Ground High School District",="White",19,95.0
="Connecticut Technical High School System",="White",1057,88.8
="Cooperative Educational Services",="White",160,93.0
="Cornwall School District",="White",26,100.0
="Coventry School District",="White",170,97.7
="Cromwell School District",="White",178,95.2
="Danbury School District",="White",745,88.8
="Darien School District",="White",479,97.0
="Deep River School District",="White",41,97.6
="Department of Mental Health and Addiction Services",="White",3,100.0
="Department of Social Services",="White",32,97.0
="Derby School District",="White",116,96.7
="East Granby School District",="White",89,97.8
="East Haddam School District",="White",127,100.0
="East Hampton School District",="White",172,98.3
="East Hartford School District",="White",599,89.3
="East Haven School District",="White",295,98.0
="East Lyme School District",="White",274,98.9
="East Windsor School District",="White",123,99.2
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="White",89,95.7
="Eastford School District",="White",21,100.0
="Easton School District",="White",100,99.0
="EdAdvance",="White",29,96.7
="Ellington School District",="White",222,97.8
="Elm City College Preparatory School District",="White",41,75.9
="Enfield School District",="White",495,97.1
="Essex School District",="White",66,97.1
="Explorations District",="White",8,88.9
