"Educator Race/Ethnicity Report for 2013-14"

"District","School","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Black or African American",15,16.5
="Amistad Academy District",="Amistad Academy",="Black or African American",15,12.2
="Ansonia School District",="Mead School",="Black or African American",2,4.0
,="Prendergast School",="Black or African American",1,1.9
="Area Cooperative Educational Services",="Mill Road School",="Black or African American",2,5.9
,="Thomas Edison Magnet Middle School",="Black or African American",1,1.4
,="Whitney High School North",="Black or African American",2,10.5
,="Wintergreen Interdistrict Magnet School",="Black or African American",4,7.5
="Avon School District",="Avon High School",="Black or African American",1,1.0
,="Avon Middle School",="Black or African American",1,1.8
,="Thompson Brook School",="Black or African American",1,1.9
="Bethel School District",="Bethel High School",="Black or African American",1,1.0
="Bloomfield School District",="Bloomfield High School",="Black or African American",21,29.6
,="Carmen Arace Intermediate School",="Black or African American",7,20.6
,="Carmen Arace Middle School",="Black or African American",15,38.5
,="Global Experience Magnet School",="Black or African American",1,3.8
,="Laurel School",="Black or African American",6,16.2
,="Metacomet School",="Black or African American",9,32.1
,="Wintonbury Early Childhood Magnet School",="Black or African American",3,10.3
="Bolton School District",="Bolton High School",="Black or African American",1,2.8
="Branford School District",="Branford High School",="Black or African American",1,0.9
="Bridgeport Achievement First District",="Achievement First Bridgeport Academy",="Black or African American",11,16.2
="Bridgeport School District",="Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",="Black or African American",1,6.3
,="Barnum School",="Black or African American",3,5.0
,="Bassick High School",="Black or African American",8,9.9
,="Beardsley School",="Black or African American",1,2.7
,="Black Rock School",="Black or African American",3,8.8
,="Blackham School",="Black or African American",3,4.0
,="Bridgeport Learning Center",="Black or African American",3,15.8
,="Bryant School",="Black or African American",5,15.2
,="Central High School",="Black or African American",20,15.2
,="Cesar Batalla School",="Black or African American",9,11.3
,="Classical Studies Academy",="Black or African American",10,29.4
,="Columbus School",="Black or African American",13,19.1
,="Cross School",="Black or African American",10,25.6
,="Curiale School",="Black or African American",11,17.7
,="Dunbar School",="Black or African American",7,29.2
,="Edison School",="Black or African American",4,13.3
,="Geraldine Johnson School",="Black or African American",6,9.7
,="Hall School",="Black or African American",5,17.9
,="Hallen School",="Black or African American",5,15.2
,="Harding High School",="Black or African American",16,19.0
,="High Horizons Magnet School",="Black or African American",6,20.7
,="Hooker School",="Black or African American",6,16.2
,="Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus",="Black or African American",2,11.1
,="Interdistrict Discovery Magnet School",="Black or African American",7,17.9
,="Jettie S. Tisdale School",="Black or African American",11,19.0
,="Luis Munoz Marin School",="Black or African American",5,7.7
,="Madison School",="Black or African American",2,4.5
,="Multicultural Magnet School",="Black or African American",3,7.3
,="Park City Academy",="Black or African American",3,42.9
,="Park City Magnet School",="Black or African American",4,10.0
,="Pride Academy",="Black or African American",1,14.3
,="Read School",="Black or African American",8,13.8
,="Roosevelt School",="Black or African American",5,10.0
,="Skane Center",="Black or African American",1,3.4
,="Waltersville School",="Black or African American",3,7.9
,="Winthrop School",="Black or African American",9,18.4
="Bristol School District",="Bristol Central High School",="Black or African American",3,2.9
,="Bristol Eastern High School",="Black or African American",3,3.0
,="Chippens Hill Middle School",="Black or African American",2,2.8
,="Greene-Hills School",="Black or African American",1,1.4
,="West Bristol School",="Black or African American",2,2.7
="Brookfield School District",="Brookfield High School",="Black or African American",1,1.2
,="Huckleberry Hill Elementary School",="Black or African American",1,1.9
="Canterbury School District",="Dr. Helen Baldwin Middle School",="Black or African American",1,4.0
="Capitol Region Education Council",="Academy of Aerospace and Engineering",="Black or African American",7,12.1
,="Academy of Science and Innovation",="Black or African American",4,9.3
,="Ana Grace Academy of the Arts Elementary School",="Black or African American",1,5.0
,="Farmington Valley Regional Diagnostic Center",="Black or African American",4,44.4
,="Glastonbury/East Hartford Magnet School",="Black or African American",2,5.3
,="Greater Hartford Academy of Math and Science",="Black or African American",1,6.7
,="Greater Hartford Academy of the Arts High School - Full Time",="Black or African American",5,14.7
,="Greater Hartford Academy of the Arts Magnet Middle",="Black or African American",2,5.6
,="Integrated Program Models",="Black or African American",1,20.0
,="International Magnet School for Global Citizenship",="Black or African American",2,5.3
,="John J. Allison Polaris Center",="Black or African American",5,18.5
,="Metropolitan Learning Center for Global and International Studies",="Black or African American",11,15.9
,="Montessori Magnet School",="Black or African American",2,6.3
,="Museum Academy",="Black or African American",4,11.4
,="Public Safety Academy",="Black or African American",4,7.5
,="River Street School",="Black or African American",1,1.8
,="Two Rivers Magnet High School",="Black or African American",4,17.4
,="Two Rivers Magnet Middle School",="Black or African American",3,4.7
,="University of Hartford Magnet School",="Black or African American",1,2.4
="Cheshire School District",="Doolittle School",="Black or African American",1,1.9
,="Norton School",="Black or African American",1,2.4
="Clinton School District",="Lewin G. Joel Jr. School",="Black or African American",1,1.6
="Colchester School District",="Bacon Academy",="Black or African American",1,1.1
,="William J. Johnston Middle School",="Black or African American",1,1.5
="Common Ground High School District",="Common Ground High School",="Black or African American",1,6.7
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Black or African American",12,12.2
,="Bullard-Havens Technical High School",="Black or African American",8,8.2
,="E. C. Goodwin Technical High School",="Black or African American",5,6.7
,="Eli Whitney Technical High School",="Black or African American",7,8.9
