"Educator Race/Ethnicity Report for 2005-06"

"District","Race","Count","% of Total"
"Amistad Academy District","Black or African American",3,13.6
="Ansonia School District",="Black or African American",9,4.5
="Area Cooperative Educational Services",="Black or African American",17,5.7
="Berlin School District",="Black or African American",1,0.4
="Bethel School District",="Black or African American",1,0.4
="Bloomfield School District",="Black or African American",61,23.6
="Branford School District",="Black or African American",3,0.9
="Bridgeport School District",="Black or African American",268,15.4
="Bristol School District",="Black or African American",11,1.5
="Brookfield School District",="Black or African American",2,0.8
="Canterbury School District",="Black or African American",1,1.9
="Canton School District",="Black or African American",1,0.7
="Capitol Region Education Council",="Black or African American",18,5.3
="Cheshire School District",="Black or African American",3,0.7
="Colchester School District",="Black or African American",1,0.4
="Connecticut Technical High School System",="Black or African American",77,5.8
="Cooperative Educational Services",="Black or African American",4,3.1
="Coventry School District",="Black or African American",1,0.6
="Cromwell School District",="Black or African American",2,1.2
="Danbury School District",="Black or African American",35,4.2
="Darien School District",="Black or African American",1,0.2
="Derby School District",="Black or African American",1,0.8
="East Granby School District",="Black or African American",2,2.4
="East Hartford School District",="Black or African American",25,3.8
="Ellington School District",="Black or African American",2,1.0
="Elm City College Preparatory School",="Black or African American",3,14.3
="Enfield School District",="Black or African American",6,1.1
="Fairfield School District",="Black or African American",4,0.4
="Farmington School District",="Black or African American",5,1.3
="Glastonbury School District",="Black or African American",5,0.9
="Granby School District",="Black or African American",1,0.5
="Greenwich School District",="Black or African American",22,2.3
="Groton School District",="Black or African American",10,2.0
="Guilford School District",="Black or African American",3,0.9
="Hamden School District",="Black or African American",31,5.5
="Hartford School District",="Black or African American",344,15.5
="Hebron School District",="Black or African American",1,1.0
="Highville Mustard Seed Charter School District",="Black or African American",2,10.0
="Integrated Day Charter School District",="Black or African American",1,4.4
="Jumoke Academy District",="Black or African American",4,23.5
="Learn",="Black or African American",2,1.6
="Ledyard School District",="Black or African American",3,1.2
="Manchester School District",="Black or African American",25,3.8
="Mansfield School District",="Black or African American",2,1.4
="Meriden School District",="Black or African American",12,1.6
="Middletown School District",="Black or African American",21,4.6
="Milford School District",="Black or African American",3,0.4
="Montville School District",="Black or African American",1,0.4
="Naugatuck School District",="Black or African American",1,0.3
="New Beginnings Inc Family Academy District",="Black or African American",4,18.2
="New Britain School District",="Black or African American",44,5.1
="New Canaan School District",="Black or African American",5,1.2
="New Haven School District",="Black or African American",349,19.2
="New London School District",="Black or African American",24,8.8
="Newington School District",="Black or African American",5,1.3
="Newtown School District",="Black or African American",2,0.5
="North Haven School District",="Black or African American",3,0.9
="Norwalk School District",="Black or African American",74,7.9
="Norwich Free Academy District",="Black or African American",5,2.7
="Norwich School District",="Black or African American",5,1.6
="Plainville School District",="Black or African American",1,0.4
="Preston School District",="Black or African American",1,1.9
="Putnam School District",="Black or African American",1,0.8
="Redding School District",="Black or African American",1,0.8
="Regional School District 05",="Black or African American",1,0.4
="Regional School District 07",="Black or African American",1,0.9
="Regional School District 08",="Black or African American",1,0.7
="Regional School District 10",="Black or African American",1,0.4
="Regional School District 14",="Black or African American",1,0.5
="Regional School District 15",="Black or African American",3,0.8
="Regional School District 17",="Black or African American",1,0.4
="Ridgefield School District",="Black or African American",1,0.2
="Seymour School District",="Black or African American",1,0.5
="Simsbury School District",="Black or African American",1,0.2
="Somers School District",="Black or African American",1,0.6
="South Windsor School District",="Black or African American",5,1.3
="Southington School District",="Black or African American",4,0.7
="Stamford School District",="Black or African American",96,6.5
="Stonington School District",="Black or African American",2,0.9
="Stratford School District",="Black or African American",16,2.6
="Suffield School District",="Black or African American",2,0.9
="The Bridge Academy District",="Black or African American",1,7.1
="Thompson School District",="Black or African American",1,0.8
="Tolland School District",="Black or African American",1,0.4
="Torrington School District",="Black or African American",2,0.5
="Trumbull School District",="Black or African American",4,0.7
="Unified School District #1",="Black or African American",11,5.3
="Unified School District #2",="Black or African American",8,7.0
="Vernon School District",="Black or African American",3,0.8
="Wallingford School District",="Black or African American",6,1.0
="Waterbury School District",="Black or African American",56,3.6
="Waterford School District",="Black or African American",2,0.7
="West Hartford School District",="Black or African American",20,2.2
="West Haven School District",="Black or African American",22,3.6
="Weston School District",="Black or African American",2,0.8
="Westport School District",="Black or African American",4,0.7
="Wethersfield School District",="Black or African American",6,1.9
="Wilton School District",="Black or African American",2,0.5
="Windham School District",="Black or African American",1,0.3
="Windsor Locks School District",="Black or African American",4,2.1
="Windsor School District",="Black or African American",32,7.1
="Wolcott School District",="Black or African American",1,0.4
="Woodbridge School District",="Black or African American",1,1.2

