"Educator Race/Ethnicity Report for 2004-05"

"District","School","Race","Count","% of Total"
"Amistad Academy District","Amistad Academy","White",15,65.2
="Andover School District",="Andover Elementary School",="White",34,100.0
="Ansonia School District",="Ansonia High School",="White",52,94.5
,="Ansonia Middle School",="White",52,96.3
,="Mead School",="White",38,84.4
,="Prendergast School",="White",51,98.1
="Area Cooperative Educational Services",="A. C. E. S. Special Education Town Campus Learning Center",="White",7,100.0
,="Collaborative Alternative Magnet School",="White",11,78.6
,="Thomas Edison Magnet Middle School",="White",59,85.5
,="Wintergreen Interdistrict Magnet School",="White",57,95.0
="Ashford School District",="Ashford School",="White",50,100.0
="Avon School District",="Avon High School",="White",78,97.5
,="Avon Middle School",="White",54,100.0
,="Pine Grove School",="White",51,100.0
,="Roaring Brook School",="White",53,100.0
,="Thompson Brook School",="White",45,100.0
="Barkhamsted School District",="Barkhamsted Elementary School",="White",32,100.0
="Berlin School District",="Berlin High School",="White",94,97.9
,="Catherine M. McGee Middle School",="White",71,98.6
,="Emma Hart Willard School",="White",51,100.0
,="Mary E. Griswold School",="White",45,97.8
,="Richard D. Hubbard School",="White",27,100.0
="Bethany School District",="Bethany Community School",="White",51,100.0
="Bethel School District",="Anna H. Rockwell School",="White",40,97.6
,="Bethel High School",="White",94,100.0
,="Bethel Middle School",="White",74,98.7
,="Frank A. Berry School",="White",41,97.6
,="Ralph M. T. Johnson School",="White",44,100.0
="Bloomfield School District",="Bloomfield High School",="White",53,69.7
,="Carmen Arace Intermediate School",="White",41,82.0
,="Carmen Arace Middle School",="White",39,72.2
,="J. P. Vincent School",="White",32,76.2
,="Laurel School",="White",28,80.0
,="Metacomet School",="White",26,86.7
="Bolton School District",="Bolton Center School",="White",62,98.4
,="Bolton High School",="White",39,100.0
="Bozrah School District",="Fields Memorial School",="White",28,96.6
="Branford School District",="Branford High School",="White",111,96.5
,="Francis Walsh Intermediate School",="White",98,99.0
,="Indian Neck School",="White",5,100.0
,="John B. Sliney School",="White",33,97.1
,="Mary R. Tisko School",="White",37,100.0
,="Mary T. Murphy School",="White",39,97.5
="Bridgeport School District",="Barnum School",="White",19,70.4
,="Bassick High School",="White",75,75.8
,="Beardsley School",="White",38,86.4
,="Black Rock School",="White",25,69.4
,="Blackham School",="White",71,82.6
,="Bridgeport Learning Center",="White",8,53.3
,="Bridgeport Regional Vocational Aquaculture School",="White",12,92.3
,="Bryant School",="White",26,86.7
,="Central High School",="White",129,79.1
,="Cesar Batalla School",="White",28,52.8
,="Classical Studies Academy",="White",22,75.9
,="Columbus School",="White",47,75.8
,="Cross School",="White",29,65.9
,="Curiale School",="White",53,81.5
,="Dunbar School",="White",26,52.0
,="Edison School",="White",24,85.7
,="Garfield School",="White",19,76.0
,="Geraldine Johnson School",="White",14,73.7
,="Hall School",="White",23,79.3
,="Hallen School",="White",26,78.8
,="Harding High School",="White",83,66.9
,="High Horizons Magnet School",="White",30,85.7
,="Hooker School",="White",35,87.5
,="Jettie S. Tisdale School",="White",23,67.6
,="Longfellow School",="White",23,50.0
,="Luis Munoz Marin School",="White",48,68.6
,="Madison School",="White",49,92.5
,="Maplewood Annex",="White",19,82.6
,="Multicultural Magnet School",="White",27,67.5
,="Newfield School",="White",9,52.9
,="Park City Magnet School",="White",27,73.0
,="Read School",="White",57,87.7
,="Roosevelt School",="White",44,63.8
,="Skane Center",="White",19,76.0
,="Waltersville School",="White",29,58.0
,="Winthrop School",="White",40,72.7
="Bristol School District",="Bristol Central High School",="White",109,95.6
,="Bristol Eastern High School",="White",106,96.4
,="Chippens Hill Middle School",="White",77,95.1
,="Clara T. O'Connell School",="White",36,97.3
,="Clarence A. Bingham School",="White",27,96.4
,="Edgewood School",="White",34,97.1
,="Ellen P. Hubbell School",="White",38,100.0
,="Greene-Hills School",="White",31,93.9
,="Ivy Drive School",="White",30,96.8
,="John J. Jennings School",="White",30,96.8
,="Memorial Boulevard Middle School",="White",54,98.2
,="Mountain View School",="White",34,97.1
,="Northeast Middle School",="White",53,100.0
,="South Side School",="White",43,91.5
,="Stafford School",="White",39,95.1
="Brookfield School District",="Brookfield High School",="White",81,97.6
,="Center Elementary School",="White",34,97.1
,="Huckleberry Hill Elementary School",="White",54,98.2
,="Whisconier Middle School",="White",85,97.7
="Brooklyn School District",="Brooklyn Elementary School",="White",44,97.8
,="Brooklyn Middle School",="White",41,100.0
="Canaan School District",="Lee H. Kellogg School",="White",19,100.0
="Canterbury School District",="Canterbury Elementary School",="White",28,100.0
,="Dr. Helen Baldwin Middle School",="White",28,93.3
="Canton School District",="Canton High School",="White",54,100.0
,="Canton Intermediate School",="White",38,100.0
,="Canton Middle School",="White",31,100.0
,="Cherry Brook Primary School",="White",37,100.0
="Capitol Region Education Council",="CREC Early Learning Center at Asylum Hill",="White",42,95.5
,="Discovery Academy",="White",9,100.0
,="Farmington Valley Regional Diagnostic Center",="White",5,83.3
,="Glastonbury/East Hartford Magnet School",="White",20,87.0
,="Great Path Academy at MCC",="White",6,100.0
,="Greater Hartford Academy of Math and Science",="White",11,84.6
,="John J. Allison Polaris Center",="White",10,83.3
,="Metropolitan Learning Center for Global and International Studies",="White",51,77.3
,="Montessori Magnet School",="White",15,68.2
,="Soundbridge",="White",24,100.0
,="Two Rivers Magnet Middle School",="White",50,83.3
,="University of Hartford Magnet School",="White",32,86.5
="Chaplin School District",="Chaplin Elementary School",="White",27,100.0
="Cheshire School District",="Chapman School",="White",33,100.0
,="Cheshire High School",="White",122,96.1
,="Darcey School",="White",29,100.0
,="Dodd Middle School",="White",72,100.0
,="Doolittle School",="White",50,96.2
,="Highland School",="White",74,100.0
,="Humiston School",="White",9,100.0
,="Norton School",="White",39,97.5
="Chester School District",="Chester Elementary School",="White",33,100.0
="Clinton School District",="Abraham Pierson School",="White",35,100.0
,="Jared Eliot School",="White",60,100.0
,="Lewin G. Joel Jr. School",="White",64,100.0
,="The Morgan School",="White",67,100.0
="Colchester School District",="Bacon Academy",="White",84,96.6
,="Bacon Academy Preschool Program",="White",8,100.0
,="Colchester Intermediate School",="White",40,100.0
,="Jack Jackter Intermediate School",="White",69,98.6
,="William J. Johnston Middle School",="White",67,98.5
="Colebrook School District",="Colebrook Consolidated School",="White",21,100.0
="Columbia School District",="Horace W. Porter School",="White",63,98.4
="Common Ground High School District",="Common Ground High School",="White",12,100.0
="Connecticut Technical High School System",="A. I. Prince Technical High School",="White",61,65.6
,="Bristol Technical Education Center",="White",14,93.3
,="Bullard-Havens Technical High School",="White",73,76.8
,="E. C. Goodwin Technical High School",="White",68,81.9
,="Eli Whitney Technical High School",="White",64,79.0
,="Ella T. Grasso Southeastern Technical High School",="White",69,89.6
,="Emmett O'Brien Technical High School",="White",56,93.3
,="H. C. Wilcox Technical High School",="White",76,93.8
,="H. H. Ellis Technical High School",="White",63,95.5
,="Henry Abbott Technical High School",="White",71,94.7
,="Howell Cheney Technical High School",="White",64,91.4
,="J. M. Wright Technical High School",="White",41,71.9
,="Norwich Technical High School",="White",63,95.5
,="Oliver Wolcott Technical High School",="White",73,94.8
,="Platt Technical High School",="White",77,92.8
,="Vinal Technical High School",="White",70,95.9
,="W. F. Kaynor Technical High School",="White",73,88.0
,="Windham Technical High School",="White",63,91.3
="Cooperative Educational Services",="C. E. S. Special Education",="White",71,98.6
,="Regional Center for the Arts - Part Time",="White",1,100.0
,="Six-Six Magnet School",="White",36,90.0
="Cornwall School District",="Cornwall Consolidated School",="White",23,100.0
="Coventry School District",="Capt. Nathan Hale School",="White",50,96.2
,="Coventry Grammar School",="White",37,97.4
,="Coventry High School",="White",57,100.0
,="George Hersey Robertson School",="White",38,100.0
="Cromwell School District",="Cromwell High School",="White",59,100.0
,="Cromwell Middle School",="White",60,98.4
,="Edna C. Stevens School",="White",56,98.2
="Danbury School District",="Alternative Center For Excellence",="White",12,92.3
,="Broadview Middle School",="White",93,94.9
,="Danbury High School",="White",202,92.7
,="Ellsworth Avenue School",="White",32,97.0
,="Great Plain School",="White",30,78.9
,="Hayestown Avenue School",="White",41,95.3
,="King Street Intermediate School",="White",28,96.6
,="King Street Primary School",="White",30,96.8
,="Mill Ridge Educational Center",="White",30,96.8
,="Mill Ridge Primary School",="White",33,97.1
,="Morris Street School",="White",35,97.2
,="Park Avenue School",="White",33,94.3
,="Pembroke School",="White",36,94.7
,="Rogers Park Middle School",="White",86,86.9
,="Shelter Rock School",="White",26,78.8
,="South Street School",="White",32,91.4
,="Stadley Rough School",="White",40,95.2
="Darien School District",="Darien High School",="White",108,96.4
,="Hindley Elementary School",="White",43,97.7
,="Holmes Elementary School",="White",45,97.8
,="Middlesex Middle School",="White",117,98.3
,="Ox Ridge Elementary School",="White",52,96.3
,="Royle Elementary School",="White",42,95.5
,="Tokeneke Elementary School",="White",42,97.7
="Deep River School District",="Deep River Elementary School",="White",42,97.7
="Derby School District",="Bradley School",="White",35,100.0
,="Derby High School",="White",54,96.4
,="Irving School",="White",40,95.2
="East Granby School District",="Allgrove School",="White",28,100.0
,="East Granby High School",="White",33,94.3
,="East Granby Middle School",="White",30,96.8
,="R. Dudley Seymour School",="White",18,100.0
="East Haddam School District",="East Haddam Elementary School",="White",47,100.0
,="Nathan Hale-Ray High School",="White",39,97.5
,="Nathan Hale-Ray Middle School",="White",43,97.7
