"Educator Race/Ethnicity Report for 2008-09"

"District","School","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Asian",1,3.8
="Amistad Academy District",="Amistad Academy",="Asian",4,6.3
="Ansonia School District",="Mead School",="Asian",1,2.2
="Area Cooperative Educational Services",="Thomas Edison Magnet Middle School",="Asian",1,1.4
="Avon School District",="Roaring Brook School",="Asian",1,1.9
="Berlin School District",="Catherine M. McGee Middle School",="Asian",2,2.6
="Bethel School District",="Bethel Middle School",="Asian",1,1.5
="Bloomfield School District",="Bloomfield High School",="Asian",1,1.4
="Branford School District",="Mary R. Tisko School",="Asian",1,2.4
="Bridgeport School District",="Barnum School",="Asian",2,3.9
,="Bassick High School",="Asian",5,5.3
,="Beardsley School",="Asian",1,2.6
,="Black Rock School",="Asian",1,3.1
,="Blackham School",="Asian",1,1.2
,="Bridgeport Learning Center",="Asian",1,5.3
,="Cesar Batalla School",="Asian",2,2.4
,="Columbus School",="Asian",3,4.7
,="Curiale School",="Asian",2,3.8
,="Geraldine Johnson School",="Asian",3,5.5
,="Harding High School",="Asian",10,7.9
,="High Horizons Magnet School",="Asian",1,2.9
,="Multicultural Magnet School",="Asian",1,2.3
,="Park City Magnet School",="Asian",2,5.4
,="Roosevelt School",="Asian",3,5.1
,="Skane Center",="Asian",1,3.2
,="Waltersville School",="Asian",2,4.3
,="Winthrop School",="Asian",1,1.8
="Bristol School District",="Bristol Central High School",="Asian",3,2.6
,="Bristol Eastern High School",="Asian",1,1.0
,="Clara T. O'Connell School",="Asian",1,2.7
,="Greene-Hills School",="Asian",1,2.9
,="Stafford School",="Asian",1,2.4
="Brookfield School District",="Brookfield High School",="Asian",2,2.5
="Canterbury School District",="Canterbury Elementary School",="Asian",1,3.6
="Capitol Region Education Council",="Academy of Aerospace and Engineering",="Asian",1,4.2
,="Glastonbury/East Hartford Magnet School",="Asian",1,4.5
,="Greater Hartford Academy of the Arts High School - Full Time",="Asian",1,7.1
,="Metropolitan Learning Center for Global and International Studies",="Asian",2,2.9
,="Public Safety Academy",="Asian",2,14.3
,="Two Rivers Magnet Middle School",="Asian",2,3.2
="Cheshire School District",="Cheshire High School",="Asian",3,2.1
,="Highland School",="Asian",1,1.3
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Asian",1,1.1
,="Bullard-Havens Technical High School",="Asian",1,1.0
,="E. C. Goodwin Technical High School",="Asian",1,1.2
,="Ella T. Grasso Southeastern Technical High School",="Asian",2,2.6
,="H. H. Ellis Technical High School",="Asian",1,1.5
,="Henry Abbott Technical High School",="Asian",1,1.2
,="J. M. Wright Technical High School",="Asian",2,5.1
,="Norwich Technical High School",="Asian",1,1.4
,="Oliver Wolcott Technical High School",="Asian",1,1.3
="Cooperative Educational Services",="Six-Six Magnet School",="Asian",1,2.1
="Cornwall School District",="Cornwall Consolidated School",="Asian",1,4.8
="Danbury School District",="Danbury High School",="Asian",3,1.4
,="King Street Intermediate School",="Asian",1,3.6
,="Rogers Park Middle School",="Asian",1,1.0
,="South Street School",="Asian",1,3.0
="Darien School District",="Darien High School",="Asian",2,1.4
,="Holmes Elementary School",="Asian",1,2.0
,="Ox Ridge Elementary School",="Asian",1,1.8
="Derby School District",="Derby High School",="Asian",1,1.8
="East Hartford School District",="Connecticut IB Academy",="Asian",2,10.5
,="Dr. John A. Langford School",="Asian",1,3.2
,="East Hartford High School",="Asian",2,1.1
,="Governor William Pitkin School",="Asian",1,2.9
,="Robert J. O'Brien School",="Asian",1,2.6
,="Sunset Ridge Middle School",="Asian",1,2.3
="East Lyme School District",="East Lyme High School",="Asian",1,0.8
,="East Lyme Middle School",="Asian",2,2.3
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="EastConn Special Education",="Asian",1,3.6
="Ellington School District",="Windermere Intermediate School",="Asian",1,2.9
,="Windermere School",="Asian",1,2.6
="Elm City College Preparatory School",="Elm City College Preparatory School",="Asian",2,4.0
="Enfield School District",="Eli Whitney School",="Asian",2,5.0
,="Nathan Hale School",="Asian",1,3.4
,="Prudence Crandall School",="Asian",1,2.6
="Fairfield School District",="Burr Elementary School",="Asian",1,2.2
,="Fairfield Ludlowe High School",="Asian",1,0.6
,="Fairfield Warde High School",="Asian",1,0.7
,="Fairfield Woods Middle School",="Asian",1,1.4
,="Jennings School",="Asian",1,2.4
,="Roger Ludlowe Middle School",="Asian",1,1.0
,="Stratfield School",="Asian",1,2.1
,="Tomlinson Middle School",="Asian",1,1.3
="Farmington School District",="Farmington High School",="Asian",1,0.7
,="West District School",="Asian",1,3.1
,="West Woods Upper Elementary School",="Asian",1,1.5
="Glastonbury School District",="Glastonbury High School",="Asian",3,1.6
,="Hopewell School",="Asian",1,2.2
,="Naubuc School",="Asian",3,6.4
,="Nayaug Elementary School",="Asian",1,1.7
="Granby School District",="Granby Memorial High School",="Asian",1,1.4
="Greenwich School District",="Central Middle School",="Asian",2,2.9
,="Cos Cob School",="Asian",1,2.4
,="Eastern Middle School",="Asian",1,1.4
,="Greenwich High School",="Asian",8,2.9
,="Hamilton Avenue School",="Asian",2,3.6
,="International School At Dundee",="Asian",2,4.7
,="New Lebanon School",="Asian",1,2.7
,="North Mianus School",="Asian",2,4.3
,="Riverside School",="Asian",1,2.1
,="Western Middle School",="Asian",2,3.6
="Griswold School District",="Griswold Middle School",="Asian",1,2.5
="Groton School District",="Carl C. Cutler Middle School",="Asian",1,2.2
