"Educator Race/Ethnicity Report for 2003-04"

"District","School","Race","Count","% of Total"
"Ansonia School District","Mead School","Asian",1,2.4
="Avon School District",="Thompson Brook School",="Asian",1,2.2
="Berlin School District",="Catherine M. McGee Middle School",="Asian",1,1.4
="Bloomfield School District",="Bloomfield High School",="Asian",2,2.6
,="Carmen Arace Middle School",="Asian",1,1.2
="Branford School District",="Francis Walsh Intermediate School",="Asian",1,1.0
="Bridgeport School District",="Barnum School",="Asian",2,6.5
,="Bassick High School",="Asian",1,1.1
,="Beardsley School",="Asian",2,4.5
,="Black Rock School",="Asian",1,3.0
,="Blackham School",="Asian",1,1.1
,="Central High School",="Asian",2,1.1
,="Cesar Batalla School",="Asian",1,2.6
,="Columbus School",="Asian",2,3.1
,="Cross School",="Asian",1,2.3
,="Curiale School",="Asian",1,1.6
,="Dunbar School",="Asian",1,1.9
,="Edison School",="Asian",1,3.7
,="Geraldine Johnson School",="Asian",1,5.3
,="Hall School",="Asian",1,3.7
,="Hallen School",="Asian",1,3.1
,="Longfellow School",="Asian",1,1.6
,="Multicultural Magnet School",="Asian",1,2.4
,="Newfield School",="Asian",1,5.9
,="Park City Magnet School",="Asian",2,4.8
,="Roosevelt School",="Asian",3,4.4
,="Skane Center",="Asian",1,3.6
,="Waltersville School",="Asian",1,1.7
="Bristol School District",="Bristol Central High School",="Asian",1,0.9
,="Bristol Eastern High School",="Asian",1,0.9
,="Clara T. O'Connell School",="Asian",1,2.9
,="Greene-Hills School",="Asian",1,3.2
="Capitol Region Education Council",="Glastonbury/East Hartford Magnet School",="Asian",2,8.7
,="Metropolitan Learning Center for Global and International Studies",="Asian",1,1.9
,="Two Rivers Magnet Middle School",="Asian",2,3.7
="Cheshire School District",="Cheshire High School",="Asian",3,2.3
,="Doolittle School",="Asian",1,1.8
="Clinton School District",="The Morgan School",="Asian",1,1.5
="Colchester School District",="Jack Jackter Intermediate School",="Asian",1,1.4
="Connecticut Technical High School System",="Bullard-Havens Technical High School",="Asian",2,2.1
,="E. C. Goodwin Technical High School",="Asian",1,1.1
,="Ella T. Grasso Southeastern Technical High School",="Asian",1,1.4
,="J. M. Wright Technical High School",="Asian",2,3.4
,="Norwich Technical High School",="Asian",1,1.5
="Danbury School District",="Alternative Center For Excellence",="Asian",1,7.7
,="Danbury High School",="Asian",2,0.9
,="Morris Street School",="Asian",1,2.9
,="Rogers Park Middle School",="Asian",1,1.0
,="South Street School",="Asian",1,3.1
="Darien School District",="Darien High School",="Asian",1,0.9
,="Middlesex Middle School",="Asian",2,1.8
,="Ox Ridge Elementary School",="Asian",1,1.8
="East Hartford School District",="Connecticut IB Academy",="Asian",2,11.1
,="East Hartford High School",="Asian",2,1.2
,="East Hartford Middle School",="Asian",1,0.9
,="Joseph O. Goodwin School",="Asian",1,3.6
,="Robert J. O'Brien School",="Asian",1,2.6
,="Sunset Ridge Middle School",="Asian",1,2.2
="East Lyme School District",="East Lyme High School",="Asian",1,0.9
,="East Lyme Middle School",="Asian",1,1.2
,="Flanders School",="Asian",1,2.9
="Ellington School District",="Windermere School",="Asian",1,1.5
="Enfield School District",="Edgar H. Parkman School",="Asian",1,2.9
,="Eli Whitney School",="Asian",1,2.8
,="Nathan Hale School",="Asian",1,3.6
="Fairfield School District",="Dwight Elementary School",="Asian",2,4.2
,="Fairfield Woods Middle School",="Asian",1,1.3
,="North Stratfield School",="Asian",1,2.4
,="Osborn Hill School",="Asian",2,4.3
,="Stratfield School",="Asian",2,4.9
,="Tomlinson Middle School",="Asian",1,1.4
="Farmington School District",="Farmington High School",="Asian",1,0.8
,="West District School",="Asian",1,3.4
,="West Woods Upper Elementary School",="Asian",2,3.1
="Glastonbury School District",="Hopewell School",="Asian",1,1.8
="Greenwich School District",="Central Middle School",="Asian",1,1.4
,="Cos Cob School",="Asian",1,2.4
,="Greenwich High School",="Asian",3,1.1
,="Hamilton Avenue School",="Asian",1,2.7
,="International School At Dundee",="Asian",3,7.9
,="North Mianus School",="Asian",2,4.9
,="Old Greenwich School",="Asian",1,2.2
,="Western Middle School",="Asian",1,1.5
="Griswold School District",="Griswold Middle School",="Asian",1,2.3
="Groton School District",="Mary Morrisson School",="Asian",1,2.6
,="Pleasant Valley School",="Asian",1,2.8
,="Robert E. Fitch High School",="Asian",2,1.8
,="West Side Middle School",="Asian",1,2.3
="Hamden School District",="Bear Path School",="Asian",1,3.4
,="Hamden High School",="Asian",1,0.6
,="Hamden Middle School",="Asian",1,1.0
,="Spring Glen School",="Asian",1,3.2
="Hartford School District",="Asian Studies Academy at Bellizzi School",="Asian",1,2.1
,="Batchelder School",="Asian",1,1.8
,="Bulkeley High School Lower School",="Asian",1,0.7
,="Burns Latino Studies Academy",="Asian",1,1.8
,="Burr School",="Asian",1,2.0
,="Dr. Joseph Bellizzi Middle School",="Asian",3,4.1
,="Expeditionary Learning Academy at Moylan School",="Asian",1,1.8
,="Fox Middle School",="Asian",1,1.3
,="Hartford Public High School",="Asian",1,0.9
,="Hartford Transitional Learning Academy (Elementary)",="Asian",1,1.7
,="M. L. King, Jr. School",="Asian",1,1.5
,="Milner School",="Asian",1,2.0
,="Parkville Community School",="Asian",2,3.8
,="Quirk Middle School",="Asian",1,1.1
,="Simpson-Waverly School",="Asian",1,2.8
,="Weaver High School",="Asian",2,1.8
,="West Middle School",="Asian",1,1.5
="Killingly School District",="Killingly High School",="Asian",2,2.4
="Learn",="Regional Multicultural Magnet School",="Asian",1,2.5
="Lebanon School District",="Lebanon Middle School",="Asian",1,2.5
,="Lyman Memorial High School",="Asian",1,1.6
="Madison School District",="Daniel Hand High School",="Asian",1,1.0
="Manchester School District",="Illing Middle School",="Asian",1,1.1
,="Manchester High School",="Asian",1,0.6
="Marlborough School District",="Elmer Thienes-Mary Hall Elementary School",="Asian",1,1.7
="Meriden School District",="Nathan Hale School",="Asian",1,1.7
,="Benjamin Franklin School",="Asian",1,1.9
,="Casimir Pulaski School",="Asian",1,1.6
,="Hanover School",="Asian",1,1.9
,="Israel Putnam School",="Asian",1,2.0
,="John Barry School",="Asian",1,1.8
,="Roger Sherman School",="Asian",1,2.0
,="Thomas Hooker School",="Asian",1,2.4
="Middletown School District",="Bielefield School",="Asian",1,3.1
,="Lawrence School",="Asian",1,2.7
,="Middletown High School",="Asian",1,0.9
,="Moody School",="Asian",1,2.9
,="Snow School",="Asian",1,2.3
,="Spencer School",="Asian",1,2.9
,="Woodrow Wilson Middle School",="Asian",2,2.8
="Milford School District",="West Shore Middle School",="Asian",1,1.7
="Monroe School District",="Fawn Hollow Elementary School",="Asian",1,2.1
="Montville School District",="Leonard J. Tyl Middle School",="Asian",1,1.3
="New Beginnings Inc Family Academy District",="New Beginnings Inc Family Academy",="Asian",1,5.9
="New Britain School District",="Jefferson School",="Asian",1,2.9
,="New Britain High School",="Asian",1,0.5
,="Roosevelt Middle School",="Asian",1,1.5
,="Slade Middle School",="Asian",2,2.4
="New Canaan School District",="New Canaan High School",="Asian",2,1.9
="New Haven School District",="Bishop Woods Architecture and Design Magnet School",="Asian",1,3.4
,="Cooperative High School",="Asian",1,2.3
,="East Rock Community Magnet School",="Asian",1,1.3
,="Edgewood School",="Asian",1,2.8
,="High School In The Community",="Asian",2,6.3
,="Hill Regional Career High School",="Asian",2,2.9
,="James Hillhouse High School",="Asian",2,1.8
,="Quinnipiac Real World Math STEM School",="Asian",1,3.4
,="Riverside Education Academy",="Asian",2,8.3
,="Sheridan Communications and Technology Magnet School",="Asian",1,1.8
,="Timothy Dwight School",="Asian",1,3.8
,="Truman School",="Asian",1,2.8
,="Urban Youth Center Middle School",="Asian",1,5.3
,="Vincent E. Mauro Elementary Math, Science and Technology Magnet School",="Asian",1,2.6
,="Wexler/Grant Community School",="Asian",1,2.6
,="Wilbur Cross High School",="Asian",4,3.0
="New London School District",="Edgerton School",="Asian",1,2.7
,="Jennings School",="Asian",1,3.2
="Newington School District",="John Wallace Middle School",="Asian",1,1.5
,="Newington High School",="Asian",1,0.9
="North Branford School District",="North Branford Intermediate School",="Asian",1,2.0
="North Haven School District",="North Haven Middle School",="Asian",1,1.3
="Norwalk School District",="Brien McMahon High School",="Asian",1,1.0
,="Marvin Elementary School",="Asian",1,2.3
,="Nathan Hale Middle School",="Asian",1,1.6
,="Ponus Ridge Middle School",="Asian",2,3.3
="Norwich Free Academy District",="Norwich Free Academy",="Asian",3,1.7
="Old Saybrook School District",="Old Saybrook Middle School",="Asian",1,1.4
="Plainville School District",="Frank T. Wheeler School",="Asian",1,2.9
="Plymouth School District",="Terryville High School",="Asian",1,2.1
="Regional School District 01",="Housatonic Valley Regional High School",="Asian",1,1.6
="Regional School District 05",="Amity Middle School: Bethany",="Asian",1,1.5
,="Amity Middle School: Orange",="Asian",1,1.7
="Ridgefield School District",="Ridgefield High School",="Asian",1,0.7
