"Educator Race/Ethnicity Report for 2003-04"

"District","School","Race","Count","% of Total"
"Amistad Academy District","Amistad Academy","Black or African American",2,8.3
="Ansonia School District",="Ansonia High School",="Black or African American",1,1.9
,="Ansonia Middle School",="Black or African American",4,7.7
,="Mead School",="Black or African American",4,9.5
,="Prendergast School",="Black or African American",1,2.0
="Area Cooperative Educational Services",="A. C. E. S. Special Education Town Campus Learning Center",="Black or African American",5,3.8
,="Collaborative Alternative Magnet School",="Black or African American",2,14.3
,="Thomas Edison Magnet Middle School",="Black or African American",6,8.7
,="Wintergreen Interdistrict Magnet School",="Black or African American",4,7.1
="Berlin School District",="Mary E. Griswold School",="Black or African American",1,2.2
="Bethel School District",="Anna H. Rockwell School",="Black or African American",1,2.4
,="Frank A. Berry School",="Black or African American",1,2.3
="Bloomfield School District",="Bloomfield High School",="Black or African American",19,25.0
,="Carmen Arace Middle School",="Black or African American",19,23.2
,="J. P. Vincent School",="Black or African American",8,19.5
,="Laurel School",="Black or African American",5,14.7
,="Metacomet School",="Black or African American",5,16.7
="Branford School District",="Branford High School",="Black or African American",1,0.9
,="John B. Sliney School",="Black or African American",2,5.9
,="Mary T. Murphy School",="Black or African American",1,2.6
="Bridgeport School District",="Barnum School",="Black or African American",3,9.7
,="Bassick High School",="Black or African American",15,16.0
,="Beardsley School",="Black or African American",5,11.4
,="Black Rock School",="Black or African American",7,21.2
,="Blackham School",="Black or African American",11,12.5
,="Central High School",="Black or African American",19,10.9
,="Cesar Batalla School",="Black or African American",2,5.1
,="Classical Studies Academy",="Black or African American",4,12.5
,="Columbus School",="Black or African American",6,9.4
,="Cross School",="Black or African American",15,34.9
,="Curiale School",="Black or African American",5,7.8
,="Dunbar School",="Black or African American",22,41.5
,="Edison School",="Black or African American",3,11.1
,="Garfield School",="Black or African American",1,4.2
,="Geraldine Johnson School",="Black or African American",2,10.5
,="Hall School",="Black or African American",5,18.5
,="Hallen School",="Black or African American",6,18.8
,="Harding High School",="Black or African American",19,16.2
,="High Horizons Magnet School",="Black or African American",4,10.8
,="Hooker School",="Black or African American",5,12.2
,="Jettie S. Tisdale School",="Black or African American",10,27.8
,="Longfellow School",="Black or African American",27,42.9
,="Luis Munoz Marin School",="Black or African American",7,9.9
,="Madison School",="Black or African American",2,3.8
,="Maplewood Annex",="Black or African American",2,8.0
,="Multicultural Magnet School",="Black or African American",3,7.3
,="Newfield School",="Black or African American",7,41.2
,="Park City Magnet School",="Black or African American",6,14.3
,="Read School",="Black or African American",8,11.1
,="Roosevelt School",="Black or African American",7,10.3
,="Skane Center",="Black or African American",4,14.3
,="Waltersville School",="Black or African American",10,17.2
,="Winthrop School",="Black or African American",11,16.9
="Bristol School District",="Bristol Central High School",="Black or African American",3,2.8
,="Bristol Eastern High School",="Black or African American",2,1.8
,="Chippens Hill Middle School",="Black or African American",2,2.5
,="Edgewood School",="Black or African American",1,2.9
,="Memorial Boulevard Middle School",="Black or African American",1,1.9
,="Mountain View School",="Black or African American",2,6.3
,="South Side School",="Black or African American",1,2.3
,="Stafford School",="Black or African American",1,2.5
="Brookfield School District",="Center Elementary School",="Black or African American",1,2.7
="Canterbury School District",="Dr. Helen Baldwin Middle School",="Black or African American",1,4.0
="Capitol Region Education Council",="Greater Hartford Academy of Math and Science",="Black or African American",1,7.1
,="John J. Allison Polaris Center",="Black or African American",1,1.0
,="Metropolitan Learning Center for Global and International Studies",="Black or African American",6,11.1
,="Montessori Magnet School",="Black or African American",4,25.0
,="Two Rivers Magnet Middle School",="Black or African American",4,7.4
,="University of Hartford Magnet School",="Black or African American",2,5.4
="Cheshire School District",="Cheshire High School",="Black or African American",2,1.6
,="Norton School",="Black or African American",1,2.4
="Colchester School District",="Bacon Academy",="Black or African American",1,1.1
="Common Ground High School District",="Common Ground High School",="Black or African American",2,16.7
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Black or African American",25,25.0
,="Bullard-Havens Technical High School",="Black or African American",10,10.6
,="E. C. Goodwin Technical High School",="Black or African American",9,10.1
,="Eli Whitney Technical High School",="Black or African American",10,12.3
,="Ella T. Grasso Southeastern Technical High School",="Black or African American",2,2.9
,="Emmett O'Brien Technical High School",="Black or African American",2,3.5
,="H. H. Ellis Technical High School",="Black or African American",1,1.6
,="Henry Abbott Technical High School",="Black or African American",1,1.4
,="Howell Cheney Technical High School",="Black or African American",2,2.9
,="J. M. Wright Technical High School",="Black or African American",4,6.8
,="Norwich Technical High School",="Black or African American",1,1.5
,="Oliver Wolcott Technical High School",="Black or African American",2,2.8
,="Platt Technical High School",="Black or African American",2,2.5
,="Vinal Technical High School",="Black or African American",1,1.4
,="W. F. Kaynor Technical High School",="Black or African American",7,8.8
="Cooperative Educational Services",="Six-Six Magnet School",="Black or African American",1,2.7
="Coventry School District",="Capt. Nathan Hale School",="Black or African American",1,1.9
,="Coventry High School",="Black or African American",1,1.8
="Cromwell School District",="Cromwell Middle School",="Black or African American",1,1.7
,="Edna C. Stevens School",="Black or African American",1,1.8
="Danbury School District",="Alternative Center For Excellence",="Black or African American",1,7.7
,="Broadview Middle School",="Black or African American",4,4.0
,="Danbury High School",="Black or African American",8,3.6
,="Ellsworth Avenue School",="Black or African American",2,5.7
,="Great Plain School",="Black or African American",2,5.6
,="Hayestown Avenue School",="Black or African American",1,2.3
,="King Street Intermediate School",="Black or African American",1,3.2
,="King Street Primary School",="Black or African American",1,3.1
,="Mill Ridge Educational Center",="Black or African American",1,2.9
,="Morris Street School",="Black or African American",1,2.9
,="Park Avenue School",="Black or African American",1,2.6
,="Pembroke School",="Black or African American",1,2.5
,="Rogers Park Middle School",="Black or African American",4,4.1
,="Shelter Rock School",="Black or African American",5,14.7
,="South Street School",="Black or African American",2,6.3
