"Educator Race/Ethnicity Report for 2013-14"

"District","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Black or African American",17,17.4
="Amistad Academy District",="Black or African American",15,12.2
="Ansonia School District",="Black or African American",3,1.5
="Area Cooperative Educational Services",="Black or African American",10,3.6
="Avon School District",="Black or African American",2,0.7
="Bethel School District",="Black or African American",1,0.4
="Bloomfield School District",="Black or African American",60,23.3
="Bolton School District",="Black or African American",1,1.2
="Branford School District",="Black or African American",1,0.3
="Bridgeport Achievement First District",="Black or African American",11,15.9
="Bridgeport School District",="Black or African American",214,13.2
="Bristol School District",="Black or African American",10,1.5
="Brookfield School District",="Black or African American",2,0.8
="Canterbury School District",="Black or African American",1,2.0
="Capitol Region Education Council",="Black or African American",66,7.6
="Cheshire School District",="Black or African American",2,0.5
="Clinton School District",="Black or African American",1,0.5
="Colchester School District",="Black or African American",2,0.8
="Common Ground High School District",="Black or African American",2,9.5
="Connecticut Technical High School System",="Black or African American",55,4.3
="Cooperative Educational Services",="Black or African American",2,1.2
="Coventry School District",="Black or African American",2,1.1
="Cromwell School District",="Black or African American",3,1.6
="Danbury School District",="Black or African American",36,4.1
="Darien School District",="Black or African American",4,0.8
="Department of Social Services",="Black or African American",1,2.9
="Derby School District",="Black or African American",1,0.8
="East Granby School District",="Black or African American",1,1.0
="East Hartford School District",="Black or African American",34,5.2
="East Haven School District",="Black or African American",3,1.0
="Easton School District",="Black or African American",2,2.0
="Ellington School District",="Black or African American",1,0.4
="Elm City College Preparatory School District",="Black or African American",8,18.2
="Enfield School District",="Black or African American",4,0.8
="Explorations District",="Black or African American",1,8.3
="Fairfield School District",="Black or African American",5,0.5
="Farmington School District",="Black or African American",6,1.5
="Glastonbury School District",="Black or African American",4,0.7
="Granby School District",="Black or African American",1,0.5
="Greenwich School District",="Black or African American",26,2.7
="Groton School District",="Black or African American",12,2.5
="Guilford School District",="Black or African American",2,0.6
="Hamden School District",="Black or African American",26,4.4
="Hartford School District",="Black or African American",273,13.7
="Highville Charter School District",="Black or African American",2,6.7
="Interdistrict School for Arts and Comm District",="Black or African American",2,6.7
="Jumoke Academy District",="Black or African American",13,30.2
="Learn",="Black or African American",3,1.3
="Ledyard School District",="Black or African American",1,0.4
="Madison School District",="Black or African American",1,0.3
="Manchester School District",="Black or African American",32,4.8
="Mansfield School District",="Black or African American",2,1.4
="Marlborough School District",="Black or African American",1,2.0
="Meriden School District",="Black or African American",8,1.2
="Middletown School District",="Black or African American",15,3.5
="Milford School District",="Black or African American",4,0.6
="Montville School District",="Black or African American",1,0.4
="Naugatuck School District",="Black or African American",1,0.3
="New Beginnings Inc Family Academy District",="Black or African American",9,21.4
="New Britain School District",="Black or African American",43,5.3
="New Haven School District",="Black or African American",300,15.2
="New London School District",="Black or African American",21,7.6
="New Milford School District",="Black or African American",1,0.3
="Newington School District",="Black or African American",8,2.1
="Newtown School District",="Black or African American",1,0.2
="North Haven School District",="Black or African American",3,1.0
="Norwalk School District",="Black or African American",68,7.3
="Norwich Free Academy District",="Black or African American",9,4.6
="Norwich School District",="Black or African American",8,2.7
="Oxford School District",="Black or African American",2,1.2
="Park City Prep Charter School District",="Black or African American",4,20.0
="Plainville School District",="Black or African American",2,0.8
="Portland School District",="Black or African American",1,0.8
="Preston School District",="Black or African American",1,2.3
="Redding School District",="Black or African American",1,0.8
="Regional School District 05",="Black or African American",1,0.4
="Regional School District 08",="Black or African American",1,0.6
="Regional School District 10",="Black or African American",1,0.4
="Regional School District 14",="Black or African American",1,0.5
="Regional School District 15",="Black or African American",3,0.8
="Regional School District 17",="Black or African American",1,0.4
="Regional School District 18",="Black or African American",1,0.6
="Ridgefield School District",="Black or African American",2,0.4
="Simsbury School District",="Black or African American",3,0.7
="Somers School District",="Black or African American",1,0.7
="South Windsor School District",="Black or African American",6,1.5
="Southington School District",="Black or African American",4,0.7
="Stamford Academy District",="Black or African American",1,5.9
="Stamford School District",="Black or African American",96,6.4
="Stonington School District",="Black or African American",1,0.4
="Stratford School District",="Black or African American",17,2.8
="Suffield School District",="Black or African American",1,0.5
="The Bridge Academy District",="Black or African American",2,9.1
="Tolland School District",="Black or African American",2,0.8
="Torrington School District",="Black or African American",2,0.5
="Trailblazers Academy District",="Black or African American",1,4.2
="Trumbull School District",="Black or African American",3,0.5
="Unified School District #1",="Black or African American",13,8.0
="Unified School District #2",="Black or African American",11,10.5
="Vernon School District",="Black or African American",4,1.1
="Wallingford School District",="Black or African American",8,1.4
="Waterbury School District",="Black or African American",68,4.0
="Waterford School District",="Black or African American",2,0.8
="Watertown School District",="Black or African American",1,0.4
="West Hartford School District",="Black or African American",20,2.1
="West Haven School District",="Black or African American",18,3.2
="Weston School District",="Black or African American",1,0.4
="Westport School District",="Black or African American",1,0.2
="Wethersfield School District",="Black or African American",4,1.3
="Wilton School District",="Black or African American",3,0.8
="Windham School District",="Black or African American",3,0.9
="Windsor Locks School District",="Black or African American",5,2.7
="Windsor School District",="Black or African American",35,8.8
="Wolcott School District",="Black or African American",1,0.4

