"Educator Race/Ethnicity Report for 2004-05"

"District","School","Race","Count","% of Total"
"Amistad Academy District","Amistad Academy","Black or African American",5,21.7
="Ansonia School District",="Ansonia High School",="Black or African American",2,3.6
,="Ansonia Middle School",="Black or African American",2,3.7
,="Mead School",="Black or African American",5,11.1
,="Prendergast School",="Black or African American",1,1.9
="Area Cooperative Educational Services",="Collaborative Alternative Magnet School",="Black or African American",2,14.3
,="Thomas Edison Magnet Middle School",="Black or African American",4,5.8
,="Wintergreen Interdistrict Magnet School",="Black or African American",3,5.0
="Berlin School District",="Mary E. Griswold School",="Black or African American",1,2.2
="Bethel School District",="Anna H. Rockwell School",="Black or African American",1,2.4
,="Frank A. Berry School",="Black or African American",1,2.4
="Bloomfield School District",="Bloomfield High School",="Black or African American",19,25.0
,="Carmen Arace Intermediate School",="Black or African American",9,18.0
,="Carmen Arace Middle School",="Black or African American",13,24.1
,="J. P. Vincent School",="Black or African American",10,23.8
,="Laurel School",="Black or African American",6,17.1
,="Metacomet School",="Black or African American",4,13.3
="Branford School District",="Branford High School",="Black or African American",1,0.9
,="John B. Sliney School",="Black or African American",1,2.9
,="Mary T. Murphy School",="Black or African American",1,2.5
="Bridgeport School District",="Barnum School",="Black or African American",3,11.1
,="Bassick High School",="Black or African American",16,16.2
,="Beardsley School",="Black or African American",6,13.6
,="Black Rock School",="Black or African American",7,19.4
,="Blackham School",="Black or African American",11,12.8
,="Bridgeport Learning Center",="Black or African American",6,40.0
,="Bryant School",="Black or African American",1,3.3
,="Central High School",="Black or African American",21,12.9
,="Cesar Batalla School",="Black or African American",4,7.5
,="Classical Studies Academy",="Black or African American",5,17.2
,="Columbus School",="Black or African American",4,6.5
,="Cross School",="Black or African American",13,29.5
,="Curiale School",="Black or African American",8,12.3
,="Dunbar School",="Black or African American",20,40.0
,="Edison School",="Black or African American",3,10.7
,="Garfield School",="Black or African American",1,4.0
,="Geraldine Johnson School",="Black or African American",3,15.8
,="Hall School",="Black or African American",5,17.2
,="Hallen School",="Black or African American",6,18.2
,="Harding High School",="Black or African American",22,17.7
,="High Horizons Magnet School",="Black or African American",5,14.3
,="Hooker School",="Black or African American",4,10.0
,="Jettie S. Tisdale School",="Black or African American",10,29.4
,="Longfellow School",="Black or African American",21,45.7
,="Luis Munoz Marin School",="Black or African American",8,11.4
,="Madison School",="Black or African American",2,3.8
,="Maplewood Annex",="Black or African American",3,13.0
,="Multicultural Magnet School",="Black or African American",4,10.0
,="Newfield School",="Black or African American",6,35.3
,="Park City Magnet School",="Black or African American",6,16.2
,="Read School",="Black or African American",6,9.2
,="Roosevelt School",="Black or African American",7,10.1
,="Skane Center",="Black or African American",5,20.0
,="Waltersville School",="Black or African American",7,14.0
,="Winthrop School",="Black or African American",12,21.8
="Bristol School District",="Bristol Central High School",="Black or African American",3,2.6
,="Bristol Eastern High School",="Black or African American",2,1.8
,="Chippens Hill Middle School",="Black or African American",3,3.7
,="Edgewood School",="Black or African American",1,2.9
,="Memorial Boulevard Middle School",="Black or African American",1,1.8
,="Mountain View School",="Black or African American",1,2.9
,="South Side School",="Black or African American",1,2.1
