"Educator Race/Ethnicity Report for 2009-10"

"District","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Hispanic or Latino",3,7.0
="Amistad Academy District",="Hispanic or Latino",1,1.3
="Ansonia School District",="Hispanic or Latino",4,2.0
="Area Cooperative Educational Services",="Hispanic or Latino",7,2.3
="Avon School District",="Hispanic or Latino",2,0.7
="Berlin School District",="Hispanic or Latino",1,0.3
="Bethel School District",="Hispanic or Latino",1,0.4
="Bloomfield School District",="Hispanic or Latino",3,1.1
="Bolton School District",="Hispanic or Latino",1,1.0
="Branford School District",="Hispanic or Latino",5,1.5
="Bridgeport Achievement First District",="Hispanic or Latino",2,10.0
="Bridgeport School District",="Hispanic or Latino",178,10.2
="Bristol School District",="Hispanic or Latino",12,1.7
="Brookfield School District",="Hispanic or Latino",3,1.3
="Brooklyn School District",="Hispanic or Latino",1,1.3
="Capitol Region Education Council",="Hispanic or Latino",27,5.3
="Charter School for Young Children on Asylum Hill District",="Hispanic or Latino",2,13.3
="Cheshire School District",="Hispanic or Latino",4,1.0
="Clinton School District",="Hispanic or Latino",2,1.0
="Colchester School District",="Hispanic or Latino",4,1.4
="Columbia School District",="Hispanic or Latino",2,3.3
="Connecticut Technical High School System",="Hispanic or Latino",64,5.1
="Cooperative Educational Services",="Hispanic or Latino",5,3.1
="Coventry School District",="Hispanic or Latino",2,1.2
="Cromwell School District",="Hispanic or Latino",2,1.1
="Danbury School District",="Hispanic or Latino",42,5.0
="Darien School District",="Hispanic or Latino",6,1.2
="Deep River School District",="Hispanic or Latino",2,4.7
="Derby School District",="Hispanic or Latino",4,3.3
="East Hampton School District",="Hispanic or Latino",2,1.2
="East Hartford School District",="Hispanic or Latino",26,4.0
="East Haven School District",="Hispanic or Latino",4,1.3
="East Lyme School District",="Hispanic or Latino",1,0.3
="East Windsor School District",="Hispanic or Latino",2,1.6
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Hispanic or Latino",1,1.3
="Easton School District",="Hispanic or Latino",1,0.9
