"Educator Race/Ethnicity Report for 2007-08"

"District","School","Race","Count","% of Total"
"Amistad Academy District","Amistad Academy","Black or African American",9,20.9
="Ansonia School District",="Ansonia Middle School",="Black or African American",3,5.8
,="Mead School",="Black or African American",3,6.8
="Area Cooperative Educational Services",="Collaborative Alternative Magnet School",="Black or African American",1,7.7
,="Mill Road School",="Black or African American",3,9.1
,="Thomas Edison Magnet Middle School",="Black or African American",3,4.3
,="Whitney High School East",="Black or African American",1,4.3
,="Whitney High School North",="Black or African American",1,5.6
,="Wintergreen Interdistrict Magnet School",="Black or African American",4,8.0
="Avon School District",="Avon High School",="Black or African American",1,1.1
="Bethel School District",="Bethel High School",="Black or African American",1,1.0
="Bloomfield School District",="Bloomfield High School",="Black or African American",19,25.0
,="Carmen Arace Intermediate School",="Black or African American",9,18.4
,="Carmen Arace Middle School",="Black or African American",18,32.7
,="J. P. Vincent School",="Black or African American",10,26.3
,="Laurel School",="Black or African American",7,21.9
,="Metacomet School",="Black or African American",3,10.0
,="The Big Picture High School",="Black or African American",3,33.3
="Branford School District",="Branford High School",="Black or African American",1,0.8
="Bridgeport Achievement First District",="Achievement First Bridgeport Academy",="Black or African American",5,62.5
="Bridgeport School District",="Barnum School",="Black or African American",3,11.1
,="Bassick High School",="Black or African American",11,11.2
,="Beardsley School",="Black or African American",4,8.7
,="Black Rock School",="Black or African American",5,14.3
,="Blackham School",="Black or African American",6,7.0
,="Bridgeport Learning Center",="Black or African American",6,31.6
,="Bryant School",="Black or African American",2,5.9
,="Central High School",="Black or African American",23,13.1
,="Cesar Batalla School",="Black or African American",11,14.3
,="Classical Studies Academy",="Black or African American",4,13.8
,="Columbus School",="Black or African American",4,6.0
,="Cross School",="Black or African American",8,17.8
,="Curiale School",="Black or African American",7,14.6
,="Dunbar School",="Black or African American",16,42.1
,="Edison School",="Black or African American",4,11.4
,="Geraldine Johnson School",="Black or African American",3,14.3
,="Hall School",="Black or African American",3,10.0
,="Hallen School",="Black or African American",4,12.1
,="Harding High School",="Black or African American",25,19.7
,="High Horizons Magnet School",="Black or African American",6,17.1
,="Hooker School",="Black or African American",6,15.4
,="Jettie S. Tisdale School",="Black or African American",5,16.1
,="Longfellow School",="Black or African American",21,43.8
,="Luis Munoz Marin School",="Black or African American",6,8.5
,="Madison School",="Black or African American",3,6.0
,="Make The Grade",="Black or African American",3,30.0
,="Maplewood Annex",="Black or African American",3,12.5
,="Multicultural Magnet School",="Black or African American",4,10.3
,="Park City Academy",="Black or African American",3,30.0
,="Park City Magnet School",="Black or African American",5,13.9
,="Read School",="Black or African American",10,14.5
,="Roosevelt School",="Black or African American",11,16.4
,="Skane Center",="Black or African American",2,6.3
,="Waltersville School",="Black or African American",4,10.8
,="Winthrop School",="Black or African American",13,22.8
="Bristol School District",="Bristol Central High School",="Black or African American",2,1.7
,="Bristol Eastern High School",="Black or African American",1,0.9
,="Chippens Hill Middle School",="Black or African American",4,4.9
,="Clara T. O'Connell School",="Black or African American",1,2.8
,="Ellen P. Hubbell School",="Black or African American",1,2.6
="Brookfield School District",="Brookfield High School",="Black or African American",1,1.2
,="Huckleberry Hill Elementary School",="Black or African American",1,2.0
="Canterbury School District",="Dr. Helen Baldwin Middle School",="Black or African American",1,3.8
="Capitol Region Education Council",="Farmington Valley Regional Diagnostic Center",="Black or African American",1,33.3
,="Greater Hartford Academy of Math and Science",="Black or African American",1,7.7
,="John J. Allison Polaris Center",="Black or African American",2,12.5
,="Metropolitan Learning Center for Global and International Studies",="Black or African American",8,12.9
,="Montessori Magnet School",="Black or African American",4,18.2
,="Two Rivers Magnet Middle School",="Black or African American",3,5.0
,="University of Hartford Magnet School",="Black or African American",2,5.6
="Cheshire School District",="Cheshire High School",="Black or African American",2,1.4
,="Norton School",="Black or African American",1,2.1
="Colchester School District",="Bacon Academy",="Black or African American",1,1.1
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Black or African American",19,20.0
,="Bullard-Havens Technical High School",="Black or African American",5,5.2
,="E. C. Goodwin Technical High School",="Black or African American",6,7.2
,="Eli Whitney Technical High School",="Black or African American",14,16.1
,="Ella T. Grasso Southeastern Technical High School",="Black or African American",2,2.7
,="Emmett O'Brien Technical High School",="Black or African American",1,1.7
,="H. C. Wilcox Technical High School",="Black or African American",2,2.4
,="Henry Abbott Technical High School",="Black or African American",2,2.5
,="Howell Cheney Technical High School",="Black or African American",2,2.9
,="J. M. Wright Technical High School",="Black or African American",1,2.2
,="Norwich Technical High School",="Black or African American",1,1.5
,="Oliver Wolcott Technical High School",="Black or African American",2,2.7
,="Platt Technical High School",="Black or African American",2,2.4
,="Vinal Technical High School",="Black or African American",1,1.3
,="W. F. Kaynor Technical High School",="Black or African American",6,7.2
="Cooperative Educational Services",="C. E. S. Special Education",="Black or African American",2,2.4
,="Six-Six Magnet School",="Black or African American",2,4.3
="Coventry School District",="Capt. Nathan Hale School",="Black or African American",1,2.0
="Cromwell School District",="Cromwell Middle School",="Black or African American",1,2.0
,="Edna C. Stevens School",="Black or African American",1,2.6
,="Woodside Intermediate School",="Black or African American",1,2.4
="Danbury School District",="Alternative Center For Excellence",="Black or African American",1,7.1
,="Broadview Middle School",="Black or African American",2,2.0
,="Danbury High School",="Black or African American",7,3.1
,="Great Plain School",="Black or African American",4,11.8
,="Hayestown Avenue School",="Black or African American",1,2.4
,="King Street Intermediate School",="Black or African American",1,3.3
,="King Street Primary School",="Black or African American",1,3.6
,="Mill Ridge Educational Center",="Black or African American",2,5.6
,="Park Avenue School",="Black or African American",1,2.7
,="Pembroke School",="Black or African American",3,7.5
,="Rogers Park Middle School",="Black or African American",5,5.2
,="Shelter Rock School",="Black or African American",7,21.2
,="South Street School",="Black or African American",1,2.9
,="Stadley Rough School",="Black or African American",1,2.3
,="Western CT Academy of International Studies Elementary Magnet School",="Black or African American",1,3.2
="Darien School District",="Darien High School",="Black or African American",1,0.7
="Derby School District",="Derby High School",="Black or African American",1,1.8
="East Granby School District",="East Granby High School",="Black or African American",1,2.6
="East Hampton School District",="East Hampton Middle School",="Black or African American",1,2.2
="East Hartford School District",="Anna E. Norris School",="Black or African American",3,11.5
,="Connecticut IB Academy",="Black or African American",1,5.3
,="Dr. Franklin H. Mayberry School",="Black or African American",2,5.6
,="Dr. John A. Langford School",="Black or African American",1,3.1
,="Dr. Thomas S. O'Connell School",="Black or African American",1,3.4
,="East Hartford High School",="Black or African American",8,4.6
,="East Hartford Middle School",="Black or African American",5,4.9
,="Governor William Pitkin School",="Black or African American",5,14.7
,="Hockanum School",="Black or African American",1,2.9
,="Robert J. O'Brien School",="Black or African American",2,5.6
,="Stevens Alternate High School",="Black or African American",1,9.1
,="Sunset Ridge Middle School",="Black or African American",2,4.7
,="Willowbrook Early Childhood",="Black or African American",1,4.2
="East Windsor School District",="East Windsor High School",="Black or African American",1,2.2
="Ellington School District",="Ellington High School",="Black or African American",2,2.7
="Elm City College Preparatory School",="Elm City College Preparatory School",="Black or African American",7,18.4
="Enfield School District",="Enfield High School",="Black or African American",2,2.2
,="Harriet Beecher Stowe School",="Black or African American",1,3.0
,="Hazardville Memorial School",="Black or African American",2,5.6
