"Educator Race/Ethnicity Report for 2004-05"

"District","Race","Count","% of Total"
"Amistad Academy District","Black or African American",5,21.7
="Ansonia School District",="Black or African American",10,4.9
="Area Cooperative Educational Services",="Black or African American",14,4.8
="Berlin School District",="Black or African American",1,0.4
="Bethel School District",="Black or African American",1,0.4
="Bloomfield School District",="Black or African American",59,23.3
="Branford School District",="Black or African American",3,0.9
="Bridgeport School District",="Black or African American",263,15.4
="Bristol School District",="Black or African American",11,1.5
="Brookfield School District",="Black or African American",2,0.8
="Canterbury School District",="Black or African American",1,1.8
="Capitol Region Education Council",="Black or African American",23,6.6
="Cheshire School District",="Black or African American",3,0.7
="Colchester School District",="Black or African American",1,0.4
="Connecticut Technical High School System",="Black or African American",75,5.7
="Cooperative Educational Services",="Black or African American",3,2.4
="Coventry School District",="Black or African American",1,0.6
="Cromwell School District",="Black or African American",2,1.2
="Danbury School District",="Black or African American",32,3.8
="Darien School District",="Black or African American",1,0.2
="Derby School District",="Black or African American",1,0.8
="East Granby School District",="Black or African American",2,2.4
="East Hartford School District",="Black or African American",25,3.8
="Ellington School District",="Black or African American",3,1.4
="Elm City College Preparatory School",="Black or African American",3,18.8
="Enfield School District",="Black or African American",5,0.9
="Fairfield School District",="Black or African American",6,0.7
="Farmington School District",="Black or African American",7,1.8
="Glastonbury School District",="Black or African American",6,1.1
="Granby School District",="Black or African American",1,0.5
="Greenwich School District",="Black or African American",24,2.5
="Groton School District",="Black or African American",10,1.9
="Guilford School District",="Black or African American",1,0.3
="Hamden School District",="Black or African American",28,5.2
="Hartford School District",="Black or African American",358,16.7
="Hebron School District",="Black or African American",1,1.0
="Highville Mustard Seed Charter School District",="Black or African American",5,21.7
="Integrated Day Charter School District",="Black or African American",1,4.6
="Jumoke Academy District",="Black or African American",7,38.9
="Learn",="Black or African American",2,2.2
="Lebanon School District",="Black or African American",1,0.7
="Ledyard School District",="Black or African American",3,1.2
="Madison School District",="Black or African American",1,0.3
="Manchester School District",="Black or African American",24,3.7
="Mansfield School District",="Black or African American",2,1.4
="Meriden School District",="Black or African American",8,1.1
="Middletown School District",="Black or African American",22,4.9
="Milford School District",="Black or African American",3,0.4
="Montville School District",="Black or African American",1,0.4
="Naugatuck School District",="Black or African American",1,0.2
="New Beginnings Inc Family Academy District",="Black or African American",4,18.2
="New Britain School District",="Black or African American",40,4.8
="New Canaan School District",="Black or African American",4,1.0
="New Haven School District",="Black or African American",351,19.6
="New London School District",="Black or African American",23,7.7
="Newington School District",="Black or African American",4,1.0
="Newtown School District",="Black or African American",2,0.5
="North Haven School District",="Black or African American",3,0.9
="Norwalk School District",="Black or African American",71,7.8
="Norwich Free Academy District",="Black or African American",4,2.3
="Norwich School District",="Black or African American",6,1.9
="Plainville School District",="Black or African American",1,0.4
="Preston School District",="Black or African American",1,2.1
="Putnam School District",="Black or African American",1,0.8
="Regional School District 05",="Black or African American",1,0.4
="Regional School District 07",="Black or African American",1,0.9
="Regional School District 08",="Black or African American",2,1.3
="Regional School District 09",="Black or African American",1,1.0
="Regional School District 10",="Black or African American",2,0.8
="Regional School District 11",="Black or African American",1,2.0
="Regional School District 15",="Black or African American",2,0.5
="Regional School District 17",="Black or African American",1,0.4
="Ridgefield School District",="Black or African American",1,0.2
="Rocky Hill School District",="Black or African American",2,0.9
="Seymour School District",="Black or African American",3,1.3
="Simsbury School District",="Black or African American",1,0.2
="Somers School District",="Black or African American",1,0.7
="South Windsor School District",="Black or African American",6,1.5
="Southington School District",="Black or African American",5,0.9
="Stamford Academy District",="Black or African American",1,8.3
="Stamford School District",="Black or African American",95,6.5
="Stonington School District",="Black or African American",1,0.4
="Stratford School District",="Black or African American",16,2.5
="Suffield School District",="Black or African American",2,1.0
="The Bridge Academy District",="Black or African American",2,15.4
="Thompson School District",="Black or African American",1,0.8
="Tolland School District",="Black or African American",2,0.8
="Torrington School District",="Black or African American",2,0.5
="Trumbull School District",="Black or African American",6,1.1
="Unified School District #1",="Black or African American",11,5.4
="Unified School District #2",="Black or African American",10,8.4
="Vernon School District",="Black or African American",4,1.1
="Wallingford School District",="Black or African American",5,0.8
="Waterbury School District",="Black or African American",62,4.0
="Waterford School District",="Black or African American",2,0.7
="Watertown School District",="Black or African American",2,0.8
="West Hartford School District",="Black or African American",20,2.2
="West Haven School District",="Black or African American",23,3.8
="Weston School District",="Black or African American",1,0.4
="Westport School District",="Black or African American",5,0.9
="Wethersfield School District",="Black or African American",5,1.7
="Wilton School District",="Black or African American",2,0.5
="Windham School District",="Black or African American",2,0.6
="Windsor Locks School District",="Black or African American",4,2.2
="Windsor School District",="Black or African American",34,7.5
="Wolcott School District",="Black or African American",1,0.4
="Woodbridge School District",="Black or African American",1,1.2

