"Educator Race/Ethnicity Report for 2013-14"

"District","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","White",73,74.5
="Amistad Academy District",="White",100,81.3
="Andover School District",="White",34,100.0
="Ansonia School District",="White",195,95.6
="Area Cooperative Educational Services",="White",256,92.8
="Ashford School District",="White",49,100.0
="Avon School District",="White",293,97.0
="Barkhamsted School District",="White",32,100.0
="Berlin School District",="White",296,99.0
="Bethany School District",="White",51,98.1
="Bethel School District",="White",278,97.9
="Bloomfield School District",="White",186,72.1
="Bolton School District",="White",84,96.6
="Bozrah School District",="White",29,100.0
="Branford School District",="White",316,97.2
="Brass City Charter School District",="White",8,100.0
="Bridgeport Achievement First District",="White",51,73.9
="Bridgeport School District",="White",1202,74.0
="Bristol School District",="White",635,95.8
="Brookfield School District",="White",237,95.6
="Brooklyn School District",="White",76,98.7
="Canaan School District",="White",23,100.0
="Canterbury School District",="White",48,96.0
="Canton School District",="White",153,100.0
="Capitol Region Education Council",="White",734,84.2
="Chaplin School District",="White",24,100.0
="Cheshire School District",="White",390,97.0
="Chester School District",="White",37,100.0
="Clinton School District",="White",198,96.6
="Colchester School District",="White",255,98.1
="Colebrook School District",="White",18,94.7
="Columbia School District",="White",52,98.1
="Common Ground High School District",="White",18,85.7
="Connecticut Technical High School System",="White",1124,88.8
="Cooperative Educational Services",="White",164,95.4
="Cornwall School District",="White",25,100.0
="Coventry School District",="White",173,97.7
="Cromwell School District",="White",181,94.8
="Danbury School District",="White",776,88.1
="Darien School District",="White",489,96.6
="Deep River School District",="White",43,97.7
="Department of Mental Health and Addiction Services",="White",2,100.0
="Department of Social Services",="White",34,97.1
="Derby School District",="White",124,95.4
="East Granby School District",="White",96,97.0
="East Haddam School District",="White",135,100.0
="East Hampton School District",="White",172,98.3
="East Hartford School District",="White",583,88.7
="East Haven School District",="White",281,96.9
="East Lyme School District",="White",281,98.6
="East Windsor School District",="White",129,99.2
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="White",99,96.1
="Eastford School District",="White",20,100.0
="Easton School District",="White",95,95.0
="EdAdvance",="White",29,100.0
="Ellington School District",="White",225,98.3
="Elm City College Preparatory School District",="White",35,79.6
="Enfield School District",="White",498,97.7
="Essex School District",="White",65,98.5
="Explorations District",="White",11,91.7
="Fairfield School District",="White",993,97.0
="Farmington School District",="White",373,94.2
="Franklin School District",="White",19,100.0
="Glastonbury School District",="White",563,96.2
="Granby School District",="White",185,96.9
="Greenwich School District",="White",865,90.5
