"Educator Race/Ethnicity Report for 2008-09"

"District","School","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Black or African American",4,15.4
="Amistad Academy District",="Amistad Academy",="Black or African American",9,14.3
="Ansonia School District",="Ansonia High School",="Black or African American",1,1.8
,="Ansonia Middle School",="Black or African American",2,4.0
,="Mead School",="Black or African American",4,8.9
="Area Cooperative Educational Services",="Mill Road School",="Black or African American",3,8.8
,="Thomas Edison Magnet Middle School",="Black or African American",3,4.1
,="Whitney High School East",="Black or African American",1,4.0
,="Whitney High School North",="Black or African American",1,5.9
,="Wintergreen Interdistrict Magnet School",="Black or African American",4,7.4
="Avon School District",="Avon High School",="Black or African American",1,1.1
="Bethel School District",="Bethel High School",="Black or African American",1,1.0
="Bloomfield School District",="Bloomfield High School",="Black or African American",20,27.0
,="Carmen Arace Intermediate School",="Black or African American",8,17.8
,="Carmen Arace Middle School",="Black or African American",17,29.8
,="J. P. Vincent School",="Black or African American",10,27.8
,="Laurel School",="Black or African American",6,20.0
,="Metacomet School",="Black or African American",3,9.7
,="The Big Picture High School",="Black or African American",3,30.0
="Branford School District",="Branford High School",="Black or African American",1,0.9
="Bridgeport Achievement First District",="Achievement First Bridgeport Academy",="Black or African American",5,35.7
="Bridgeport School District",="Barnum School",="Black or African American",3,5.9
,="Bassick High School",="Black or African American",12,12.6
,="Beardsley School",="Black or African American",2,5.3
,="Black Rock School",="Black or African American",4,12.5
,="Blackham School",="Black or African American",5,6.0
,="Bridgeport Learning Center",="Black or African American",5,26.3
,="Bryant School",="Black or African American",3,8.1
,="Central High School",="Black or African American",23,13.4
,="Cesar Batalla School",="Black or African American",11,13.3
,="Classical Studies Academy",="Black or African American",7,25.0
,="Columbus School",="Black or African American",3,4.7
,="Cross School",="Black or African American",10,21.7
,="Curiale School",="Black or African American",6,11.5
,="Dunbar School",="Black or African American",15,36.6
,="Edison School",="Black or African American",3,9.1
,="Geraldine Johnson School",="Black or African American",8,14.5
,="Hall School",="Black or African American",5,14.7
,="Hallen School",="Black or African American",4,12.1
,="Harding High School",="Black or African American",25,19.7
,="High Horizons Magnet School",="Black or African American",6,17.6
,="Hooker School",="Black or African American",5,13.2
,="Jettie S. Tisdale School",="Black or African American",9,18.0
,="Longfellow School",="Black or African American",18,40.9
,="Luis Munoz Marin School",="Black or African American",6,8.0
,="Madison School",="Black or African American",2,4.3
,="Make The Grade",="Black or African American",5,41.7
,="Multicultural Magnet School",="Black or African American",4,9.1
,="Park City Academy",="Black or African American",2,16.7
,="Park City Magnet School",="Black or African American",5,13.5
,="Read School",="Black or African American",8,11.8
,="Roosevelt School",="Black or African American",7,11.9
,="Skane Center",="Black or African American",2,6.5
,="Waltersville School",="Black or African American",7,15.2
,="Winthrop School",="Black or African American",12,21.4
="Bristol School District",="Bristol Central High School",="Black or African American",4,3.5
,="Bristol Eastern High School",="Black or African American",2,1.9
,="Chippens Hill Middle School",="Black or African American",3,3.7
,="Clara T. O'Connell School",="Black or African American",2,5.4
,="South Side School",="Black or African American",1,2.1
="Brookfield School District",="Brookfield High School",="Black or African American",1,1.3
,="Center Elementary School",="Black or African American",1,2.9
,="Huckleberry Hill Elementary School",="Black or African American",1,2.0
="Canterbury School District",="Dr. Helen Baldwin Middle School",="Black or African American",1,4.2
="Capitol Region Education Council",="Academy of Aerospace and Engineering",="Black or African American",1,4.2
,="Farmington Valley Regional Diagnostic Center",="Black or African American",1,14.3
,="Great Path Academy at MCC",="Black or African American",1,5.0
,="Greater Hartford Academy of the Arts High School - Full Time",="Black or African American",2,14.3
,="International Magnet School for Global Citizenship",="Black or African American",1,8.3
,="John J. Allison Polaris Center",="Black or African American",5,17.9
,="Metropolitan Learning Center for Global and International Studies",="Black or African American",8,11.6
,="Montessori Magnet School",="Black or African American",4,18.2
,="Public Safety Academy",="Black or African American",1,7.1
,="Two Rivers Magnet Middle School",="Black or African American",3,4.8
,="University of Hartford Magnet School",="Black or African American",2,5.3
="Cheshire School District",="Cheshire High School",="Black or African American",2,1.4
,="Norton School",="Black or African American",1,2.1
="Colchester School District",="Bacon Academy",="Black or African American",2,2.1
="Common Ground High School District",="Common Ground High School",="Black or African American",1,5.9
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Black or African American",17,17.9
,="Bullard-Havens Technical High School",="Black or African American",5,5.2
,="E. C. Goodwin Technical High School",="Black or African American",6,7.4
,="Eli Whitney Technical High School",="Black or African American",12,14.5
,="Ella T. Grasso Southeastern Technical High School",="Black or African American",2,2.6
,="Emmett O'Brien Technical High School",="Black or African American",3,4.8
,="H. C. Wilcox Technical High School",="Black or African American",2,2.4
,="Henry Abbott Technical High School",="Black or African American",2,2.4
,="Howell Cheney Technical High School",="Black or African American",2,2.6
,="J. M. Wright Technical High School",="Black or African American",1,2.6
,="Norwich Technical High School",="Black or African American",1,1.4
,="Oliver Wolcott Technical High School",="Black or African American",3,3.8
,="Platt Technical High School",="Black or African American",3,3.5
,="Vinal Technical High School",="Black or African American",1,1.3
,="W. F. Kaynor Technical High School",="Black or African American",6,7.0
="Cooperative Educational Services",="C. E. S. Special Education",="Black or African American",1,1.1
,="Six-Six Magnet School",="Black or African American",3,6.3
="Coventry School District",="Capt. Nathan Hale School",="Black or African American",1,2.0
="Cromwell School District",="Cromwell Middle School",="Black or African American",1,1.9
,="Edna C. Stevens School",="Black or African American",1,2.3
,="Woodside Intermediate School",="Black or African American",1,2.3
="Danbury School District",="Alternative Center For Excellence",="Black or African American",1,7.1
,="Broadview Middle School",="Black or African American",3,3.0
,="Danbury High School",="Black or African American",7,3.2
,="Great Plain School",="Black or African American",4,11.4
,="Hayestown Avenue School",="Black or African American",1,2.1
,="King Street Intermediate School",="Black or African American",1,3.6
,="King Street Primary School",="Black or African American",1,3.2
,="Mill Ridge Educational Center",="Black or African American",2,5.9
,="Park Avenue School",="Black or African American",1,2.7
,="Pembroke School",="Black or African American",4,10.0
,="Rogers Park Middle School",="Black or African American",6,5.8
,="Shelter Rock School",="Black or African American",7,20.6
,="South Street School",="Black or African American",1,3.0
,="Stadley Rough School",="Black or African American",1,2.3
,="Western CT Academy of International Studies Elementary Magnet School",="Black or African American",1,2.8
="Derby School District",="Derby High School",="Black or African American",1,1.8
="East Granby School District",="East Granby High School",="Black or African American",1,2.6
="East Hartford School District",="Anna E. Norris School",="Black or African American",4,12.9
,="Connecticut IB Academy",="Black or African American",2,10.5
,="Dr. Franklin H. Mayberry School",="Black or African American",2,5.1
,="Dr. John A. Langford School",="Black or African American",1,3.2
,="Dr. Thomas S. O'Connell School",="Black or African American",2,5.6
,="East Hartford High School",="Black or African American",10,5.6
,="East Hartford Middle School",="Black or African American",4,3.9
,="Governor William Pitkin School",="Black or African American",5,14.3
,="Hockanum School",="Black or African American",1,2.9
,="Robert J. O'Brien School",="Black or African American",3,7.7
,="Stevens Alternate High School",="Black or African American",1,8.3
,="Sunset Ridge Middle School",="Black or African American",2,4.5
,="Willowbrook Early Childhood",="Black or African American",1,3.6
="East Windsor School District",="East Windsor High School",="Black or African American",2,4.2
="Ellington School District",="Ellington High School",="Black or African American",2,2.7
="Elm City College Preparatory School",="Elm City College Preparatory School",="Black or African American",7,14.0
="Enfield School District",="Enfield High School",="Black or African American",3,3.4
,="Enrico Fermi High School",="Black or African American",1,1.0
,="Hazardville Memorial School",="Black or African American",1,2.9
,="John F. Kennedy Middle School",="Black or African American",1,1.0
="Fairfield School District",="Fairfield Ludlowe High School",="Black or African American",2,1.3
,="McKinley School",="Black or African American",1,2.0
,="Osborn Hill School",="Black or African American",1,1.9
,="Riverfield School",="Black or African American",1,2.2
="Farmington School District",="East Farms School",="Black or African American",1,2.6
,="Farmington High School",="Black or African American",2,1.4
,="Irving A. Robbins Middle School",="Black or African American",2,2.9
,="Noah Wallace School",="Black or African American",1,3.2
,="Union School",="Black or African American",1,3.4
="Glastonbury School District",="Gideon Welles School",="Black or African American",1,1.9
,="Glastonbury High School",="Black or African American",1,0.5
,="Hebron Avenue School",="Black or African American",1,2.4
,="Naubuc School",="Black or African American",1,2.1
="Granby School District",="Granby Memorial High School",="Black or African American",1,1.4
="Greenwich School District",="Central Middle School",="Black or African American",1,1.4
,="Eastern Middle School",="Black or African American",3,4.3
,="Glenville School",="Black or African American",1,2.6
,="Greenwich High School",="Black or African American",8,2.9
,="Hamilton Avenue School",="Black or African American",4,7.1
,="Julian Curtiss School",="Black or African American",2,4.4
,="North Mianus School",="Black or African American",2,4.3
,="North Street School",="Black or African American",1,2.1
,="Riverside School",="Black or African American",2,4.2
,="Western Middle School",="Black or African American",4,7.1
="Groton School District",="Carl C. Cutler Middle School",="Black or African American",2,4.3
,="Catherine Kolnaski Magnet School",="Black or African American",3,6.5
,="Fitch Middle School",="Black or African American",3,5.5
,="Mary Morrisson School",="Black or African American",1,2.6
,="Robert E. Fitch High School",="Black or African American",2,1.6
,="S. B. Butler School",="Black or African American",1,2.9
,="West Side Middle School",="Black or African American",2,4.9
="Guilford School District",="A. Baldwin Middle School",="Black or African American",1,1.7
,="A. W. Cox School",="Black or African American",1,3.0
="Hamden School District",="Bear Path School",="Black or African American",1,2.3
,="Church Street School",="Black or African American",5,13.5
,="Dunbar Hill School",="Black or African American",1,2.9
,="Hamden High School",="Black or African American",8,4.5
,="Hamden Middle School",="Black or African American",9,9.2
,="Helen Street School",="Black or African American",3,10.0
,="Ridge Hill School",="Black or African American",4,12.1
,="Shepherd Glen School",="Black or African American",1,3.2
,="Spring Glen School",="Black or African American",2,6.7
="Hartford School District",="Asian Studies Academy at Bellizzi School",="Black or African American",3,8.3
,="Batchelder School",="Black or African American",6,11.3
,="Breakthrough II Magnet School",="Black or African American",1,8.3
,="Breakthrough Magnet School",="Black or African American",2,7.1
,="Bulkeley High School Lower School",="Black or African American",10,7.8
,="Burns Latino Studies Academy",="Black or African American",5,10.6
,="Burr School",="Black or African American",2,3.8
,="Capital Preparatory Magnet School",="Black or African American",8,38.1
,="Clark School",="Black or African American",14,34.1
,="Classical Magnet School",="Black or African American",5,8.9
,="Culinary Arts Academy at Weaver High School",="Black or African American",8,33.3
,="Dr. Joseph Bellizzi Middle School",="Black or African American",7,13.7
,="Environmental Sciences Magnet at Hooker School",="Black or African American",3,8.6
,="Expeditionary Learning Academy at Moylan School",="Black or African American",2,3.1
,="Fox Middle School",="Black or African American",12,50.0
,="Global Communications Academy",="Black or African American",3,13.6
,="Hartford Magnet Trinity College Academy",="Black or African American",6,9.0
,="Hartford Public High School",="Black or African American",18,12.3
,="Hartford Transitional Learning Academy (Elementary)",="Black or African American",1,6.7
,="Hartford Transitional Learning Academy (Secondary)",="Black or African American",4,21.1
,="Kennelly School",="Black or African American",8,13.3
,="Kinsella Magnet School of Performing Arts",="Black or African American",2,3.4
,="Little Owls Learning Center",="Black or African American",1,50.0
,="M. D. Fox School",="Black or African American",4,5.9
,="M. L. King, Jr. School",="Black or African American",22,41.5
,="McDonough Middle School",="Black or African American",1,2.6
,="Milner School",="Black or African American",7,16.7
,="Montessori Magnet at Fisher School",="Black or African American",2,15.4
,="Naylor/CCSU Leadership Academy",="Black or African American",5,9.4
,="Parkville Community School",="Black or African American",3,6.3
,="Pathways Academy of Technology and Design",="Black or African American",3,8.8
,="Quirk Middle School",="Black or African American",10,14.5
,="Rawson School",="Black or African American",20,37.0
,="SAND School",="Black or African American",11,28.9
,="STEM Magnet at Fisher School",="Black or African American",17,38.6
,="Sanchez School",="Black or African American",1,1.9
,="Simpson-Waverly School",="Black or African American",14,40.0
,="Sports and Medical Sciences Academy",="Black or African American",3,6.4
,="University High School of Science and Engineering",="Black or African American",3,9.7
,="Weaver High School",="Black or African American",36,42.4
,="Webster Micro Society Magnet School",="Black or African American",6,10.3
,="West Middle School",="Black or African American",5,8.9
,="Wish Museum School",="Black or African American",7,14.6
="Hebron School District",="Hebron Elementary School",="Black or African American",1,1.8
="Highville Charter School District",="Highville Charter School",="Black or African American",2,8.3
="Interdistrict School for Arts and Comm District",="Interdistrict School For Arts And Communication",="Black or African American",1,5.0
="Jumoke Academy District",="Jumoke Academy",="Black or African American",7,24.1
="Learn",="Learn Special Education",="Black or African American",1,3.8
,="Regional Multicultural Magnet School",="Black or African American",2,4.8
="Ledyard School District",="Ledyard High School",="Black or African American",1,1.0
,="Ledyard Middle School",="Black or African American",1,2.3
="Madison School District",="Walter C. Polson Upper Middle School",="Black or African American",1,1.5
="Manchester School District",="Bowers School",="Black or African American",1,2.6
,="Buckley School",="Black or African American",1,2.8
,="Illing Middle School",="Black or African American",7,6.9
,="Manchester High School",="Black or African American",9,4.8
,="Manchester Regional Academy",="Black or African American",1,4.8
,="Robertson School",="Black or African American",2,4.9
,="Waddell School",="Black or African American",2,5.7
,="Washington School",="Black or African American",3,8.6
="Mansfield School District",="Mansfield Middle School",="Black or African American",2,2.8
="Meriden School District",="Benjamin Franklin School",="Black or African American",2,4.2
,="Casimir Pulaski School",="Black or African American",1,1.8
,="Francis T. Maloney High School",="Black or African American",2,1.7
,="Israel Putnam School",="Black or African American",1,2.1
,="John Barry School",="Black or African American",2,4.1
,="Lincoln Middle School",="Black or African American",1,1.3
,="Orville H. Platt High School",="Black or African American",2,1.8
,="Roger Sherman School",="Black or African American",1,2.3
,="Washington Middle School",="Black or African American",2,2.0
="Middletown School District",="Bielefield School",="Black or African American",1,2.9
,="Keigwin Middle School",="Black or African American",1,2.3
,="Lawrence School",="Black or African American",2,6.7
,="Middletown High School",="Black or African American",2,1.7
,="Moody School",="Black or African American",1,2.8
,="Snow School",="Black or African American",1,2.5
,="Spencer School",="Black or African American",1,2.9
,="Wesley School",="Black or African American",1,3.4
,="Woodrow Wilson Middle School",="Black or African American",7,10.0
="Milford School District",="Harborside Middle School",="Black or African American",1,1.6
,="Jonathan Law High School",="Black or African American",1,1.0
,="Joseph A. Foran High School",="Black or African American",1,1.0
,="Orange Avenue School",="Black or African American",1,2.2
="Montville School District",="Dr. Charles E. Murphy School",="Black or African American",1,2.5
="Naugatuck School District",="Naugatuck High School",="Black or African American",2,1.6
="New Beginnings Inc Family Academy District",="New Beginnings Inc Family Academy",="Black or African American",8,25.8
="New Britain School District",="Gaffney School",="Black or African American",1,2.3
,="Jefferson School",="Black or African American",2,5.1
,="Lincoln School",="Black or African American",1,2.3
,="New Britain High School",="Black or African American",15,6.4
,="Northend School",="Black or African American",2,8.0
,="Pulaski Middle School",="Black or African American",4,5.9
,="Roosevelt Middle School",="Black or African American",9,17.6
,="Slade Middle School",="Black or African American",2,3.6
,="Smalley Academy",="Black or African American",5,9.4
,="Smith School",="Black or African American",4,7.7
,="Vance School",="Black or African American",1,2.6
="New Canaan School District",="New Canaan High School",="Black or African American",1,0.8
,="Saxe Middle School",="Black or African American",1,0.7
="New Haven School District",="Augusta Lewis Troup School",="Black or African American",10,17.9
