"Educator Race/Ethnicity Report for 2010-11"

"District","School","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","White",47,77.0
="Amistad Academy District",="Amistad Academy",="White",75,83.3
="Andover School District",="Andover Elementary School",="White",36,100.0
="Ansonia School District",="Ansonia High School",="White",59,95.2
,="Ansonia Middle School",="White",36,94.7
,="Mead School",="White",44,91.7
,="Prendergast School",="White",57,98.3
="Area Cooperative Educational Services",="Center for Autism Spectrum and Development Disorders",="White",2,100.0
,="Mill Road School",="White",34,94.4
,="Thomas Edison Magnet Middle School",="White",63,90.0
,="Village School",="White",31,100.0
,="Whitney High School East",="White",26,92.9
,="Whitney High School North",="White",17,89.5
,="Whitney High School West",="White",13,100.0
,="Wintergreen Interdistrict Magnet School",="White",45,84.9
="Ashford School District",="Ashford School",="White",52,100.0
="Avon School District",="Avon High School",="White",95,97.9
,="Avon Middle School",="White",53,98.1
,="Pine Grove School",="White",50,98.0
,="Roaring Brook School",="White",50,100.0
,="Thompson Brook School",="White",47,97.9
="Barkhamsted School District",="Barkhamsted Elementary School",="White",31,100.0
,="Shared Services Integrated Preschool",="White",1,100.0
="Berlin School District",="Berlin High School",="White",97,98.0
,="Catherine M. McGee Middle School",="White",72,97.3
,="Emma Hart Willard School",="White",50,100.0
,="Mary E. Griswold School",="White",51,100.0
,="Richard D. Hubbard School",="White",28,100.0
="Bethany School District",="Bethany Community School",="White",53,98.1
="Bethel School District",="Anna H. Rockwell School",="White",38,100.0
,="Bethel High School",="White",97,99.0
,="Bethel Middle School",="White",63,98.4
,="Frank A. Berry School",="White",46,100.0
,="Ralph M. T. Johnson School",="White",42,100.0
="Bloomfield School District",="Bloomfield High School",="White",56,72.7
,="Carmen Arace Intermediate School",="White",32,78.0
,="Carmen Arace Middle School",="White",29,67.4
,="J. P. Vincent School",="White",34,82.9
,="Laurel School",="White",26,81.3
,="The Big Picture High School",="White",8,72.7
,="Wintonbury Early Childhood Magnet School",="White",24,92.3
="Bolton School District",="Bolton Center School",="White",55,96.5
,="Bolton High School",="White",39,100.0
="Bozrah School District",="Fields Memorial School",="White",26,100.0
="Branford School District",="Branford High School",="White",106,95.5
,="Francis Walsh Intermediate School",="White",102,99.0
,="Indian Neck School",="White",5,83.3
,="John B. Sliney School",="White",35,100.0
,="Mary R. Tisko School",="White",37,100.0
,="Mary T. Murphy School",="White",40,97.6
="Bridgeport Achievement First District",="Achievement First Bridgeport Academy",="White",28,71.8
="Bridgeport School District",="Barnum School",="White",36,64.3
,="Bassick High School",="White",66,73.3
,="Beardsley School",="White",33,86.8
,="Black Rock School",="White",27,87.1
,="Blackham School",="White",75,89.3
,="Bridgeport Learning Center",="White",15,78.9
,="Bridgeport Regional Vocational Aquaculture School",="White",15,88.2
,="Bryant School",="White",30,85.7
,="Central High School",="White",121,79.6
,="Central at Night",="White",1,100.0
,="Cesar Batalla School",="White",38,46.9
,="Classical Studies Academy",="White",20,66.7
,="Columbus School",="White",42,73.7
,="Cross School",="White",31,77.5
,="Curiale School",="White",41,78.8
,="Dunbar School",="White",26,68.4
,="Edison School",="White",26,86.7
,="Geraldine Johnson School",="White",45,77.6
,="Hall School",="White",25,83.3
,="Hallen School",="White",25,80.6
,="Harding High School",="White",76,65.0
,="High Horizons Magnet School",="White",25,73.5
,="Hooker School",="White",30,76.9
,="Interdistrict Discovery Magnet School",="White",10,76.9
,="Jettie S. Tisdale School",="White",43,76.8
,="Longfellow School",="White",25,59.5
,="Luis Munoz Marin School",="White",54,74.0
,="Madison School",="White",42,91.3
,="Make The Grade",="White",4,40.0
,="Multicultural Magnet School",="White",33,76.7
,="New Start Program",="White",11,91.7
,="Park City Academy",="White",9,81.8
,="Park City Magnet School",="White",27,71.1
,="Read School",="White",57,87.7
,="Roosevelt School",="White",34,63.0
,="Skane Center",="White",21,72.4
,="The University School",="White",11,91.7
,="Waltersville School",="White",33,71.7
,="Winthrop School",="White",40,75.5
="Bristol School District",="Alternative Special Education Program (ASEP)",="White",5,100.0
,="Bristol Central High School",="White",103,91.2
,="Bristol Eastern High School",="White",97,94.2
,="Chippens Hill Middle School",="White",79,95.2
,="Clara T. O'Connell School",="White",34,94.4
,="Community/Vocational Program",="White",1,100.0
,="Edgewood School",="White",31,96.9
,="Ellen P. Hubbell School",="White",39,97.5
,="Greene-Hills School",="White",32,94.1
,="Ivy Drive School",="White",33,100.0
,="John J. Jennings School",="White",29,93.5
,="Memorial Boulevard Middle School",="White",49,98.0
,="Mountain View School",="White",29,100.0
,="Northeast Middle School",="White",55,100.0
,="South Side School",="White",44,93.6
,="Stafford School",="White",40,95.2
="Brookfield School District",="Brookfield High School",="White",77,93.9
,="Center Elementary School",="White",35,100.0
,="Huckleberry Hill Elementary School",="White",44,95.7
,="Whisconier Middle School",="White",75,98.7
="Brooklyn School District",="Brooklyn Elementary School",="White",43,97.7
,="Brooklyn Middle School",="White",39,100.0
="Canaan School District",="Lee H. Kellogg School",="White",18,100.0
="Canterbury School District",="Canterbury Elementary School",="White",25,96.2
,="Dr. Helen Baldwin Middle School",="White",23,95.8
="Canton School District",="Canton High School",="White",52,98.1
,="Canton Intermediate School",="White",36,100.0
,="Canton Middle School",="White",34,97.1
,="Cherry Brook Primary School",="White",45,100.0
="Capitol Region Education Council",="Academy of Aerospace and Engineering",="White",28,93.3
,="Academy of Science and Innovation",="White",16,69.6
,="Farmington Valley Regional Diagnostic Center",="White",4,80.0
,="Glastonbury/East Hartford Magnet School",="White",19,86.4
,="Great Path Academy at MCC",="White",26,92.9
,="Greater Hartford Academy of Math and Science",="White",4,66.7
