"Educator Race/Ethnicity Report for 2010-11"

"District","School","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Asian",3,4.9
="Amistad Academy District",="Amistad Academy",="Asian",7,7.8
="Ansonia School District",="Ansonia Middle School",="Asian",1,2.6
,="Mead School",="Asian",1,2.1
="Area Cooperative Educational Services",="Thomas Edison Magnet Middle School",="Asian",1,1.4
,="Whitney High School East",="Asian",1,3.6
,="Wintergreen Interdistrict Magnet School",="Asian",1,1.9
="Berlin School District",="Catherine M. McGee Middle School",="Asian",2,2.7
="Bethel School District",="Bethel Middle School",="Asian",1,1.6
="Bloomfield School District",="The Big Picture High School",="Asian",1,9.1
="Branford School District",="Branford High School",="Asian",1,0.9
,="Mary T. Murphy School",="Asian",1,2.4
="Bridgeport School District",="Barnum School",="Asian",2,3.6
,="Bassick High School",="Asian",1,1.1
,="Beardsley School",="Asian",1,2.6
,="Black Rock School",="Asian",1,3.2
,="Blackham School",="Asian",2,2.4
,="Bridgeport Learning Center",="Asian",1,5.3
,="Bridgeport Regional Vocational Aquaculture School",="Asian",1,5.9
,="Central High School",="Asian",2,1.3
,="Cesar Batalla School",="Asian",2,2.5
,="Columbus School",="Asian",3,5.3
,="Curiale School",="Asian",3,5.8
,="Geraldine Johnson School",="Asian",4,6.9
,="Harding High School",="Asian",4,3.4
,="High Horizons Magnet School",="Asian",1,2.9
,="Interdistrict Discovery Magnet School",="Asian",1,7.7
,="Multicultural Magnet School",="Asian",1,2.3
,="Park City Magnet School",="Asian",2,5.3
,="Roosevelt School",="Asian",3,5.6
,="Skane Center",="Asian",1,3.4
,="Waltersville School",="Asian",2,4.3
="Bristol School District",="Bristol Central High School",="Asian",3,2.7
,="Bristol Eastern High School",="Asian",1,1.0
,="Ellen P. Hubbell School",="Asian",1,2.5
,="Greene-Hills School",="Asian",1,2.9
,="Stafford School",="Asian",1,2.4
="Brookfield School District",="Brookfield High School",="Asian",2,2.4
="Canterbury School District",="Canterbury Elementary School",="Asian",1,3.8
="Capitol Region Education Council",="Academy of Aerospace and Engineering",="Asian",1,3.3
,="Glastonbury/East Hartford Magnet School",="Asian",2,9.1
,="Greater Hartford Academy of the Arts High School - Full Time",="Asian",1,3.8
,="Metropolitan Learning Center for Global and International Studies",="Asian",1,1.6
,="Montessori Magnet School",="Asian",1,3.8
,="Public Safety Academy",="Asian",2,6.7
,="Two Rivers Magnet Middle School",="Asian",4,6.3
="Cheshire School District",="Cheshire High School",="Asian",2,1.5
,="Highland School",="Asian",1,1.5
="Clinton School District",="The Morgan School",="Asian",1,1.6
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Asian",1,1.0
,="Bullard-Havens Technical High School",="Asian",2,2.1
,="E. C. Goodwin Technical High School",="Asian",1,1.3
,="Eli Whitney Technical High School",="Asian",1,1.4
,="Ella T. Grasso Southeastern Technical High School",="Asian",2,2.7
,="H. H. Ellis Technical High School",="Asian",1,1.6
,="Norwich Technical High School",="Asian",1,1.5
,="Oliver Wolcott Technical High School",="Asian",1,1.3
,="Windham Technical High School",="Asian",1,1.5
="Cooperative Educational Services",="Six-Six Magnet School",="Asian",1,2.0
="Cromwell School District",="Cromwell High School",="Asian",1,1.7
,="Edna C. Stevens School",="Asian",1,2.5
,="Woodside Intermediate School",="Asian",1,2.4
="Danbury School District",="Broadview Middle School",="Asian",1,1.1
,="Danbury High School",="Asian",5,2.3
,="Hayestown Avenue School",="Asian",1,2.7
,="King Street Primary School",="Asian",1,2.8
,="Morris Street School",="Asian",1,3.0
,="Park Avenue School",="Asian",1,2.9
,="Pembroke School",="Asian",1,2.6
,="Rogers Park Middle School",="Asian",1,1.0
,="South Street School",="Asian",1,2.6
,="Western CT Academy of International Studies Elementary Magnet School",="Asian",1,3.0
="Darien School District",="Darien High School",="Asian",1,0.7
,="Holmes Elementary School",="Asian",1,2.1
,="Ox Ridge Elementary School",="Asian",1,1.9
="East Hartford School District",="Connecticut IB Academy",="Asian",2,11.1
,="Dr. John A. Langford School",="Asian",1,2.9
,="East Hartford High School",="Asian",4,2.4
,="East Hartford Middle School",="Asian",1,0.9
,="Governor William Pitkin School",="Asian",1,2.9
,="Robert J. O'Brien School",="Asian",1,2.7
,="Sunset Ridge Middle School",="Asian",2,5.3
="East Lyme School District",="East Lyme High School",="Asian",1,0.9
,="East Lyme Middle School",="Asian",2,2.4
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="EastConn Special Education",="Asian",1,2.9
="Ellington School District",="Ellington High School",="Asian",1,1.3
,="Windermere Intermediate School",="Asian",1,2.6
,="Windermere School",="Asian",1,2.5
="Elm City College Preparatory School District",="Elm City College Preparatory School",="Asian",5,10.6
="Enfield School District",="Eli Whitney School",="Asian",2,5.3
,="Nathan Hale School",="Asian",1,3.4
,="Prudence Crandall School",="Asian",1,3.2
="Fairfield School District",="Burr Elementary School",="Asian",1,2.5
,="Fairfield Ludlowe High School",="Asian",2,1.3
,="Fairfield Warde High School",="Asian",3,2.0
,="Stratfield School",="Asian",1,2.1
,="Tomlinson Middle School",="Asian",1,1.2
="Farmington School District",="Farmington High School",="Asian",1,0.8
,="Noah Wallace School",="Asian",1,3.1
,="West District School",="Asian",1,2.9
,="West Woods Upper Elementary School",="Asian",1,1.6
="Glastonbury School District",="Glastonbury High School",="Asian",3,1.6
,="Naubuc School",="Asian",2,3.5
="Granby School District",="Granby Memorial High School",="Asian",1,1.4
="Greenwich School District",="Eastern Middle School",="Asian",1,1.3
,="Greenwich High School",="Asian",8,2.9
,="Hamilton Avenue School",="Asian",1,1.8
,="International School At Dundee",="Asian",2,5.1
,="New Lebanon School",="Asian",1,2.7
,="North Mianus School",="Asian",1,2.0
,="Old Greenwich School",="Asian",2,4.7
,="Western Middle School",="Asian",1,1.8
="Griswold School District",="Griswold Middle School",="Asian",1,2.2
="Groton School District",="Carl C. Cutler Middle School",="Asian",1,2.2
,="Claude Chester School",="Asian",1,2.6
,="Fitch Middle School",="Asian",1,1.8
,="Mary Morrisson School",="Asian",1,2.6
,="Northeast Academy Elementary School",="Asian",1,2.9
,="Pleasant Valley School",="Asian",1,2.8
,="Robert E. Fitch High School",="Asian",3,2.5
,="West Side Middle School",="Asian",1,2.6
="Guilford School District",="A. W. Cox School",="Asian",1,2.9
,="Guilford High School",="Asian",1,1.0
="Hamden School District",="Dunbar Hill School",="Asian",1,3.2
,="Hamden High School",="Asian",2,1.1
,="Hamden Middle School",="Asian",1,1.0
,="Spring Glen School",="Asian",1,3.0
="Hartford School District",="Asian Studies Academy at Bellizzi School",="Asian",4,8.0
,="Bulkeley High School Lower School",="Asian",1,1.3
,="Burns Latino Studies Academy",="Asian",2,3.9
,="Classical Magnet School",="Asian",2,3.3
,="Dr. Joseph Bellizzi Middle School",="Asian",1,5.0
,="Expeditionary Learning Academy at Moylan School",="Asian",1,1.8
,="HPHS Law and Government Academy",="Asian",2,5.9
,="High School, Inc.",="Asian",1,3.8
,="Milner School",="Asian",1,2.9
,="Parkville Community School",="Asian",1,2.3
,="SAND School",="Asian",1,2.7
,="Sanchez School",="Asian",1,2.5
,="Sports and Medical Sciences Academy",="Asian",2,3.4
,="University High School of Science and Engineering",="Asian",2,6.3
,="West Middle School",="Asian",1,1.8
="Hebron School District",="Hebron Elementary School",="Asian",2,3.7
="Jumoke Academy District",="Jumoke Academy",="Asian",3,9.7
="Killingly School District",="Killingly Central School",="Asian",1,2.5
,="Killingly High School",="Asian",1,1.2
,="Killingly Intermediate School",="Asian",1,1.3
="Lebanon School District",="Lebanon Middle School",="Asian",1,2.4
,="Lyman Memorial High School",="Asian",1,1.8
="Ledyard School District",="Gallup Hill School",="Asian",1,2.7
,="Ledyard High School",="Asian",2,2.3
="Litchfield School District",="Litchfield High School",="Asian",1,1.7
="Madison School District",="Daniel Hand High School",="Asian",2,1.6
,="Walter C. Polson Upper Middle School",="Asian",1,1.5
