"Educator Race/Ethnicity Report for 2004-05"

"District","Race","Count","% of Total"
"Amistad Academy District","Asian",1,4.4
="Ansonia School District",="Asian",1,0.5
="Area Cooperative Educational Services",="Asian",1,0.3
="Berlin School District",="Asian",1,0.4
="Bloomfield School District",="Asian",3,1.2
="Bridgeport School District",="Asian",25,1.5
="Bristol School District",="Asian",4,0.6
="Capitol Region Education Council",="Asian",5,1.4
="Cheshire School District",="Asian",4,1.0
="Colchester School District",="Asian",1,0.4
="Connecticut Technical High School System",="Asian",13,1.0
="Cooperative Educational Services",="Asian",2,1.6
="Danbury School District",="Asian",5,0.6
="Darien School District",="Asian",5,1.2
="East Hartford School District",="Asian",8,1.2
="East Lyme School District",="Asian",3,1.0
="Ellington School District",="Asian",1,0.5
="Elm City College Preparatory School",="Asian",2,12.5
="Enfield School District",="Asian",4,0.7
="Fairfield School District",="Asian",8,0.9
="Farmington School District",="Asian",5,1.3
="Glastonbury School District",="Asian",1,0.2
="Granby School District",="Asian",1,0.5
="Greenwich School District",="Asian",15,1.6
="Griswold School District",="Asian",1,0.5
="Groton School District",="Asian",5,1.0
="Hamden School District",="Asian",4,0.7
="Hartford School District",="Asian",18,0.8
="Hebron School District",="Asian",1,1.0
="Killingly School District",="Asian",1,0.4
="Learn",="Asian",1,1.1
="Lebanon School District",="Asian",2,1.5
="Madison School District",="Asian",1,0.3
="Manchester School District",="Asian",1,0.2
="Marlborough School District",="Asian",1,1.7
="Meriden School District",="Asian",3,0.4
="Middletown School District",="Asian",7,1.6
="Milford School District",="Asian",1,0.1
="Monroe School District",="Asian",1,0.3
="Montville School District",="Asian",1,0.4
="New Beginnings Inc Family Academy District",="Asian",1,4.6
="New Britain School District",="Asian",6,0.7
="New Canaan School District",="Asian",2,0.5
="New Fairfield School District",="Asian",1,0.4
="New Haven School District",="Asian",24,1.3
="New London School District",="Asian",3,1.0
="Newington School District",="Asian",3,0.8
="North Haven School District",="Asian",2,0.6
="Norwalk School District",="Asian",7,0.8
="Norwich Free Academy District",="Asian",3,1.7
="Old Saybrook School District",="Asian",1,0.6
="Plainville School District",="Asian",2,0.8
="Plymouth School District",="Asian",1,0.6
="Regional School District 01",="Asian",1,1.5
="Regional School District 04",="Asian",1,1.0
="Regional School District 10",="Asian",1,0.4
="Ridgefield School District",="Asian",3,0.7
="Salisbury School District",="Asian",1,2.0
="Shelton School District",="Asian",1,0.2
="Sherman School District",="Asian",1,2.3
="Simsbury School District",="Asian",5,1.2
="Southington School District",="Asian",1,0.2
="Sprague School District",="Asian",1,2.7
="Stafford School District",="Asian",1,0.5
="Stamford School District",="Asian",20,1.4
="Stonington School District",="Asian",1,0.4
="Stratford School District",="Asian",3,0.5
="Suffield School District",="Asian",1,0.5
="Tolland School District",="Asian",1,0.4
="Torrington School District",="Asian",1,0.3
="Trumbull School District",="Asian",5,0.9
="Unified School District #2",="Asian",2,1.7
="Vernon School District",="Asian",1,0.3
="Waterbury School District",="Asian",14,0.9
="Waterford School District",="Asian",2,0.7
="West Hartford School District",="Asian",6,0.7
="West Haven School District",="Asian",2,0.3
="Weston School District",="Asian",3,1.3
="Westport School District",="Asian",2,0.3
="Wethersfield School District",="Asian",3,1.0
="Wilton School District",="Asian",2,0.5
="Windham School District",="Asian",4,1.1
="Windsor Locks School District",="Asian",1,0.6
="Windsor School District",="Asian",6,1.3

