"Educator Race/Ethnicity Report for 2003-04"

"District","Race","Count","% of Total"
"Amistad Academy District","Hispanic or Latino",2,8.3
="Ansonia School District",="Hispanic or Latino",1,0.5
="Area Cooperative Educational Services",="Hispanic or Latino",7,2.4
="Avon School District",="Hispanic or Latino",1,0.4
="Berlin School District",="Hispanic or Latino",2,0.7
="Bethel School District",="Hispanic or Latino",1,0.3
="Bloomfield School District",="Hispanic or Latino",2,0.8
="Bolton School District",="Hispanic or Latino",1,1.0
="Bozrah School District",="Hispanic or Latino",1,3.6
="Branford School District",="Hispanic or Latino",3,0.9
="Bridgeport School District",="Hispanic or Latino",168,9.7
="Bristol School District",="Hispanic or Latino",10,1.4
="Brookfield School District",="Hispanic or Latino",4,1.5
="Canterbury School District",="Hispanic or Latino",1,2.0
="Capitol Region Education Council",="Hispanic or Latino",13,4.0
="Cheshire School District",="Hispanic or Latino",2,0.5
="Colchester School District",="Hispanic or Latino",2,0.7
="Columbia School District",="Hispanic or Latino",1,1.5
="Connecticut Technical High School System",="Hispanic or Latino",78,6.1
="Cornwall School District",="Hispanic or Latino",1,3.3
="Coventry School District",="Hispanic or Latino",3,1.7
="Cromwell School District",="Hispanic or Latino",1,0.6
="Danbury School District",="Hispanic or Latino",26,3.1
="Darien School District",="Hispanic or Latino",7,1.7
="Derby School District",="Hispanic or Latino",1,0.8
="East Hampton School District",="Hispanic or Latino",1,0.6
="East Hartford School District",="Hispanic or Latino",10,1.6
="East Haven School District",="Hispanic or Latino",2,0.7
="East Lyme School District",="Hispanic or Latino",2,0.7
="East Windsor School District",="Hispanic or Latino",3,2.4
="Easton School District",="Hispanic or Latino",3,3.1
="Ellington School District",="Hispanic or Latino",3,1.4
="Enfield School District",="Hispanic or Latino",4,0.7
="Essex School District",="Hispanic or Latino",2,3.6
="Fairfield School District",="Hispanic or Latino",9,1.0
="Farmington School District",="Hispanic or Latino",6,1.6
="Glastonbury School District",="Hispanic or Latino",8,1.5
="Granby School District",="Hispanic or Latino",1,0.6
="Greenwich School District",="Hispanic or Latino",26,2.8
="Groton School District",="Hispanic or Latino",6,1.2
="Guilford School District",="Hispanic or Latino",1,0.3
="Hamden School District",="Hispanic or Latino",11,2.1
="Hartford School District",="Hispanic or Latino",321,15.1
="Hebron School District",="Hispanic or Latino",1,1.0
="Interdistrict School for Arts and Comm District",="Hispanic or Latino",1,7.7
="Learn",="Hispanic or Latino",3,3.7
="Lebanon School District",="Hispanic or Latino",2,1.4
="Ledyard School District",="Hispanic or Latino",3,1.2
="Litchfield School District",="Hispanic or Latino",1,0.8
="Madison School District",="Hispanic or Latino",1,0.4
="Manchester School District",="Hispanic or Latino",19,2.9
="Mansfield School District",="Hispanic or Latino",1,0.7
="Meriden School District",="Hispanic or Latino",42,5.8
="Middletown School District",="Hispanic or Latino",4,0.9
="Milford School District",="Hispanic or Latino",4,0.6
="Monroe School District",="Hispanic or Latino",3,0.9
="Montville School District",="Hispanic or Latino",4,1.5
="Naugatuck School District",="Hispanic or Latino",3,0.7
="New Beginnings Inc Family Academy District",="Hispanic or Latino",1,5.9
="New Britain School District",="Hispanic or Latino",96,11.2
="New Canaan School District",="Hispanic or Latino",3,0.8
="New Fairfield School District",="Hispanic or Latino",1,0.4
="New Haven School District",="Hispanic or Latino",126,7.4
="New London School District",="Hispanic or Latino",29,9.4
="New Milford School District",="Hispanic or Latino",5,1.3
="Newington School District",="Hispanic or Latino",3,0.8
="North Haven School District",="Hispanic or Latino",4,1.2
="Norwalk School District",="Hispanic or Latino",52,5.8
="Norwich Free Academy District",="Hispanic or Latino",4,2.3
="Norwich School District",="Hispanic or Latino",2,0.7
="Old Saybrook School District",="Hispanic or Latino",2,1.2
="Orange School District",="Hispanic or Latino",1,0.8
="Oxford School District",="Hispanic or Latino",1,0.9
="Plainfield School District",="Hispanic or Latino",1,0.5
="Plainville School District",="Hispanic or Latino",1,0.4
="Plymouth School District",="Hispanic or Latino",1,0.6
="Portland School District",="Hispanic or Latino",1,0.7
="Putnam School District",="Hispanic or Latino",2,1.4
="Regional School District 04",="Hispanic or Latino",3,3.0
="Regional School District 05",="Hispanic or Latino",8,3.4
="Regional School District 06",="Hispanic or Latino",1,0.9
="Regional School District 08",="Hispanic or Latino",3,2.0
="Regional School District 09",="Hispanic or Latino",1,1.1
="Regional School District 10",="Hispanic or Latino",1,0.4
="Regional School District 12",="Hispanic or Latino",1,0.9
="Regional School District 13",="Hispanic or Latino",1,0.5
="Regional School District 14",="Hispanic or Latino",1,0.5
="Regional School District 15",="Hispanic or Latino",3,0.8
="Regional School District 16",="Hispanic or Latino",2,0.9
="Regional School District 17",="Hispanic or Latino",3,1.3
="Regional School District 19",="Hispanic or Latino",3,2.5
="Ridgefield School District",="Hispanic or Latino",6,1.4
="Rocky Hill School District",="Hispanic or Latino",2,0.9
="Salem School District",="Hispanic or Latino",1,1.9
="Shelton School District",="Hispanic or Latino",1,0.2
="Sherman School District",="Hispanic or Latino",1,2.2
="Simsbury School District",="Hispanic or Latino",2,0.5
="Somers School District",="Hispanic or Latino",2,1.3
="South Windsor School District",="Hispanic or Latino",4,1.0
="Southington School District",="Hispanic or Latino",1,0.2
="Sprague School District",="Hispanic or Latino",1,2.9
="Stafford School District",="Hispanic or Latino",3,1.6
="Stamford School District",="Hispanic or Latino",52,3.7
="Stratford School District",="Hispanic or Latino",7,1.1
="Suffield School District",="Hispanic or Latino",4,2.1
="The Bridge Academy District",="Hispanic or Latino",3,23.1
="Thomaston School District",="Hispanic or Latino",3,2.8
="Thompson School District",="Hispanic or Latino",1,0.8
="Tolland School District",="Hispanic or Latino",6,2.2
="Torrington School District",="Hispanic or Latino",8,2.1
="Trumbull School District",="Hispanic or Latino",8,1.4
="Unified School District #1",="Hispanic or Latino",6,3.1
="Unified School District #2",="Hispanic or Latino",2,1.8
="Vernon School District",="Hispanic or Latino",2,0.5
="Wallingford School District",="Hispanic or Latino",2,0.3
="Waterbury School District",="Hispanic or Latino",98,6.7
="Waterford School District",="Hispanic or Latino",2,0.7
="Watertown School District",="Hispanic or Latino",1,0.4
="West Hartford School District",="Hispanic or Latino",19,2.1
="West Haven School District",="Hispanic or Latino",8,1.3
="Westbrook School District",="Hispanic or Latino",1,1.0
="Weston School District",="Hispanic or Latino",1,0.4
="Westport School District",="Hispanic or Latino",8,1.4
="Wethersfield School District",="Hispanic or Latino",2,0.7
="Willington School District",="Hispanic or Latino",2,3.0
="Wilton School District",="Hispanic or Latino",3,0.8
="Winchester School District",="Hispanic or Latino",1,1.0
="Windham School District",="Hispanic or Latino",36,9.8
="Windsor Locks School District",="Hispanic or Latino",5,2.6
="Windsor School District",="Hispanic or Latino",7,1.5
="Wolcott School District",="Hispanic or Latino",1,0.4

