"Educator Race/Ethnicity Report for 2006-07"

"District","School","Race","Count","% of Total"
"Amistad Academy District","Amistad Academy","Black or African American",7,20.6
="Ansonia School District",="Ansonia High School",="Black or African American",2,3.7
,="Ansonia Middle School",="Black or African American",3,6.0
,="Mead School",="Black or African American",3,6.7
,="Prendergast School",="Black or African American",1,1.9
="Area Cooperative Educational Services",="Collaborative Alternative Magnet School",="Black or African American",1,7.7
,="Thomas Edison Magnet Middle School",="Black or African American",5,7.0
,="Wintergreen Interdistrict Magnet School",="Black or African American",4,7.0
="Avon School District",="Avon High School",="Black or African American",1,1.2
="Bethel School District",="Bethel High School",="Black or African American",1,1.0
="Bloomfield School District",="Bloomfield High School",="Black or African American",18,23.4
,="Carmen Arace Intermediate School",="Black or African American",8,16.0
,="Carmen Arace Middle School",="Black or African American",14,27.5
,="J. P. Vincent School",="Black or African American",10,24.4
,="Laurel School",="Black or African American",6,18.2
,="Metacomet School",="Black or African American",3,9.1
,="The Big Picture High School",="Black or African American",2,40.0
="Branford School District",="Branford High School",="Black or African American",1,0.9
,="John B. Sliney School",="Black or African American",1,2.9
="Bridgeport School District",="Barnum School",="Black or African American",2,7.4
,="Bassick High School",="Black or African American",11,11.8
,="Beardsley School",="Black or African American",4,9.1
,="Black Rock School",="Black or African American",4,12.1
,="Blackham School",="Black or African American",7,8.8
,="Bridgeport Learning Center",="Black or African American",5,29.4
,="Bryant School",="Black or African American",1,3.2
,="Central High School",="Black or African American",23,13.1
,="Cesar Batalla School",="Black or African American",5,8.2
,="Classical Studies Academy",="Black or African American",3,9.4
,="Columbus School",="Black or African American",4,6.3
,="Cross School",="Black or African American",11,23.9
,="Curiale School",="Black or African American",7,12.1
,="Dunbar School",="Black or African American",20,42.6
,="Edison School",="Black or African American",2,6.7
,="Geraldine Johnson School",="Black or African American",4,23.5
,="Hall School",="Black or African American",5,17.2
,="Hallen School",="Black or African American",4,11.1
,="Harding High School",="Black or African American",23,19.8
,="High Horizons Magnet School",="Black or African American",6,18.8
,="Hooker School",="Black or African American",6,14.6
,="Jettie S. Tisdale School",="Black or African American",4,13.3
,="Longfellow School",="Black or African American",22,43.1
,="Luis Munoz Marin School",="Black or African American",4,5.7
,="Madison School",="Black or African American",3,5.7
,="Make The Grade",="Black or African American",2,25.0
,="Maplewood Annex",="Black or African American",3,13.6
,="Multicultural Magnet School",="Black or African American",3,7.9
,="Park City Academy",="Black or African American",3,37.5
,="Park City Magnet School",="Black or African American",5,13.9
,="Read School",="Black or African American",9,13.4
,="Roosevelt School",="Black or African American",9,14.3
,="Skane Center",="Black or African American",3,10.3
,="Waltersville School",="Black or African American",4,10.5
,="Winthrop School",="Black or African American",15,25.9
="Bristol School District",="Bristol Central High School",="Black or African American",2,1.7
,="Bristol Eastern High School",="Black or African American",1,0.9
,="Chippens Hill Middle School",="Black or African American",4,4.9
,="Clara T. O'Connell School",="Black or African American",1,2.5
,="Ellen P. Hubbell School",="Black or African American",1,2.5
="Brookfield School District",="Brookfield High School",="Black or African American",1,1.2
,="Center Elementary School",="Black or African American",1,2.7
="Canterbury School District",="Dr. Helen Baldwin Middle School",="Black or African American",1,3.7
="Canton School District",="Canton High School",="Black or African American",1,1.8
="Capitol Region Education Council",="Farmington Valley Regional Diagnostic Center",="Black or African American",1,20.0
,="Greater Hartford Academy of Math and Science",="Black or African American",1,7.1
,="John J. Allison Polaris Center",="Black or African American",2,15.4
,="Metropolitan Learning Center for Global and International Studies",="Black or African American",7,10.9
,="Montessori Magnet School",="Black or African American",4,17.4
,="Two Rivers Magnet Middle School",="Black or African American",5,8.5
,="University of Hartford Magnet School",="Black or African American",1,2.8
="Cheshire School District",="Cheshire High School",="Black or African American",2,1.4
,="Norton School",="Black or African American",1,2.3
="Colchester School District",="Bacon Academy",="Black or African American",1,1.1
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Black or African American",21,21.0
,="Bullard-Havens Technical High School",="Black or African American",7,6.9
,="E. C. Goodwin Technical High School",="Black or African American",6,6.8
,="Eli Whitney Technical High School",="Black or African American",13,15.3
,="Ella T. Grasso Southeastern Technical High School",="Black or African American",2,2.6
,="Emmett O'Brien Technical High School",="Black or African American",1,1.6
,="H. C. Wilcox Technical High School",="Black or African American",2,2.4
,="Henry Abbott Technical High School",="Black or African American",2,2.6
,="Howell Cheney Technical High School",="Black or African American",1,1.4
,="J. M. Wright Technical High School",="Black or African American",2,4.3
,="Norwich Technical High School",="Black or African American",1,1.5
,="Oliver Wolcott Technical High School",="Black or African American",2,2.4
,="Platt Technical High School",="Black or African American",2,2.3
,="Vinal Technical High School",="Black or African American",1,1.3
,="W. F. Kaynor Technical High School",="Black or African American",6,6.9
="Cooperative Educational Services",="C. E. S. Special Education",="Black or African American",2,2.4
,="Six-Six Magnet School",="Black or African American",3,6.8
="Coventry School District",="Capt. Nathan Hale School",="Black or African American",1,2.0
="Cromwell School District",="Cromwell Middle School",="Black or African American",1,2.0
,="Edna C. Stevens School",="Black or African American",1,2.6
,="Woodside Intermediate School",="Black or African American",1,2.6
="Danbury School District",="Alternative Center For Excellence",="Black or African American",1,7.7
,="Broadview Middle School",="Black or African American",3,3.2
,="Danbury High School",="Black or African American",7,3.2
,="Great Plain School",="Black or African American",4,11.8
,="Hayestown Avenue School",="Black or African American",1,2.6
,="King Street Intermediate School",="Black or African American",1,3.4
,="Mill Ridge Educational Center",="Black or African American",3,9.1
,="Park Avenue School",="Black or African American",1,2.6
,="Pembroke School",="Black or African American",2,4.7
,="Rogers Park Middle School",="Black or African American",4,4.2
,="Shelter Rock School",="Black or African American",5,15.6
,="South Street School",="Black or African American",1,2.8
,="Stadley Rough School",="Black or African American",1,2.4
,="Western CT Academy of International Studies Elementary Magnet School",="Black or African American",1,3.8
="Darien School District",="Ox Ridge Elementary School",="Black or African American",1,1.7
="Derby School District",="Derby High School",="Black or African American",1,2.0
="East Granby School District",="East Granby High School",="Black or African American",1,2.8
,="East Granby Middle School",="Black or African American",1,3.0
="East Hampton School District",="East Hampton Middle School",="Black or African American",2,4.7
="East Hartford School District",="Anna E. Norris School",="Black or African American",3,10.3
,="Connecticut IB Academy",="Black or African American",2,10.5
,="Dr. Franklin H. Mayberry School",="Black or African American",2,5.1
,="Dr. John A. Langford School",="Black or African American",1,3.6
,="Dr. Thomas S. O'Connell School",="Black or African American",1,2.9
,="East Hartford High School",="Black or African American",6,3.6
,="East Hartford Middle School",="Black or African American",5,4.9
,="Governor William Pitkin School",="Black or African American",4,12.1
,="Hockanum School",="Black or African American",1,2.8
,="Robert J. O'Brien School",="Black or African American",2,5.0
,="Sunset Ridge Middle School",="Black or African American",2,5.0
,="Willowbrook Early Childhood",="Black or African American",1,3.8
="East Windsor School District",="East Windsor High School",="Black or African American",1,2.1
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="EastConn Special Education",="Black or African American",1,4.2
="Ellington School District",="Ellington High School",="Black or African American",2,2.8
="Elm City College Preparatory School",="Elm City College Preparatory School",="Black or African American",6,23.1
="Enfield School District",="Enfield High School",="Black or African American",2,2.2
,="Harriet Beecher Stowe School",="Black or African American",1,3.2
,="Hazardville Memorial School",="Black or African American",1,2.9
,="John F. Kennedy Middle School",="Black or African American",1,1.0
="Fairfield School District",="Fairfield Ludlowe High School",="Black or African American",1,0.7
,="Holland Hill School",="Black or African American",1,2.9
,="McKinley School",="Black or African American",2,4.0
,="Mill Hill School",="Black or African American",1,2.6
,="Osborn Hill School",="Black or African American",1,2.0
,="Riverfield School",="Black or African American",1,2.3
="Farmington School District",="East Farms School",="Black or African American",1,2.6
,="Farmington High School",="Black or African American",1,0.7
,="Irving A. Robbins Middle School",="Black or African American",2,2.7
,="Union School",="Black or African American",1,3.1
="Glastonbury School District",="Eastbury School",="Black or African American",1,2.0
,="Gideon Welles School",="Black or African American",1,1.4
,="Glastonbury High School",="Black or African American",2,1.1
,="Hebron Avenue School",="Black or African American",1,2.2
,="Naubuc School",="Black or African American",1,2.3
="Granby School District",="Granby Memorial High School",="Black or African American",1,1.4
="Greenwich School District",="Central Middle School",="Black or African American",1,1.5
,="Eastern Middle School",="Black or African American",3,4.1
,="Glenville School",="Black or African American",1,2.4
,="Greenwich High School",="Black or African American",6,2.2
,="Hamilton Avenue School",="Black or African American",3,6.8
,="Julian Curtiss School",="Black or African American",1,2.0
,="New Lebanon School",="Black or African American",1,2.6
,="North Mianus School",="Black or African American",1,2.3
,="North Street School",="Black or African American",2,4.3
,="Parkway School",="Black or African American",2,4.7
