"Educator Race/Ethnicity Report for 2004-05"

"District","School","Race","Count","% of Total"
"Amistad Academy District","Amistad Academy","Asian",1,4.3
="Ansonia School District",="Mead School",="Asian",1,2.2
="Area Cooperative Educational Services",="Thomas Edison Magnet Middle School",="Asian",1,1.4
="Berlin School District",="Catherine M. McGee Middle School",="Asian",1,1.4
="Bloomfield School District",="Bloomfield High School",="Asian",3,3.9
,="Carmen Arace Middle School",="Asian",1,1.9
="Bridgeport School District",="Barnum School",="Asian",2,7.4
,="Bassick High School",="Asian",2,2.0
,="Black Rock School",="Asian",1,2.8
,="Blackham School",="Asian",1,1.2
,="Bridgeport Learning Center",="Asian",1,6.7
,="Central High School",="Asian",1,0.6
,="Columbus School",="Asian",2,3.2
,="Cross School",="Asian",2,4.5
,="Dunbar School",="Asian",2,4.0
,="Edison School",="Asian",1,3.6
,="Geraldine Johnson School",="Asian",1,5.3
,="Hall School",="Asian",1,3.4
,="Hallen School",="Asian",1,3.0
,="Harding High School",="Asian",1,0.8
,="Longfellow School",="Asian",1,2.2
,="Multicultural Magnet School",="Asian",1,2.5
,="Newfield School",="Asian",1,5.9
,="Park City Magnet School",="Asian",2,5.4
,="Roosevelt School",="Asian",3,4.3
,="Skane Center",="Asian",1,4.0
,="Waltersville School",="Asian",1,2.0
="Bristol School District",="Bristol Central High School",="Asian",1,0.9
,="Bristol Eastern High School",="Asian",1,0.9
,="Clara T. O'Connell School",="Asian",1,2.7
,="Greene-Hills School",="Asian",1,3.0
="Capitol Region Education Council",="Glastonbury/East Hartford Magnet School",="Asian",2,8.7
,="Metropolitan Learning Center for Global and International Studies",="Asian",1,1.5
,="Montessori Magnet School",="Asian",1,4.5
,="Two Rivers Magnet Middle School",="Asian",1,1.7
="Cheshire School District",="Cheshire High School",="Asian",3,2.4
,="Doolittle School",="Asian",1,1.9
="Colchester School District",="Jack Jackter Intermediate School",="Asian",1,1.4
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Asian",2,2.2
,="Bullard-Havens Technical High School",="Asian",3,3.2
,="E. C. Goodwin Technical High School",="Asian",1,1.2
,="Ella T. Grasso Southeastern Technical High School",="Asian",2,2.6
,="J. M. Wright Technical High School",="Asian",3,5.3
,="Norwich Technical High School",="Asian",1,1.5
,="Oliver Wolcott Technical High School",="Asian",1,1.3
="Danbury School District",="Danbury High School",="Asian",3,1.4
,="Rogers Park Middle School",="Asian",1,1.0
,="South Street School",="Asian",1,2.9
="Darien School District",="Darien High School",="Asian",1,0.9
,="Holmes Elementary School",="Asian",1,2.2
,="Middlesex Middle School",="Asian",2,1.7
,="Ox Ridge Elementary School",="Asian",1,1.9
="East Hartford School District",="Connecticut IB Academy",="Asian",2,10.5
,="Dr. John A. Langford School",="Asian",1,3.1
,="East Hartford High School",="Asian",2,1.1
,="Joseph O. Goodwin School",="Asian",1,3.7
,="Robert J. O'Brien School",="Asian",1,2.6
,="Sunset Ridge Middle School",="Asian",1,2.3
="East Lyme School District",="East Lyme High School",="Asian",1,0.8
,="East Lyme Middle School",="Asian",1,1.1
,="Flanders School",="Asian",1,2.9
="Ellington School District",="Windermere School",="Asian",1,1.6
="Elm City College Preparatory School",="Elm City College Preparatory School",="Asian",2,12.5
="Enfield School District",="Edgar H. Parkman School",="Asian",1,2.9
,="Eli Whitney School",="Asian",1,2.8
,="Nathan Hale School",="Asian",1,4.0
,="Prudence Crandall School",="Asian",1,3.0
="Fairfield School District",="Burr Elementary School",="Asian",2,5.0
,="Fairfield Woods Middle School",="Asian",1,1.4
,="Jennings School",="Asian",1,2.4
,="North Stratfield School",="Asian",1,2.3
,="Osborn Hill School",="Asian",2,4.3
,="Stratfield School",="Asian",2,4.4
,="Tomlinson Middle School",="Asian",1,1.4
="Farmington School District",="Farmington High School",="Asian",1,0.8
,="Irving A. Robbins Middle School",="Asian",1,1.4
,="West District School",="Asian",1,2.9
,="West Woods Upper Elementary School",="Asian",2,3.1
="Glastonbury School District",="Hopewell School",="Asian",1,1.8
="Granby School District",="Granby Memorial High School",="Asian",1,1.6
="Greenwich School District",="Eastern Middle School",="Asian",1,1.4
,="Greenwich High School",="Asian",4,1.4
,="Hamilton Avenue School",="Asian",1,2.5
,="International School At Dundee",="Asian",2,4.9
,="New Lebanon School",="Asian",1,2.6
,="North Mianus School",="Asian",3,7.0
,="Old Greenwich School",="Asian",2,4.3
,="Western Middle School",="Asian",1,1.5
="Griswold School District",="Griswold Middle School",="Asian",1,2.3
="Groton School District",="Mary Morrisson School",="Asian",1,2.6
,="Pleasant Valley School",="Asian",1,3.2
,="Robert E. Fitch High School",="Asian",2,1.7
,="West Side Middle School",="Asian",1,2.4
="Hamden School District",="Bear Path School",="Asian",1,2.1
,="Hamden High School",="Asian",1,0.6
,="Hamden Middle School",="Asian",1,1.1
,="Spring Glen School",="Asian",1,3.3
="Hartford School District",="Betances Early Reading Lab Magnet School",="Asian",1,2.5
,="Bulkeley High School Lower School",="Asian",1,0.8
,="Classical Magnet School",="Asian",1,3.7
,="Dr. Joseph Bellizzi Middle School",="Asian",3,4.1
,="Expeditionary Learning Academy at Moylan School",="Asian",1,1.7
,="Fox Middle School",="Asian",1,1.4
,="Hartford Public High School",="Asian",1,0.8
,="Hartford Transitional Learning Academy (Secondary)",="Asian",1,2.0
,="M. L. King, Jr. School",="Asian",1,1.6
,="Milner School",="Asian",1,2.1
,="Parkville Community School",="Asian",2,3.8
,="Quirk Middle School",="Asian",1,1.1
,="University High School of Science and Engineering",="Asian",1,9.1
,="Weaver High School",="Asian",1,0.9
,="West Middle School",="Asian",1,1.5
="Hebron School District",="Gilead Hill School",="Asian",1,2.2
="Killingly School District",="Killingly High School",="Asian",1,1.1
