"Educator Race/Ethnicity Report for 2003-04"

"District","School","Race","Count","% of Total"
"Amistad Academy District","Amistad Academy","Hispanic or Latino",2,8.3
="Ansonia School District",="Prendergast School",="Hispanic or Latino",1,2.0
="Area Cooperative Educational Services",="A. C. E. S. Special Education Town Campus Learning Center",="Hispanic or Latino",2,1.5
,="Collaborative Alternative Magnet School",="Hispanic or Latino",1,7.1
,="Thomas Edison Magnet Middle School",="Hispanic or Latino",3,4.3
,="Wintergreen Interdistrict Magnet School",="Hispanic or Latino",1,1.8
="Avon School District",="Avon High School",="Hispanic or Latino",1,1.3
="Berlin School District",="Berlin High School",="Hispanic or Latino",2,2.2
="Bethel School District",="Bethel Middle School",="Hispanic or Latino",1,1.3
="Bloomfield School District",="Bloomfield High School",="Hispanic or Latino",2,2.6
="Bolton School District",="Bolton Center School",="Hispanic or Latino",1,1.6
="Bozrah School District",="Fields Memorial School",="Hispanic or Latino",1,3.7
="Branford School District",="Branford High School",="Hispanic or Latino",3,2.8
="Bridgeport School District",="Barnum School",="Hispanic or Latino",6,19.4
,="Bassick High School",="Hispanic or Latino",8,8.5
,="Beardsley School",="Hispanic or Latino",1,2.3
,="Black Rock School",="Hispanic or Latino",2,6.1
,="Blackham School",="Hispanic or Latino",5,5.7
,="Bridgeport Regional Vocational Aquaculture School",="Hispanic or Latino",1,7.1
,="Bryant School",="Hispanic or Latino",5,15.2
,="Central High School",="Hispanic or Latino",13,7.5
,="Cesar Batalla School",="Hispanic or Latino",20,51.3
,="Classical Studies Academy",="Hispanic or Latino",1,3.1
,="Columbus School",="Hispanic or Latino",10,15.6
,="Curiale School",="Hispanic or Latino",3,4.7
,="Dunbar School",="Hispanic or Latino",3,5.7
,="Edison School",="Hispanic or Latino",1,3.7
,="Garfield School",="Hispanic or Latino",4,16.7
,="Geraldine Johnson School",="Hispanic or Latino",1,5.3
,="Harding High School",="Hispanic or Latino",17,14.5
,="Jettie S. Tisdale School",="Hispanic or Latino",1,2.8
,="Longfellow School",="Hispanic or Latino",4,6.3
,="Luis Munoz Marin School",="Hispanic or Latino",16,22.5
,="Madison School",="Hispanic or Latino",1,1.9
,="Multicultural Magnet School",="Hispanic or Latino",7,17.1
,="Newfield School",="Hispanic or Latino",1,5.9
,="Park City Magnet School",="Hispanic or Latino",3,7.1
,="Roosevelt School",="Hispanic or Latino",14,20.6
,="Skane Center",="Hispanic or Latino",1,3.6
,="Waltersville School",="Hispanic or Latino",12,20.7
,="Winthrop School",="Hispanic or Latino",5,7.7
="Bristol School District",="Bristol Central High School",="Hispanic or Latino",1,0.9
,="Bristol Eastern High School",="Hispanic or Latino",2,1.8
,="Chippens Hill Middle School",="Hispanic or Latino",1,1.3
,="Edgewood School",="Hispanic or Latino",1,2.9
,="Greene-Hills School",="Hispanic or Latino",2,6.5
,="South Side School",="Hispanic or Latino",3,6.8
,="Stafford School",="Hispanic or Latino",1,2.5
="Brookfield School District",="Brookfield High School",="Hispanic or Latino",2,2.4
,="Huckleberry Hill Elementary School",="Hispanic or Latino",1,1.8
,="Whisconier Middle School",="Hispanic or Latino",1,1.2
="Canterbury School District",="Dr. Helen Baldwin Middle School",="Hispanic or Latino",1,4.0
="Capitol Region Education Council",="Glastonbury/East Hartford Magnet School",="Hispanic or Latino",1,4.3
,="John J. Allison Polaris Center",="Hispanic or Latino",2,2.0
,="Metropolitan Learning Center for Global and International Studies",="Hispanic or Latino",2,3.7
,="Montessori Magnet School",="Hispanic or Latino",3,18.8
,="Two Rivers Magnet Middle School",="Hispanic or Latino",4,7.4
,="University of Hartford Magnet School",="Hispanic or Latino",1,2.7
="Cheshire School District",="Dodd Middle School",="Hispanic or Latino",1,1.4
,="Doolittle School",="Hispanic or Latino",1,1.8
="Colchester School District",="Bacon Academy",="Hispanic or Latino",2,2.3
="Columbia School District",="Horace W. Porter School",="Hispanic or Latino",1,1.6
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Hispanic or Latino",10,10.0
,="Bristol Technical Education Center",="Hispanic or Latino",1,7.1
,="Bullard-Havens Technical High School",="Hispanic or Latino",9,9.6
,="E. C. Goodwin Technical High School",="Hispanic or Latino",11,12.4
,="Eli Whitney Technical High School",="Hispanic or Latino",9,11.1
,="Ella T. Grasso Southeastern Technical High School",="Hispanic or Latino",4,5.8
,="H. C. Wilcox Technical High School",="Hispanic or Latino",4,5.0
,="H. H. Ellis Technical High School",="Hispanic or Latino",2,3.1
,="Henry Abbott Technical High School",="Hispanic or Latino",2,2.7
,="Howell Cheney Technical High School",="Hispanic or Latino",4,5.8
,="J. M. Wright Technical High School",="Hispanic or Latino",9,15.3
,="Norwich Technical High School",="Hispanic or Latino",1,1.5
,="Oliver Wolcott Technical High School",="Hispanic or Latino",1,1.4
,="Platt Technical High School",="Hispanic or Latino",2,2.5
,="Vinal Technical High School",="Hispanic or Latino",2,2.9
,="W. F. Kaynor Technical High School",="Hispanic or Latino",3,3.8
,="Windham Technical High School",="Hispanic or Latino",4,6.0
="Cornwall School District",="Cornwall Consolidated School",="Hispanic or Latino",1,4.0
="Coventry School District",="Capt. Nathan Hale School",="Hispanic or Latino",1,1.9
,="Coventry Grammar School",="Hispanic or Latino",1,2.5
,="Coventry High School",="Hispanic or Latino",1,1.8
="Cromwell School District",="Cromwell Middle School",="Hispanic or Latino",1,1.7
="Danbury School District",="Broadview Middle School",="Hispanic or Latino",2,2.0
,="Danbury High School",="Hispanic or Latino",5,2.3
,="Ellsworth Avenue School",="Hispanic or Latino",1,2.9
,="Great Plain School",="Hispanic or Latino",4,11.1
,="Hayestown Avenue School",="Hispanic or Latino",1,2.3
,="King Street Primary School",="Hispanic or Latino",1,3.1
,="Mill Ridge Primary School",="Hispanic or Latino",1,2.9
,="Morris Street School",="Hispanic or Latino",1,2.9
,="Park Avenue School",="Hispanic or Latino",2,5.3
,="Pembroke School",="Hispanic or Latino",1,2.5
