"Educator Race/Ethnicity Report for 2002-03"

"District","School","Race","Count","% of Total"
"Ansonia School District","Mead School","Asian",1,2.6
="Berlin School District",="Catherine M. McGee Middle School",="Asian",1,1.4
="Bloomfield School District",="Bloomfield High School",="Asian",2,2.7
,="Carmen Arace Middle School",="Asian",1,1.4
="Bolton School District",="Bolton Center School",="Asian",1,1.5
="Branford School District",="Francis Walsh Intermediate School",="Asian",1,1.0
="Bridgeport School District",="Barnum School",="Asian",1,2.7
,="Bassick High School",="Asian",1,1.1
,="Beardsley School",="Asian",1,2.2
,="Blackham School",="Asian",1,1.1
,="Bryant School",="Asian",1,3.2
,="Central High School",="Asian",1,0.6
,="Columbus School",="Asian",3,4.8
,="Dunbar School",="Asian",1,1.9
,="Edison School",="Asian",1,3.4
,="Hall School",="Asian",1,3.6
,="Hallen School",="Asian",1,2.8
,="Harding High School",="Asian",1,0.9
,="Hooker School",="Asian",1,2.4
,="Longfellow School",="Asian",1,1.5
,="Multicultural Magnet School",="Asian",1,2.6
,="Park City Magnet School",="Asian",2,5.0
,="Read School",="Asian",1,1.4
,="Roosevelt School",="Asian",2,2.7
,="Skane Center",="Asian",1,3.7
,="Waltersville School",="Asian",1,1.8
="Bristol School District",="Bristol Central High School",="Asian",1,0.9
,="Bristol Eastern High School",="Asian",1,0.9
,="Clara T. O'Connell School",="Asian",1,2.6
,="Greene-Hills School",="Asian",1,3.1
="Capitol Region Education Council",="Glastonbury/East Hartford Magnet School",="Asian",2,7.7
,="Metropolitan Learning Center for Global and International Studies",="Asian",1,2.2
,="Two Rivers Magnet Middle School",="Asian",1,3.1
="Cheshire School District",="Cheshire High School",="Asian",2,1.6
,="Doolittle School",="Asian",1,1.8
="Clinton School District",="The Morgan School",="Asian",1,1.5
="Colchester School District",="Jack Jackter Intermediate School",="Asian",1,1.4
="Connecticut Technical High School System",="Bullard-Havens Technical High School",="Asian",1,1.0
,="E. C. Goodwin Technical High School",="Asian",1,1.1
,="Ella T. Grasso Southeastern Technical High School",="Asian",1,1.2
,="J. M. Wright Technical High School",="Asian",1,1.8
,="Norwich Technical High School",="Asian",1,1.4
="Cornwall School District",="Cornwall Consolidated School",="Asian",1,4.0
="Danbury School District",="Danbury High School",="Asian",2,0.9
,="Morris Street School",="Asian",1,3.3
,="Rogers Park Middle School",="Asian",1,1.1
,="South Street School",="Asian",1,3.2
="Darien School District",="Darien High School",="Asian",1,1.0
,="Middlesex Middle School",="Asian",1,0.9
,="Ox Ridge Elementary School",="Asian",1,2.1
="East Hartford School District",="East Hartford High School",="Asian",5,2.8
,="East Hartford Middle School",="Asian",1,0.9
,="Joseph O. Goodwin School",="Asian",1,3.6
,="Robert J. O'Brien School",="Asian",1,2.6
,="Sunset Ridge Middle School",="Asian",1,2.1
="East Lyme School District",="East Lyme High School",="Asian",1,0.9
,="East Lyme Middle School",="Asian",1,1.1
,="Flanders School",="Asian",1,2.5
="Ellington School District",="Windermere School",="Asian",1,1.5
="Enfield School District",="Edgar H. Parkman School",="Asian",1,2.6
,="Eli Whitney School",="Asian",1,2.6
,="Nathan Hale School",="Asian",1,3.1
="Fairfield School District",="Dwight Elementary School",="Asian",2,4.4
,="Fairfield Woods Middle School",="Asian",1,1.3
,="North Stratfield School",="Asian",2,4.8
,="Osborn Hill School",="Asian",2,4.3
,="Stratfield School",="Asian",2,5.0
,="Tomlinson Middle School",="Asian",1,1.4
="Farmington School District",="Farmington High School",="Asian",1,0.8
,="West District School",="Asian",1,3.4
,="West Woods Upper Elementary School",="Asian",1,1.5
="Glastonbury School District",="Hopewell School",="Asian",1,1.8
="Greenwich School District",="Cos Cob School",="Asian",1,2.4
,="Greenwich High School",="Asian",3,1.2
,="Hamilton Avenue School",="Asian",2,5.1
,="International School At Dundee",="Asian",3,8.3
,="North Mianus School",="Asian",3,7.3
,="Old Greenwich School",="Asian",2,4.7
,="Parkway School",="Asian",1,2.2
,="Western Middle School",="Asian",1,1.4
="Griswold School District",="Griswold Elementary School",="Asian",1,1.8
="Groton School District",="Pleasant Valley School",="Asian",1,2.9
,="Robert E. Fitch High School",="Asian",2,1.7
,="West Side Middle School",="Asian",1,2.3
="Hamden School District",="Bear Path School",="Asian",1,3.8
,="Hamden High School",="Asian",1,0.6
,="Hamden Middle School",="Asian",1,1.0
,="Spring Glen School",="Asian",1,3.4
="Hartford School District",="Asian Studies Academy at Bellizzi School",="Asian",1,2.0
,="Bulkeley High School Lower School",="Asian",1,0.7
,="Burns Latino Studies Academy",="Asian",1,1.7
,="Burr School",="Asian",2,3.7
,="Dr. Joseph Bellizzi Middle School",="Asian",3,4.0
,="Fox Middle School",="Asian",1,1.3
,="Hartford Public High School",="Asian",1,0.8
,="M. L. King, Jr. School",="Asian",1,1.6
,="Milner School",="Asian",1,2.0
,="Parkville Community School",="Asian",2,3.7
,="Quirk Middle School",="Asian",1,0.9
,="Simpson-Waverly School",="Asian",1,2.8
,="Weaver High School",="Asian",2,1.8
,="West Middle School",="Asian",1,1.4
="Killingly School District",="Killingly High School",="Asian",2,2.3
="Lebanon School District",="Lebanon Middle School",="Asian",1,2.4
,="Lyman Memorial High School",="Asian",1,1.7
="Madison School District",="Daniel Hand High School",="Asian",2,2.1
="Manchester School District",="Illing Middle School",="Asian",1,1.0
,="Manchester High School",="Asian",1,0.6
="Marlborough School District",="Elmer Thienes-Mary Hall Elementary School",="Asian",1,1.7
="Meriden School District",="Casimir Pulaski School",="Asian",1,1.6
,="Hanover School",="Asian",1,1.9
,="Israel Putnam School",="Asian",1,2.0
,="Thomas Hooker School",="Asian",1,2.4
="Middletown School District",="Bielefield School",="Asian",1,2.9
,="Lawrence School",="Asian",1,2.6
,="MacDonough School",="Asian",1,3.0
,="Middletown High School",="Asian",1,0.9
,="Moody School",="Asian",1,3.1
,="Snow School",="Asian",1,2.3
,="Spencer School",="Asian",1,2.9
,="Woodrow Wilson Middle School",="Asian",3,3.9
="Milford School District",="West Shore Middle School",="Asian",1,1.7
="Monroe School District",="Fawn Hollow Elementary School",="Asian",2,4.1
="Montville School District",="Leonard J. Tyl Middle School",="Asian",1,1.3
="New Britain School District",="Jefferson School",="Asian",1,2.8
,="New Britain High School",="Asian",1,0.5
,="Slade Middle School",="Asian",1,1.2
,="Smalley Academy",="Asian",1,2.0
="New Canaan School District",="New Canaan High School",="Asian",1,1.0
="New Haven School District",="Bishop Woods Architecture and Design Magnet School",="Asian",1,3.6
,="Cooperative High School",="Asian",1,2.3
,="East Rock Community Magnet School",="Asian",1,1.3
,="Edgewood School",="Asian",1,2.9
,="High School In The Community",="Asian",1,2.9
,="Hill Central Music Academy",="Asian",1,2.1
,="Hill Regional Career High School",="Asian",1,1.5
,="James Hillhouse High School",="Asian",2,2.0
,="Quinnipiac Real World Math STEM School",="Asian",1,3.6
,="Riverside Education Academy",="Asian",1,4.3
,="Sheridan Communications and Technology Magnet School",="Asian",1,1.7
,="Timothy Dwight School",="Asian",1,3.2
,="Truman School",="Asian",1,2.9
,="Urban Youth Center Middle School",="Asian",1,4.5
,="Vincent E. Mauro Elementary Math, Science and Technology Magnet School",="Asian",1,2.7
,="Wilbur Cross High School",="Asian",3,2.3
,="Worthington Hooker School",="Asian",1,2.8
="New London School District",="Edgerton School",="Asian",1,2.4
,="Jennings School",="Asian",1,2.9
="Newington School District",="John Wallace Middle School",="Asian",1,1.5
,="Martin Kellogg Middle School",="Asian",1,1.6
,="Newington High School",="Asian",2,1.8
="North Branford School District",="North Branford High School",="Asian",1,1.7
="North Haven School District",="North Haven Middle School",="Asian",1,1.3
="Norwalk School District",="Brien McMahon High School",="Asian",1,1.0
,="Marvin Elementary School",="Asian",1,2.2
,="Nathan Hale Middle School",="Asian",1,1.5
,="Ponus Ridge Middle School",="Asian",2,3.2
,="Roton Middle School",="Asian",1,1.9
="Norwich Free Academy District",="Norwich Free Academy",="Asian",2,1.1
="Old Saybrook School District",="Old Saybrook Middle School",="Asian",1,1.4
="Plymouth School District",="Terryville High School",="Asian",1,2.1
="Regional School District 01",="Housatonic Valley Regional High School",="Asian",1,1.6
="Ridgefield School District",="Ridgefield High School",="Asian",1,0.7
="Salisbury School District",="Salisbury Central School",="Asian",1,2.2
="Sherman School District",="Sherman School",="Asian",1,2.2
="Simsbury School District",="Central School",="Asian",1,2.3
,="Henry James Memorial School",="Asian",1,1.2
