"Educator Race/Ethnicity Report for 2009-10"

"District","School","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Asian",1,2.3
="Amistad Academy District",="Amistad Academy",="Asian",8,10.1
="Ansonia School District",="Ansonia Middle School",="Asian",1,2.5
,="Mead School",="Asian",1,2.0
="Area Cooperative Educational Services",="Thomas Edison Magnet Middle School",="Asian",1,1.4
,="Whitney High School East",="Asian",1,3.6
,="Wintergreen Interdistrict Magnet School",="Asian",1,1.9
="Berlin School District",="Catherine M. McGee Middle School",="Asian",2,2.6
="Bethel School District",="Bethel Middle School",="Asian",1,1.6
="Bloomfield School District",="Bloomfield High School",="Asian",1,1.3
,="The Big Picture High School",="Asian",1,9.1
="Bridgeport School District",="Barnum School",="Asian",1,1.9
,="Bassick High School",="Asian",4,4.2
,="Beardsley School",="Asian",1,2.6
,="Black Rock School",="Asian",1,3.0
,="Blackham School",="Asian",1,1.1
,="Bridgeport Learning Center",="Asian",1,4.8
,="Bridgeport Regional Vocational Aquaculture School",="Asian",1,6.3
,="Central High School",="Asian",3,1.9
,="Cesar Batalla School",="Asian",2,2.4
,="Columbus School",="Asian",3,5.1
,="Curiale School",="Asian",2,3.9
,="Geraldine Johnson School",="Asian",2,3.4
,="Harding High School",="Asian",10,8.0
,="High Horizons Magnet School",="Asian",1,2.9
,="Multicultural Magnet School",="Asian",2,4.7
,="Park City Magnet School",="Asian",2,5.3
,="Roosevelt School",="Asian",3,5.9
,="Skane Center",="Asian",1,3.7
,="Waltersville School",="Asian",2,4.5
,="Winthrop School",="Asian",1,1.8
="Bristol School District",="Bristol Central High School",="Asian",3,2.7
,="Bristol Eastern High School",="Asian",1,1.0
,="Greene-Hills School",="Asian",1,3.0
,="Stafford School",="Asian",1,2.4
="Brookfield School District",="Brookfield High School",="Asian",2,2.6
="Canterbury School District",="Canterbury Elementary School",="Asian",1,3.6
="Capitol Region Education Council",="Academy of Aerospace and Engineering",="Asian",1,4.2
,="Glastonbury/East Hartford Magnet School",="Asian",2,8.7
,="Greater Hartford Academy of the Arts High School - Full Time",="Asian",1,4.3
,="Metropolitan Learning Center for Global and International Studies",="Asian",1,1.6
,="Public Safety Academy",="Asian",1,4.5
,="Two Rivers Magnet Middle School",="Asian",4,6.5
="Cheshire School District",="Cheshire High School",="Asian",2,1.5
,="Highland School",="Asian",1,1.4
="Clinton School District",="The Morgan School",="Asian",1,1.5
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Asian",1,1.0
,="Bullard-Havens Technical High School",="Asian",2,2.1
,="E. C. Goodwin Technical High School",="Asian",1,1.3
,="Eli Whitney Technical High School",="Asian",1,1.3
,="Ella T. Grasso Southeastern Technical High School",="Asian",2,2.6
,="H. H. Ellis Technical High School",="Asian",1,1.6
,="Norwich Technical High School",="Asian",1,1.4
,="Oliver Wolcott Technical High School",="Asian",1,1.3
,="Windham Technical High School",="Asian",1,1.4
