"Educator Race/Ethnicity Report for 2004-05"

"District","School","Race","Count","% of Total"
"Amistad Academy District","Amistad Academy","Hispanic or Latino",2,8.7
="Ansonia School District",="Ansonia High School",="Hispanic or Latino",1,1.8
,="Mead School",="Hispanic or Latino",1,2.2
="Area Cooperative Educational Services",="Collaborative Alternative Magnet School",="Hispanic or Latino",1,7.1
,="Thomas Edison Magnet Middle School",="Hispanic or Latino",5,7.2
="Avon School District",="Avon High School",="Hispanic or Latino",2,2.5
="Berlin School District",="Berlin High School",="Hispanic or Latino",2,2.1
="Bethel School District",="Bethel Middle School",="Hispanic or Latino",1,1.3
="Bloomfield School District",="Bloomfield High School",="Hispanic or Latino",1,1.3
,="Carmen Arace Middle School",="Hispanic or Latino",1,1.9
,="Laurel School",="Hispanic or Latino",1,2.9
="Bolton School District",="Bolton Center School",="Hispanic or Latino",1,1.6
="Bozrah School District",="Fields Memorial School",="Hispanic or Latino",1,3.4
="Branford School District",="Branford High School",="Hispanic or Latino",3,2.6
,="Francis Walsh Intermediate School",="Hispanic or Latino",1,1.0
="Bridgeport School District",="Barnum School",="Hispanic or Latino",3,11.1
,="Bassick High School",="Hispanic or Latino",6,6.1
,="Black Rock School",="Hispanic or Latino",3,8.3
,="Blackham School",="Hispanic or Latino",3,3.5
,="Bridgeport Regional Vocational Aquaculture School",="Hispanic or Latino",1,7.7
,="Bryant School",="Hispanic or Latino",3,10.0
,="Central High School",="Hispanic or Latino",11,6.7
,="Cesar Batalla School",="Hispanic or Latino",21,39.6
,="Classical Studies Academy",="Hispanic or Latino",2,6.9
,="Columbus School",="Hispanic or Latino",8,12.9
,="Curiale School",="Hispanic or Latino",4,6.2
,="Dunbar School",="Hispanic or Latino",2,4.0
,="Garfield School",="Hispanic or Latino",5,20.0
,="Geraldine Johnson School",="Hispanic or Latino",1,5.3
,="Harding High School",="Hispanic or Latino",18,14.5
,="Hooker School",="Hispanic or Latino",1,2.5
,="Jettie S. Tisdale School",="Hispanic or Latino",1,2.9
,="Longfellow School",="Hispanic or Latino",1,2.2
,="Luis Munoz Marin School",="Hispanic or Latino",14,20.0
,="Madison School",="Hispanic or Latino",1,1.9
,="Maplewood Annex",="Hispanic or Latino",1,4.3
,="Multicultural Magnet School",="Hispanic or Latino",8,20.0
,="Newfield School",="Hispanic or Latino",1,5.9
,="Park City Magnet School",="Hispanic or Latino",2,5.4
,="Read School",="Hispanic or Latino",2,3.1
,="Roosevelt School",="Hispanic or Latino",15,21.7
,="Waltersville School",="Hispanic or Latino",12,24.0
,="Winthrop School",="Hispanic or Latino",3,5.5
="Bristol School District",="Bristol Central High School",="Hispanic or Latino",1,0.9
,="Bristol Eastern High School",="Hispanic or Latino",1,0.9
,="Chippens Hill Middle School",="Hispanic or Latino",1,1.2
,="Clarence A. Bingham School",="Hispanic or Latino",1,3.6
,="Greene-Hills School",="Hispanic or Latino",1,3.0
,="Ivy Drive School",="Hispanic or Latino",1,3.2
,="John J. Jennings School",="Hispanic or Latino",1,3.2
,="South Side School",="Hispanic or Latino",3,6.4
,="Stafford School",="Hispanic or Latino",1,2.4
="Brookfield School District",="Brookfield High School",="Hispanic or Latino",1,1.2
,="Huckleberry Hill Elementary School",="Hispanic or Latino",1,1.8
,="Whisconier Middle School",="Hispanic or Latino",1,1.1
="Brooklyn School District",="Brooklyn Elementary School",="Hispanic or Latino",1,2.2
="Canterbury School District",="Dr. Helen Baldwin Middle School",="Hispanic or Latino",1,3.3
="Capitol Region Education Council",="CREC Early Learning Center at Asylum Hill",="Hispanic or Latino",2,4.5
,="Glastonbury/East Hartford Magnet School",="Hispanic or Latino",1,4.3
,="John J. Allison Polaris Center",="Hispanic or Latino",1,8.3
,="Metropolitan Learning Center for Global and International Studies",="Hispanic or Latino",4,6.1
,="Montessori Magnet School",="Hispanic or Latino",3,13.6
,="Two Rivers Magnet Middle School",="Hispanic or Latino",4,6.7
,="University of Hartford Magnet School",="Hispanic or Latino",2,5.4
="Cheshire School District",="Doolittle School",="Hispanic or Latino",1,1.9
="Colchester School District",="Bacon Academy",="Hispanic or Latino",2,2.3
="Columbia School District",="Horace W. Porter School",="Hispanic or Latino",1,1.6
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Hispanic or Latino",8,8.6
,="Bristol Technical Education Center",="Hispanic or Latino",1,6.7
,="Bullard-Havens Technical High School",="Hispanic or Latino",8,8.4
,="E. C. Goodwin Technical High School",="Hispanic or Latino",7,8.4
,="Eli Whitney Technical High School",="Hispanic or Latino",8,9.9
,="Ella T. Grasso Southeastern Technical High School",="Hispanic or Latino",3,3.9
,="H. C. Wilcox Technical High School",="Hispanic or Latino",5,6.2
,="H. H. Ellis Technical High School",="Hispanic or Latino",2,3.0
,="Henry Abbott Technical High School",="Hispanic or Latino",1,1.3
,="Howell Cheney Technical High School",="Hispanic or Latino",4,5.7
,="J. M. Wright Technical High School",="Hispanic or Latino",9,15.8
,="Norwich Technical High School",="Hispanic or Latino",1,1.5
,="Oliver Wolcott Technical High School",="Hispanic or Latino",1,1.3
,="Platt Technical High School",="Hispanic or Latino",4,4.8
,="Vinal Technical High School",="Hispanic or Latino",2,2.7
,="W. F. Kaynor Technical High School",="Hispanic or Latino",3,3.6
,="Windham Technical High School",="Hispanic or Latino",4,5.8
="Cooperative Educational Services",="C. E. S. Special Education",="Hispanic or Latino",1,1.4
,="Six-Six Magnet School",="Hispanic or Latino",1,2.5
="Coventry School District",="Capt. Nathan Hale School",="Hispanic or Latino",1,1.9
,="Coventry Grammar School",="Hispanic or Latino",1,2.6
="Danbury School District",="Broadview Middle School",="Hispanic or Latino",1,1.0
,="Danbury High School",="Hispanic or Latino",5,2.3
,="Ellsworth Avenue School",="Hispanic or Latino",1,3.0
,="Great Plain School",="Hispanic or Latino",4,10.5
,="Hayestown Avenue School",="Hispanic or Latino",1,2.3
,="King Street Primary School",="Hispanic or Latino",1,3.2
,="Mill Ridge Primary School",="Hispanic or Latino",1,2.9
,="Morris Street School",="Hispanic or Latino",1,2.8
,="Park Avenue School",="Hispanic or Latino",2,5.7
,="Pembroke School",="Hispanic or Latino",1,2.6
,="Rogers Park Middle School",="Hispanic or Latino",8,8.1
,="Shelter Rock School",="Hispanic or Latino",2,6.1
,="South Street School",="Hispanic or Latino",1,2.9
,="Stadley Rough School",="Hispanic or Latino",1,2.4
="Darien School District",="Darien High School",="Hispanic or Latino",2,1.8
,="Hindley Elementary School",="Hispanic or Latino",1,2.3
,="Ox Ridge Elementary School",="Hispanic or Latino",1,1.9
,="Royle Elementary School",="Hispanic or Latino",2,4.5
,="Tokeneke Elementary School",="Hispanic or Latino",1,2.3
="Deep River School District",="Deep River Elementary School",="Hispanic or Latino",1,2.3
="Derby School District",="Derby High School",="Hispanic or Latino",1,1.8
,="Irving School",="Hispanic or Latino",1,2.4
="East Haddam School District",="Nathan Hale-Ray High School",="Hispanic or Latino",1,2.5
,="Nathan Hale-Ray Middle School",="Hispanic or Latino",1,2.3
="East Hampton School District",="East Hampton Middle School",="Hispanic or Latino",1,2.3
="East Hartford School District",="Anna E. Norris School",="Hispanic or Latino",1,3.2
,="Dr. Franklin H. Mayberry School",="Hispanic or Latino",1,2.9
