"Educator Race/Ethnicity Report for 2007-08"

"District","School","Race","Count","% of Total"
"Amistad Academy District","Amistad Academy","Hispanic or Latino",2,4.7
="Ansonia School District",="Ansonia High School",="Hispanic or Latino",2,3.8
="Area Cooperative Educational Services",="Collaborative Alternative Magnet School",="Hispanic or Latino",1,7.7
,="Thomas Edison Magnet Middle School",="Hispanic or Latino",3,4.3
,="Whitney High School East",="Hispanic or Latino",1,4.3
,="Wintergreen Interdistrict Magnet School",="Hispanic or Latino",1,2.0
="Avon School District",="Avon High School",="Hispanic or Latino",1,1.1
,="Avon Middle School",="Hispanic or Latino",1,1.9
="Berlin School District",="Berlin High School",="Hispanic or Latino",1,1.1
="Bethel School District",="Bethel Middle School",="Hispanic or Latino",2,2.8
="Bloomfield School District",="Bloomfield High School",="Hispanic or Latino",2,2.6
,="Carmen Arace Middle School",="Hispanic or Latino",1,1.8
="Bolton School District",="Bolton Center School",="Hispanic or Latino",1,1.7
="Bozrah School District",="Fields Memorial School",="Hispanic or Latino",1,3.4
="Branford School District",="Branford High School",="Hispanic or Latino",4,3.4
,="Francis Walsh Intermediate School",="Hispanic or Latino",1,1.0
,="Mary T. Murphy School",="Hispanic or Latino",1,2.4
="Bridgeport School District",="Barnum School",="Hispanic or Latino",4,14.8
,="Bassick High School",="Hispanic or Latino",7,7.1
,="Beardsley School",="Hispanic or Latino",2,4.3
,="Black Rock School",="Hispanic or Latino",1,2.9
,="Blackham School",="Hispanic or Latino",5,5.8
,="Bridgeport Learning Center",="Hispanic or Latino",1,5.3
,="Bridgeport Regional Vocational Aquaculture School",="Hispanic or Latino",1,6.3
,="Bryant School",="Hispanic or Latino",1,2.9
,="Central High School",="Hispanic or Latino",12,6.8
,="Cesar Batalla School",="Hispanic or Latino",29,37.7
,="Classical Studies Academy",="Hispanic or Latino",2,6.9
,="Columbus School",="Hispanic or Latino",10,14.9
,="Curiale School",="Hispanic or Latino",7,14.6
,="Dunbar School",="Hispanic or Latino",1,2.6
,="Edison School",="Hispanic or Latino",1,2.9
,="Garfield School",="Hispanic or Latino",7,25.9
,="Hallen School",="Hispanic or Latino",1,3.0
,="Harding High School",="Hispanic or Latino",16,12.6
,="High Horizons Magnet School",="Hispanic or Latino",2,5.7
,="Hooker School",="Hispanic or Latino",2,5.1
,="Jettie S. Tisdale School",="Hispanic or Latino",3,9.7
,="Longfellow School",="Hispanic or Latino",2,4.2
,="Luis Munoz Marin School",="Hispanic or Latino",16,22.5
,="Madison School",="Hispanic or Latino",1,2.0
,="Make The Grade",="Hispanic or Latino",1,10.0
,="Maplewood Annex",="Hispanic or Latino",1,4.2
,="Multicultural Magnet School",="Hispanic or Latino",8,20.5
,="Park City Magnet School",="Hispanic or Latino",3,8.3
,="Read School",="Hispanic or Latino",1,1.4
,="Roosevelt School",="Hispanic or Latino",11,16.4
,="Skane Center",="Hispanic or Latino",3,9.4
,="Waltersville School",="Hispanic or Latino",5,13.5
,="Winthrop School",="Hispanic or Latino",2,3.5
="Bristol School District",="Bristol Central High School",="Hispanic or Latino",1,0.9
,="Bristol Eastern High School",="Hispanic or Latino",1,0.9
,="Chippens Hill Middle School",="Hispanic or Latino",1,1.2
,="Clara T. O'Connell School",="Hispanic or Latino",1,2.8
,="Clarence A. Bingham School",="Hispanic or Latino",1,3.7
,="Edgewood School",="Hispanic or Latino",1,2.9
,="Greene-Hills School",="Hispanic or Latino",1,3.0
,="John J. Jennings School",="Hispanic or Latino",2,6.5
,="South Side School",="Hispanic or Latino",4,8.2
="Brookfield School District",="Huckleberry Hill Elementary School",="Hispanic or Latino",1,2.0
,="Whisconier Middle School",="Hispanic or Latino",1,1.3
="Brooklyn School District",="Brooklyn Elementary School",="Hispanic or Latino",1,2.2
="Capitol Region Education Council",="CREC Early Learning Center at Asylum Hill",="Hispanic or Latino",3,5.7
,="Glastonbury/East Hartford Magnet School",="Hispanic or Latino",1,4.5
,="Great Path Academy at MCC",="Hispanic or Latino",1,7.7
,="Greater Hartford Academy of the Arts High School - Full Time",="Hispanic or Latino",2,40.0
,="John J. Allison Polaris Center",="Hispanic or Latino",1,6.3
,="Metropolitan Learning Center for Global and International Studies",="Hispanic or Latino",3,4.8
,="Montessori Magnet School",="Hispanic or Latino",4,18.2
,="Two Rivers Magnet Middle School",="Hispanic or Latino",3,5.0
="Cheshire School District",="Cheshire High School",="Hispanic or Latino",1,0.7
,="Dodd Middle School",="Hispanic or Latino",2,2.7
,="Doolittle School",="Hispanic or Latino",1,1.9
="Clinton School District",="Jared Eliot School",="Hispanic or Latino",1,1.8
,="The Morgan School",="Hispanic or Latino",1,1.5
="Colchester School District",="Bacon Academy",="Hispanic or Latino",2,2.2
="Columbia School District",="Horace W. Porter School",="Hispanic or Latino",2,3.1
="Common Ground High School District",="Common Ground High School",="Hispanic or Latino",1,7.1
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Hispanic or Latino",5,5.3
,="Bristol Technical Education Center",="Hispanic or Latino",2,11.8
,="Bullard-Havens Technical High School",="Hispanic or Latino",7,7.2
,="E. C. Goodwin Technical High School",="Hispanic or Latino",5,6.0
,="Eli Whitney Technical High School",="Hispanic or Latino",10,11.5
,="Ella T. Grasso Southeastern Technical High School",="Hispanic or Latino",2,2.7
,="Emmett O'Brien Technical High School",="Hispanic or Latino",1,1.7
,="H. C. Wilcox Technical High School",="Hispanic or Latino",8,9.8
,="H. H. Ellis Technical High School",="Hispanic or Latino",2,2.9
,="Henry Abbott Technical High School",="Hispanic or Latino",2,2.5
,="Howell Cheney Technical High School",="Hispanic or Latino",6,8.6
,="J. M. Wright Technical High School",="Hispanic or Latino",3,6.5
,="Norwich Technical High School",="Hispanic or Latino",2,2.9
,="Platt Technical High School",="Hispanic or Latino",3,3.6
,="Vinal Technical High School",="Hispanic or Latino",2,2.5
,="W. F. Kaynor Technical High School",="Hispanic or Latino",2,2.4
,="Windham Technical High School",="Hispanic or Latino",2,3.0
="Cooperative Educational Services",="Six-Six Magnet School",="Hispanic or Latino",3,6.5
