"Educator Race/Ethnicity Report for 2010-11"

"District","School","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Hispanic or Latino",6,9.8
="Amistad Academy District",="Amistad Academy",="Hispanic or Latino",2,2.2
="Ansonia School District",="Ansonia High School",="Hispanic or Latino",2,3.2
,="Ansonia Middle School",="Hispanic or Latino",1,2.6
="Area Cooperative Educational Services",="Thomas Edison Magnet Middle School",="Hispanic or Latino",5,7.1
,="Wintergreen Interdistrict Magnet School",="Hispanic or Latino",2,3.8
="Avon School District",="Avon High School",="Hispanic or Latino",1,1.0
,="Avon Middle School",="Hispanic or Latino",1,1.9
="Berlin School District",="Berlin High School",="Hispanic or Latino",2,2.0
="Bethany School District",="Bethany Community School",="Hispanic or Latino",1,1.9
="Bloomfield School District",="Bloomfield High School",="Hispanic or Latino",2,2.6
,="Carmen Arace Intermediate School",="Hispanic or Latino",1,2.4
,="Carmen Arace Middle School",="Hispanic or Latino",1,2.3
,="Wintonbury Early Childhood Magnet School",="Hispanic or Latino",1,3.8
="Bolton School District",="Bolton Center School",="Hispanic or Latino",2,3.5
="Branford School District",="Branford High School",="Hispanic or Latino",3,2.7
,="Francis Walsh Intermediate School",="Hispanic or Latino",1,1.0
,="Indian Neck School",="Hispanic or Latino",1,16.7
="Bridgeport Achievement First District",="Achievement First Bridgeport Academy",="Hispanic or Latino",3,7.7
="Bridgeport School District",="Barnum School",="Hispanic or Latino",14,25.0
,="Bassick High School",="Hispanic or Latino",10,11.1
,="Beardsley School",="Hispanic or Latino",1,2.6
,="Black Rock School",="Hispanic or Latino",1,3.2
,="Blackham School",="Hispanic or Latino",4,4.8
,="Bridgeport Regional Vocational Aquaculture School",="Hispanic or Latino",1,5.9
,="Bryant School",="Hispanic or Latino",3,8.6
,="Central High School",="Hispanic or Latino",9,5.9
,="Cesar Batalla School",="Hispanic or Latino",32,39.5
,="Classical Studies Academy",="Hispanic or Latino",3,10.0
,="Columbus School",="Hispanic or Latino",8,14.0
,="Cross School",="Hispanic or Latino",1,2.5
,="Curiale School",="Hispanic or Latino",4,7.7
,="Geraldine Johnson School",="Hispanic or Latino",2,3.4
,="Hall School",="Hispanic or Latino",1,3.3
,="Hallen School",="Hispanic or Latino",1,3.2
,="Harding High School",="Hispanic or Latino",16,13.7
,="High Horizons Magnet School",="Hispanic or Latino",1,2.9
,="Hooker School",="Hispanic or Latino",4,10.3
,="Interdistrict Discovery Magnet School",="Hispanic or Latino",2,15.4
,="Jettie S. Tisdale School",="Hispanic or Latino",4,7.1
,="Longfellow School",="Hispanic or Latino",1,2.4
,="Luis Munoz Marin School",="Hispanic or Latino",13,17.8
,="Madison School",="Hispanic or Latino",2,4.3
,="Make The Grade",="Hispanic or Latino",1,10.0
,="Multicultural Magnet School",="Hispanic or Latino",6,14.0
,="Park City Magnet School",="Hispanic or Latino",3,7.9
,="Read School",="Hispanic or Latino",1,1.5
,="Roosevelt School",="Hispanic or Latino",11,20.4
,="Skane Center",="Hispanic or Latino",6,20.7
,="Waltersville School",="Hispanic or Latino",5,10.9
,="Winthrop School",="Hispanic or Latino",4,7.5
="Bristol School District",="Bristol Central High School",="Hispanic or Latino",2,1.8
,="Bristol Eastern High School",="Hispanic or Latino",2,1.9
,="Chippens Hill Middle School",="Hispanic or Latino",1,1.2
,="Clara T. O'Connell School",="Hispanic or Latino",1,2.8
,="Edgewood School",="Hispanic or Latino",1,3.1
,="Greene-Hills School",="Hispanic or Latino",1,2.9
,="John J. Jennings School",="Hispanic or Latino",2,6.5
,="South Side School",="Hispanic or Latino",3,6.4
="Brookfield School District",="Brookfield High School",="Hispanic or Latino",2,2.4
,="Huckleberry Hill Elementary School",="Hispanic or Latino",1,2.2
="Brooklyn School District",="Brooklyn Elementary School",="Hispanic or Latino",1,2.3
="Capitol Region Education Council",="Academy of Science and Innovation",="Hispanic or Latino",4,17.4
,="Glastonbury/East Hartford Magnet School",="Hispanic or Latino",1,4.5
,="Great Path Academy at MCC",="Hispanic or Latino",2,7.1
,="Greater Hartford Academy of the Arts High School - Full Time",="Hispanic or Latino",5,19.2
,="International Magnet School for Global Citizenship",="Hispanic or Latino",1,4.5
,="John J. Allison Polaris Center",="Hispanic or Latino",2,6.7
,="Metropolitan Learning Center for Global and International Studies",="Hispanic or Latino",5,7.9
,="Montessori Magnet School",="Hispanic or Latino",3,11.5
,="Public Safety Academy",="Hispanic or Latino",1,3.3
,="Reggio Magnet School of the Arts",="Hispanic or Latino",1,4.2
,="River Street Early Learning Center (Site 2)",="Hispanic or Latino",1,6.7
,="River Street School",="Hispanic or Latino",2,4.3
,="Two Rivers Magnet Middle School",="Hispanic or Latino",3,4.8
="Charter School for Young Children on Asylum Hill District",="Charter School for Young Children on Asylum Hill Inc.",="Hispanic or Latino",2,11.1
="Cheshire School District",="Cheshire High School",="Hispanic or Latino",1,0.8
,="Dodd Middle School",="Hispanic or Latino",2,2.8
,="Doolittle School",="Hispanic or Latino",1,2.3
="Clinton School District",="Jared Eliot School",="Hispanic or Latino",2,3.5
,="The Morgan School",="Hispanic or Latino",1,1.6
="Colchester School District",="Bacon Academy",="Hispanic or Latino",3,3.1
="Columbia School District",="Horace W. Porter School",="Hispanic or Latino",1,1.8
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Hispanic or Latino",5,5.2
,="Bristol Technical Education Center",="Hispanic or Latino",1,6.3
,="Bullard-Havens Technical High School",="Hispanic or Latino",8,8.4
,="E. C. Goodwin Technical High School",="Hispanic or Latino",4,5.2
,="Eli Whitney Technical High School",="Hispanic or Latino",12,17.1
