"Educator Race/Ethnicity Report for 2010-11"

"District","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","White",47,77.1
="Amistad Academy District",="White",75,83.3
="Andover School District",="White",37,100.0
="Ansonia School District",="White",195,94.7
="Area Cooperative Educational Services",="White",258,92.1
="Ashford School District",="White",52,100.0
="Avon School District",="White",287,98.6
="Barkhamsted School District",="White",33,100.0
="Berlin School District",="White",287,98.6
="Bethany School District",="White",54,98.2
="Bethel School District",="White",280,99.3
="Bloomfield School District",="White",196,77.2
="Bolton School District",="White",94,97.9
="Bozrah School District",="White",27,100.0
="Branford School District",="White",322,97.3
="Bridgeport Achievement First District",="White",28,71.8
="Bridgeport School District",="White",1272,74.3
="Bristol School District",="White",680,95.5
="Brookfield School District",="White",233,96.7
="Brooklyn School District",="White",77,98.7
="Canaan School District",="White",23,100.0
="Canterbury School District",="White",50,96.2
="Canton School District",="White",154,99.4
="Capitol Region Education Council",="White",486,84.5
="Chaplin School District",="White",25,100.0
="Charter School for Young Children on Asylum Hill District",="White",13,72.2
="Cheshire School District",="White",382,98.0
="Chester School District",="White",40,100.0
="Clinton School District",="White",197,98.5
="Colchester School District",="White",271,98.2
="Colebrook School District",="White",17,100.0
="Columbia School District",="White",57,98.3
="Common Ground High School District",="White",18,94.7
="Connecticut Technical High School System",="White",1095,88.6
="Cooperative Educational Services",="White",147,92.5
="Cornwall School District",="White",26,100.0
="Coventry School District",="White",161,97.6
="Cromwell School District",="White",177,96.2
="Danbury School District",="White",746,89.1
="Darien School District",="White",474,97.3
="Deep River School District",="White",42,97.7
="Derby School District",="White",117,95.1
="East Granby School District",="White",88,97.8
="East Haddam School District",="White",127,100.0
="East Hampton School District",="White",172,97.7
="East Hartford School District",="White",594,89.5
="East Haven School District",="White",286,98.6
="East Lyme School District",="White",291,99.0
="East Windsor School District",="White",120,99.2
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="White",82,95.4
="Eastford School District",="White",22,100.0
="Easton School District",="White",100,99.0
="EdAdvance",="White",27,100.0
="Ellington School District",="White",216,96.9
="Elm City College Preparatory School District",="White",38,80.9
="Enfield School District",="White",512,97.5
="Essex School District",="White",64,98.5
="Explorations District",="White",8,88.9
="Fairfield School District",="White",979,97.1
="Farmington School District",="White",357,95.2
="Franklin School District",="White",25,100.0
="Glastonbury School District",="White",539,96.6
="Granby School District",="White",190,98.5
="Greenwich School District",="White",875,91.2
="Griswold School District",="White",181,98.4
="Groton School District",="White",465,93.2
