"Educator Race/Ethnicity Report for 2003-04"

"District","School","Race","Count","% of Total"
"Amistad Academy District","Amistad Academy","White",19,79.2
="Andover School District",="Andover Elementary School",="White",33,100.0
="Ansonia School District",="Ansonia High School",="White",52,98.1
,="Ansonia Middle School",="White",48,92.3
,="Mead School",="White",37,88.1
,="Prendergast School",="White",48,96.0
="Area Cooperative Educational Services",="A. C. E. S. Special Education Town Campus Learning Center",="White",125,94.7
,="Collaborative Alternative Magnet School",="White",11,78.6
,="Thomas Edison Magnet Middle School",="White",60,87.0
,="Wintergreen Interdistrict Magnet School",="White",51,91.1
="Ashford School District",="Ashford School",="White",52,100.0
="Avon School District",="Avon High School",="White",76,98.7
,="Avon Middle School",="White",54,100.0
,="Pine Grove School",="White",48,100.0
,="Roaring Brook School",="White",53,100.0
,="Thompson Brook School",="White",44,97.8
="Barkhamsted School District",="Barkhamsted Elementary School",="White",33,100.0
="Berlin School District",="Berlin High School",="White",89,97.8
,="Catherine M. McGee Middle School",="White",69,98.6
,="Emma Hart Willard School",="White",47,100.0
,="Mary E. Griswold School",="White",44,97.8
,="Richard D. Hubbard School",="White",26,100.0
="Bethany School District",="Bethany Community School",="White",52,100.0
="Bethel School District",="Anna H. Rockwell School",="White",40,97.6
,="Bethel High School",="White",91,100.0
,="Bethel Middle School",="White",76,98.7
,="Frank A. Berry School",="White",43,97.7
,="Ralph M. T. Johnson School",="White",45,100.0
="Bloomfield School District",="Bloomfield High School",="White",53,69.7
,="Carmen Arace Middle School",="White",62,75.6
,="J. P. Vincent School",="White",33,80.5
,="Laurel School",="White",29,85.3
,="Metacomet School",="White",25,83.3
="Bolton School District",="Bolton Center School",="White",63,98.4
,="Bolton High School",="White",39,100.0
="Bozrah School District",="Fields Memorial School",="White",26,96.3
="Branford School District",="Branford High School",="White",104,96.3
,="Francis Walsh Intermediate School",="White",98,99.0
,="Indian Neck School",="White",4,100.0
,="John B. Sliney School",="White",32,94.1
,="Mary R. Tisko School",="White",38,100.0
,="Mary T. Murphy School",="White",38,97.4
="Bridgeport School District",="Barnum School",="White",20,64.5
,="Bassick High School",="White",70,74.5
,="Beardsley School",="White",36,81.8
,="Black Rock School",="White",23,69.7
,="Blackham School",="White",71,80.7
,="Bridgeport Regional Vocational Aquaculture School",="White",13,92.9
,="Bryant School",="White",28,84.8
,="Central High School",="White",139,79.9
,="Cesar Batalla School",="White",16,41.0
,="Classical Studies Academy",="White",27,84.4
,="Columbus School",="White",45,70.3
,="Cross School",="White",27,62.8
,="Curiale School",="White",55,85.9
,="Dunbar School",="White",27,50.9
,="Edison School",="White",22,81.5
,="Garfield School",="White",19,79.2
,="Geraldine Johnson School",="White",15,78.9
,="Hall School",="White",21,77.8
,="Hallen School",="White",25,78.1
,="Harding High School",="White",81,69.2
,="High Horizons Magnet School",="White",33,89.2
,="Hooker School",="White",36,87.8
,="Jettie S. Tisdale School",="White",25,69.4
,="Longfellow School",="White",31,49.2
,="Luis Munoz Marin School",="White",48,67.6
,="Madison School",="White",48,92.3
,="Maplewood Annex",="White",23,92.0
,="Multicultural Magnet School",="White",30,73.2
,="Newfield School",="White",8,47.1
,="Park City Magnet School",="White",31,73.8
,="Read School",="White",64,88.9
,="Roosevelt School",="White",44,64.7
,="Skane Center",="White",22,78.6
,="Waltersville School",="White",34,58.6
,="Winthrop School",="White",49,75.4
="Bristol School District",="Bristol Central High School",="White",104,95.4
,="Bristol Eastern High School",="White",104,95.4
,="Chippens Hill Middle School",="White",77,96.3
,="Clara T. O'Connell School",="White",33,97.1
,="Clarence A. Bingham School",="White",25,100.0
,="Edgewood School",="White",33,94.3
,="Ellen P. Hubbell School",="White",41,100.0
,="Greene-Hills School",="White",28,90.3
,="Ivy Drive School",="White",30,100.0
,="John J. Jennings School",="White",29,100.0
,="Memorial Boulevard Middle School",="White",53,98.1
,="Mountain View School",="White",30,93.8
,="Northeast Middle School",="White",53,100.0
,="South Side School",="White",40,90.9
,="Stafford School",="White",38,95.0
="Brookfield School District",="Brookfield High School",="White",82,97.6
,="Center Elementary School",="White",36,97.3
