"Educator Race/Ethnicity Report for 2009-10"

"District","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Black or African American",4,9.3
="Amistad Academy District",="Black or African American",9,11.4
="Ansonia School District",="Black or African American",8,3.9
="Area Cooperative Educational Services",="Black or African American",15,5.0
="Avon School District",="Black or African American",2,0.7
="Bethel School District",="Black or African American",1,0.4
="Bloomfield School District",="Black or African American",57,21.7
="Branford School District",="Black or African American",1,0.3
="Bridgeport Achievement First District",="Black or African American",7,35.0
="Bridgeport School District",="Black or African American",241,13.8
="Bristol School District",="Black or African American",11,1.5
="Brookfield School District",="Black or African American",2,0.8
="Canterbury School District",="Black or African American",1,1.9
="Capitol Region Education Council",="Black or African American",32,6.3
="Charter School for Young Children on Asylum Hill District",="Black or African American",3,20.0
="Cheshire School District",="Black or African American",1,0.3
="Colchester School District",="Black or African American",2,0.7
="Common Ground High School District",="Black or African American",1,6.7
="Connecticut Technical High School System",="Black or African American",60,4.8
="Cooperative Educational Services",="Black or African American",4,2.5
="Coventry School District",="Black or African American",2,1.2
="Cromwell School District",="Black or African American",3,1.6
="Danbury School District",="Black or African American",38,4.6
="Department of Social Services",="Black or African American",1,3.0
="Derby School District",="Black or African American",1,0.8
="East Granby School District",="Black or African American",2,2.3
="East Hartford School District",="Black or African American",31,4.8
="East Windsor School District",="Black or African American",1,0.8
="Ellington School District",="Black or African American",2,0.9
="Elm City College Preparatory School District",="Black or African American",3,5.9
="Enfield School District",="Black or African American",5,0.9
="Fairfield School District",="Black or African American",4,0.4
="Farmington School District",="Black or African American",6,1.6
="Glastonbury School District",="Black or African American",5,0.9
="Granby School District",="Black or African American",1,0.5
="Greenwich School District",="Black or African American",29,3.1
="Groton School District",="Black or African American",12,2.4
="Guilford School District",="Black or African American",3,0.9
="Hamden School District",="Black or African American",35,6.1
="Hartford School District",="Black or African American",278,14.8
="Hebron School District",="Black or African American",1,1.0
="Highville Charter School District",="Black or African American",2,8.7
="Interdistrict School for Arts and Comm District",="Black or African American",1,4.8
="Jumoke Academy District",="Black or African American",8,29.6
="Learn",="Black or African American",2,1.5
="Ledyard School District",="Black or African American",2,0.8
="Madison School District",="Black or African American",1,0.3
="Manchester School District",="Black or African American",31,4.6
="Mansfield School District",="Black or African American",2,1.4
="Meriden School District",="Black or African American",11,1.6
="Middletown School District",="Black or African American",13,2.8
="Milford School District",="Black or African American",5,0.7
="Montville School District",="Black or African American",2,0.8
="Naugatuck School District",="Black or African American",2,0.5
="New Beginnings Inc Family Academy District",="Black or African American",6,20.7
="New Britain School District",="Black or African American",49,5.7
="New Canaan School District",="Black or African American",1,0.2
="New Haven School District",="Black or African American",341,18.1
="New London School District",="Black or African American",24,8.3
="New Milford School District",="Black or African American",1,0.3
="Newington School District",="Black or African American",6,1.5
="Newtown School District",="Black or African American",2,0.4
="North Haven School District",="Black or African American",4,1.2
="Norwalk School District",="Black or African American",69,7.2
="Norwich Free Academy District",="Black or African American",9,4.6
="Norwich School District",="Black or African American",8,2.5
="Orange School District",="Black or African American",1,0.8
="Oxford School District",="Black or African American",2,1.2
="Park City Prep Charter School District",="Black or African American",2,12.5
="Plainville School District",="Black or African American",1,0.4
="Preston School District",="Black or African American",1,2.1
="Redding School District",="Black or African American",1,0.7
="Regional School District 05",="Black or African American",1,0.4
="Regional School District 07",="Black or African American",2,1.8
="Regional School District 08",="Black or African American",1,0.6
="Regional School District 10",="Black or African American",2,0.8
="Regional School District 15",="Black or African American",2,0.5
="Regional School District 17",="Black or African American",1,0.4
="Regional School District 18",="Black or African American",1,0.6
="Ridgefield School District",="Black or African American",1,0.2
="Shelton School District",="Black or African American",1,0.2
="Simsbury School District",="Black or African American",1,0.2
="Somers School District",="Black or African American",1,0.7
="South Windsor School District",="Black or African American",6,1.5
="Southington School District",="Black or African American",3,0.5
="Stamford School District",="Black or African American",99,6.9
="Stonington School District",="Black or African American",2,0.9
="Stratford School District",="Black or African American",17,2.8
="Suffield School District",="Black or African American",2,0.9
="The Bridge Academy District",="Black or African American",2,9.5
="Thomaston School District",="Black or African American",1,1.0
="Thompson School District",="Black or African American",1,0.8
="Tolland School District",="Black or African American",1,0.4
="Torrington School District",="Black or African American",2,0.5
="Unified School District #1",="Black or African American",14,7.1
="Unified School District #2",="Black or African American",7,6.9
="Vernon School District",="Black or African American",5,1.4
="Wallingford School District",="Black or African American",5,0.8
="Waterbury School District",="Black or African American",58,3.6
="Waterford School District",="Black or African American",2,0.7
="West Hartford School District",="Black or African American",21,2.2
="West Haven School District",="Black or African American",18,3.0
="Weston School District",="Black or African American",1,0.4
="Westport School District",="Black or African American",3,0.5
="Wethersfield School District",="Black or African American",5,1.6
="Wilton School District",="Black or African American",2,0.5
="Windham School District",="Black or African American",1,0.3
="Windsor Locks School District",="Black or African American",4,2.1
="Windsor School District",="Black or African American",28,6.5
="Wolcott School District",="Black or African American",2,0.8

