"Educator Race/Ethnicity Report for 2007-08"

"District","School","Race","Count","% of Total"
"Amistad Academy District","Amistad Academy","Asian",3,7.0
="Ansonia School District",="Mead School",="Asian",1,2.3
="Area Cooperative Educational Services",="Thomas Edison Magnet Middle School",="Asian",1,1.4
="Avon School District",="Roaring Brook School",="Asian",1,1.8
="Berlin School District",="Catherine M. McGee Middle School",="Asian",3,4.1
="Bethel School District",="Bethel Middle School",="Asian",1,1.4
="Bloomfield School District",="Bloomfield High School",="Asian",1,1.3
="Bridgeport School District",="Barnum School",="Asian",2,7.4
,="Bassick High School",="Asian",6,6.1
,="Beardsley School",="Asian",1,2.2
,="Black Rock School",="Asian",1,2.9
,="Blackham School",="Asian",1,1.2
,="Bridgeport Learning Center",="Asian",1,5.3
,="Bridgeport Regional Vocational Aquaculture School",="Asian",1,6.3
,="Central High School",="Asian",3,1.7
,="Cesar Batalla School",="Asian",4,5.2
,="Columbus School",="Asian",3,4.5
,="Geraldine Johnson School",="Asian",2,9.5
,="Hallen School",="Asian",1,3.0
,="Harding High School",="Asian",9,7.1
,="Longfellow School",="Asian",1,2.1
,="Maplewood Annex",="Asian",1,4.2
,="Park City Magnet School",="Asian",2,5.6
,="Roosevelt School",="Asian",3,4.5
,="Skane Center",="Asian",1,3.1
,="Waltersville School",="Asian",1,2.7
="Bristol School District",="Bristol Central High School",="Asian",3,2.6
,="Bristol Eastern High School",="Asian",1,0.9
,="Clara T. O'Connell School",="Asian",1,2.8
,="Greene-Hills School",="Asian",1,3.0
="Brookfield School District",="Brookfield High School",="Asian",2,2.4
="Canaan School District",="Lee H. Kellogg School",="Asian",1,5.3
="Canterbury School District",="Canterbury Elementary School",="Asian",1,3.8
="Canton School District",="Canton Middle School",="Asian",1,2.9
="Capitol Region Education Council",="Glastonbury/East Hartford Magnet School",="Asian",2,9.1
,="Great Path Academy at MCC",="Asian",1,7.7
,="Two Rivers Magnet Middle School",="Asian",2,3.3
="Cheshire School District",="Cheshire High School",="Asian",3,2.1
,="Doolittle School",="Asian",1,1.9
,="Highland School",="Asian",1,1.3
="Chester School District",="Chester Elementary School",="Asian",1,2.6
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Asian",2,2.1
,="Bullard-Havens Technical High School",="Asian",2,2.1
,="E. C. Goodwin Technical High School",="Asian",1,1.2
,="Ella T. Grasso Southeastern Technical High School",="Asian",2,2.7
,="H. H. Ellis Technical High School",="Asian",1,1.4
,="Henry Abbott Technical High School",="Asian",1,1.2
,="J. M. Wright Technical High School",="Asian",1,2.2
,="Norwich Technical High School",="Asian",1,1.5
,="Oliver Wolcott Technical High School",="Asian",1,1.3
="Cooperative Educational Services",="Six-Six Magnet School",="Asian",1,2.2
="Danbury School District",="Danbury High School",="Asian",3,1.3
,="King Street Intermediate School",="Asian",1,3.3
,="Rogers Park Middle School",="Asian",1,1.0
,="South Street School",="Asian",1,2.9
="Darien School District",="Darien High School",="Asian",3,2.2
,="Holmes Elementary School",="Asian",1,2.1
,="Ox Ridge Elementary School",="Asian",1,1.8
="Derby School District",="Derby High School",="Asian",1,1.8
="East Hartford School District",="Connecticut IB Academy",="Asian",2,10.5
,="Dr. John A. Langford School",="Asian",1,3.1
,="East Hartford High School",="Asian",2,1.1
,="Governor William Pitkin School",="Asian",1,2.9
,="Robert J. O'Brien School",="Asian",1,2.8
,="Sunset Ridge Middle School",="Asian",1,2.3
="East Lyme School District",="East Lyme High School",="Asian",1,0.8
,="East Lyme Middle School",="Asian",1,1.2
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Arts at the Capitol Theater Magnet School (ACT)",="Asian",1,14.3
,="EastConn Special Education",="Asian",1,3.8
="Ellington School District",="Windermere Intermediate School",="Asian",1,2.9
,="Windermere School",="Asian",1,2.8
="Elm City College Preparatory School",="Elm City College Preparatory School",="Asian",1,2.6
="Enfield School District",="Eli Whitney School",="Asian",2,5.1
,="Nathan Hale School",="Asian",1,4.0
,="Prudence Crandall School",="Asian",1,2.8
="Fairfield School District",="Burr Elementary School",="Asian",1,2.6
,="Fairfield Ludlowe High School",="Asian",1,0.7
,="Fairfield Warde High School",="Asian",1,0.7
,="Fairfield Woods Middle School",="Asian",1,1.4
,="Jennings School",="Asian",1,2.4
,="Roger Ludlowe Middle School",="Asian",1,1.0
,="Stratfield School",="Asian",1,2.3
,="Tomlinson Middle School",="Asian",1,1.3
="Farmington School District",="Farmington High School",="Asian",1,0.7
,="West District School",="Asian",1,3.1
,="West Woods Upper Elementary School",="Asian",1,1.6
="Glastonbury School District",="Glastonbury High School",="Asian",1,0.5
,="Hopewell School",="Asian",1,2.1
,="Naubuc School",="Asian",2,4.3
="Granby School District",="Granby Memorial High School",="Asian",1,1.4
="Greenwich School District",="Central Middle School",="Asian",1,1.4
,="Eastern Middle School",="Asian",1,1.4
,="Greenwich High School",="Asian",6,2.2
,="Hamilton Avenue School",="Asian",1,2.1
,="International School At Dundee",="Asian",2,4.8
,="New Lebanon School",="Asian",1,2.6
,="North Mianus School",="Asian",2,4.7
,="Riverside School",="Asian",1,2.3
,="Western Middle School",="Asian",1,1.7
="Griswold School District",="Griswold Middle School",="Asian",1,2.4
="Groton School District",="Carl C. Cutler Middle School",="Asian",1,2.1
,="Claude Chester School",="Asian",1,2.7
,="Colonel Ledyard School",="Asian",1,7.1
,="Fitch Middle School",="Asian",1,1.8
