"Educator Race/Ethnicity Report for 2007-08"

"District","Race","Count","% of Total"
"Amistad Academy District","Hispanic or Latino",2,4.7
="Ansonia School District",="Hispanic or Latino",2,1.0
="Area Cooperative Educational Services",="Hispanic or Latino",6,2.1
="Avon School District",="Hispanic or Latino",2,0.7
="Berlin School District",="Hispanic or Latino",1,0.4
="Bethel School District",="Hispanic or Latino",2,0.7
="Bloomfield School District",="Hispanic or Latino",3,1.2
="Bolton School District",="Hispanic or Latino",1,1.0
="Bozrah School District",="Hispanic or Latino",1,3.5
="Branford School District",="Hispanic or Latino",6,1.7
="Bridgeport School District",="Hispanic or Latino",173,9.9
="Bristol School District",="Hispanic or Latino",11,1.5
="Brookfield School District",="Hispanic or Latino",2,0.8
="Brooklyn School District",="Hispanic or Latino",1,1.2
="Capitol Region Education Council",="Hispanic or Latino",20,5.4
="Cheshire School District",="Hispanic or Latino",4,0.9
="Clinton School District",="Hispanic or Latino",1,0.5
="Colchester School District",="Hispanic or Latino",2,0.7
="Columbia School District",="Hispanic or Latino",2,3.0
="Common Ground High School District",="Hispanic or Latino",1,7.1
="Connecticut Technical High School System",="Hispanic or Latino",66,5.0
="Cooperative Educational Services",="Hispanic or Latino",3,2.1
="Coventry School District",="Hispanic or Latino",2,1.1
="Cromwell School District",="Hispanic or Latino",1,0.5
="Danbury School District",="Hispanic or Latino",34,4.0
="Darien School District",="Hispanic or Latino",6,1.3
="Deep River School District",="Hispanic or Latino",2,4.1
="Derby School District",="Hispanic or Latino",4,3.1
="East Hampton School District",="Hispanic or Latino",2,1.1
="East Hartford School District",="Hispanic or Latino",24,3.6
="East Haven School District",="Hispanic or Latino",4,1.3
="East Lyme School District",="Hispanic or Latino",1,0.3
="East Windsor School District",="Hispanic or Latino",1,0.8
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Hispanic or Latino",1,1.5
="Easton School District",="Hispanic or Latino",1,0.9
="Ellington School District",="Hispanic or Latino",2,0.9
="Elm City College Preparatory School",="Hispanic or Latino",3,7.9
="Enfield School District",="Hispanic or Latino",4,0.7
="Essex School District",="Hispanic or Latino",1,1.6
="Fairfield School District",="Hispanic or Latino",15,1.5
="Farmington School District",="Hispanic or Latino",9,2.3
="Glastonbury School District",="Hispanic or Latino",8,1.4
="Granby School District",="Hispanic or Latino",1,0.5
="Greenwich School District",="Hispanic or Latino",33,3.5
="Groton School District",="Hispanic or Latino",10,2.0
="Guilford School District",="Hispanic or Latino",3,0.9
="Hamden School District",="Hispanic or Latino",17,3.1
="Hartford School District",="Hispanic or Latino",295,13.6
="Hebron School District",="Hispanic or Latino",1,1.0
="Interdistrict School for Arts and Comm District",="Hispanic or Latino",1,5.3
="Killingly School District",="Hispanic or Latino",1,0.4
="Learn",="Hispanic or Latino",6,4.8
="Lebanon School District",="Hispanic or Latino",2,1.5
="Ledyard School District",="Hispanic or Latino",4,1.5
="Madison School District",="Hispanic or Latino",2,0.6
="Manchester School District",="Hispanic or Latino",15,2.3
="Mansfield School District",="Hispanic or Latino",3,2.1
="Marlborough School District",="Hispanic or Latino",1,1.8
="Meriden School District",="Hispanic or Latino",54,7.4
="Middletown School District",="Hispanic or Latino",9,2.0
="Milford School District",="Hispanic or Latino",4,0.6
="Monroe School District",="Hispanic or Latino",3,0.9
="Montville School District",="Hispanic or Latino",4,1.5
