"Educator Race/Ethnicity Report for 2008-09"

"District","School","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","White",18,69.2
="Amistad Academy District",="Amistad Academy",="White",49,77.8
="Andover School District",="Andover Elementary School",="White",35,100.0
="Ansonia School District",="Ansonia High School",="White",53,93.0
,="Ansonia Middle School",="White",47,94.0
,="Mead School",="White",40,88.9
,="Pine Academy",="White",5,83.3
,="Prendergast School",="White",52,100.0
="Area Cooperative Educational Services",="A. C. E. S. Special Education Town Campus Learning Center",="White",5,100.0
,="Collaborative Alternative Magnet School",="White",13,86.7
,="Mill Road School",="White",31,91.2
,="Thomas Edison Magnet Middle School",="White",65,89.0
,="Village School",="White",34,100.0
,="Whitney High School East",="White",23,92.0
,="Whitney High School North",="White",16,94.1
,="Whitney High School West",="White",10,100.0
,="Wintergreen Interdistrict Magnet School",="White",46,85.2
="Ashford School District",="Ashford School",="White",53,100.0
="Avon School District",="Avon High School",="White",88,97.8
,="Avon Middle School",="White",52,98.1
,="Pine Grove School",="White",56,100.0
,="Roaring Brook School",="White",53,98.1
,="Thompson Brook School",="White",48,100.0
="Barkhamsted School District",="Barkhamsted Elementary School",="White",32,100.0
="Berlin School District",="Berlin High School",="White",99,98.0
,="Catherine M. McGee Middle School",="White",75,97.4
,="Emma Hart Willard School",="White",53,100.0
,="Mary E. Griswold School",="White",49,100.0
,="Richard D. Hubbard School",="White",28,100.0
="Bethany School District",="Bethany Community School",="White",53,100.0
="Bethel School District",="Anna H. Rockwell School",="White",40,100.0
,="Bethel High School",="White",98,99.0
,="Bethel Middle School",="White",66,97.1
,="Frank A. Berry School",="White",46,100.0
,="Ralph M. T. Johnson School",="White",42,100.0
="Bloomfield School District",="Bloomfield High School",="White",51,68.9
,="Carmen Arace Intermediate School",="White",37,82.2
,="Carmen Arace Middle School",="White",39,68.4
,="J. P. Vincent School",="White",26,72.2
,="Laurel School",="White",24,80.0
,="Metacomet School",="White",28,90.3
,="The Big Picture High School",="White",7,70.0
="Bolton School District",="Bolton Center School",="White",59,98.3
,="Bolton High School",="White",40,100.0
="Bozrah School District",="Fields Memorial School",="White",27,100.0
="Branford School District",="Branford High School",="White",107,96.4
,="Francis Walsh Intermediate School",="White",100,99.0
,="Indian Neck School",="White",5,83.3
,="John B. Sliney School",="White",37,100.0
,="Mary R. Tisko School",="White",40,97.6
,="Mary T. Murphy School",="White",40,100.0
="Bridgeport Achievement First District",="Achievement First Bridgeport Academy",="White",9,64.3
="Bridgeport School District",="Barnum School",="White",36,70.6
,="Bassick High School",="White",70,73.7
,="Beardsley School",="White",34,89.5
,="Black Rock School",="White",26,81.3
,="Blackham School",="White",73,86.9
,="Bridgeport Learning Center",="White",13,68.4
,="Bridgeport Regional Vocational Aquaculture School",="White",13,92.9
,="Bryant School",="White",32,86.5
,="Central High School",="White",134,77.9
,="Central at Night",="White",1,100.0
,="Cesar Batalla School",="White",39,47.0
,="Classical Studies Academy",="White",18,64.3
,="Columbus School",="White",49,76.6
,="Cross School",="White",36,78.3
,="Curiale School",="White",37,71.2
,="Dunbar School",="White",25,61.0
,="Edison School",="White",30,90.9
,="Geraldine Johnson School",="White",42,76.4
,="Hall School",="White",28,82.4
,="Hallen School",="White",28,84.8
,="Harding High School",="White",74,58.3
,="High Horizons Magnet School",="White",25,73.5
,="Hooker School",="White",31,81.6
,="Jettie S. Tisdale School",="White",38,76.0
,="Longfellow School",="White",25,56.8
,="Luis Munoz Marin School",="White",54,72.0
,="Madison School",="White",44,93.6
,="Make The Grade",="White",6,50.0
,="Multicultural Magnet School",="White",32,72.7
,="New Start Program",="White",6,100.0
,="Park City Academy",="White",10,83.3
,="Park City Magnet School",="White",27,73.0
,="Read School",="White",59,86.8
,="Roosevelt School",="White",38,64.4
,="Skane Center",="White",25,80.6
,="Waltersville School",="White",33,71.7
,="Winthrop School",="White",40,71.4
="Bristol School District",="Alternative Special Education Program (ASEP)",="White",4,100.0
,="Bristol Central High School",="White",107,93.0
,="Bristol Eastern High School",="White",100,96.2
,="Chippens Hill Middle School",="White",77,95.1
,="Clara T. O'Connell School",="White",32,86.5
,="Clarence A. Bingham School",="White",27,100.0
,="Community/Vocational Program",="White",1,100.0
,="Edgewood School",="White",31,93.9
,="Ellen P. Hubbell School",="White",37,100.0
,="Greene-Hills School",="White",32,94.1
,="Ivy Drive School",="White",32,100.0
,="John J. Jennings School",="White",32,97.0
