"Educator Race/Ethnicity Report for 2010-11"

"District","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Hispanic or Latino",6,9.8
="Amistad Academy District",="Hispanic or Latino",2,2.2
="Ansonia School District",="Hispanic or Latino",3,1.5
="Area Cooperative Educational Services",="Hispanic or Latino",7,2.5
="Avon School District",="Hispanic or Latino",2,0.7
="Berlin School District",="Hispanic or Latino",2,0.7
="Bethany School District",="Hispanic or Latino",1,1.8
="Bloomfield School District",="Hispanic or Latino",5,2.0
="Bolton School District",="Hispanic or Latino",2,2.1
="Branford School District",="Hispanic or Latino",6,1.8
="Bridgeport Achievement First District",="Hispanic or Latino",3,7.7
="Bridgeport School District",="Hispanic or Latino",176,10.3
="Bristol School District",="Hispanic or Latino",12,1.7
="Brookfield School District",="Hispanic or Latino",3,1.2
="Brooklyn School District",="Hispanic or Latino",1,1.3
="Capitol Region Education Council",="Hispanic or Latino",33,5.7
="Charter School for Young Children on Asylum Hill District",="Hispanic or Latino",2,11.1
="Cheshire School District",="Hispanic or Latino",4,1.0
="Clinton School District",="Hispanic or Latino",2,1.0
="Colchester School District",="Hispanic or Latino",3,1.1
="Columbia School District",="Hispanic or Latino",1,1.7
="Connecticut Technical High School System",="Hispanic or Latino",68,5.5
="Cooperative Educational Services",="Hispanic or Latino",7,4.4
="Coventry School District",="Hispanic or Latino",2,1.2
="Cromwell School District",="Hispanic or Latino",2,1.1
="Danbury School District",="Hispanic or Latino",41,4.9
="Darien School District",="Hispanic or Latino",9,1.9
="Deep River School District",="Hispanic or Latino",1,2.3
="Derby School District",="Hispanic or Latino",4,3.3
="East Hampton School District",="Hispanic or Latino",3,1.7
="East Hartford School District",="Hispanic or Latino",30,4.5
="East Haven School District",="Hispanic or Latino",4,1.4
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Hispanic or Latino",2,2.3
="Easton School District",="Hispanic or Latino",1,1.0
="Ellington School District",="Hispanic or Latino",3,1.4
="Elm City College Preparatory School District",="Hispanic or Latino",1,2.1
="Enfield School District",="Hispanic or Latino",4,0.8
="Essex School District",="Hispanic or Latino",1,1.5
="Fairfield School District",="Hispanic or Latino",17,1.7
="Farmington School District",="Hispanic or Latino",7,1.9
="Glastonbury School District",="Hispanic or Latino",8,1.4
="Granby School District",="Hispanic or Latino",2,1.0
="Greenwich School District",="Hispanic or Latino",38,4.0
="Griswold School District",="Hispanic or Latino",2,1.1
="Groton School District",="Hispanic or Latino",11,2.2
="Guilford School District",="Hispanic or Latino",3,0.9
="Hamden School District",="Hispanic or Latino",15,2.6
="Hartford School District",="Hispanic or Latino",237,12.7
="Hebron School District",="Hispanic or Latino",1,1.0
="Integrated Day Charter School District",="Hispanic or Latino",1,4.4
="Jumoke Academy District",="Hispanic or Latino",1,3.2
="Kent School District",="Hispanic or Latino",1,2.6
="Learn",="Hispanic or Latino",6,4.2
="Lebanon School District",="Hispanic or Latino",2,1.6
="Ledyard School District",="Hispanic or Latino",2,0.9
="Litchfield School District",="Hispanic or Latino",1,0.9
="Madison School District",="Hispanic or Latino",2,0.6
="Manchester School District",="Hispanic or Latino",16,2.4
="Mansfield School District",="Hispanic or Latino",2,1.4
="Meriden School District",="Hispanic or Latino",48,7.0
