"Educator Race/Ethnicity Report for 2003-04"

"District","Race","Count","% of Total"
"Amistad Academy District","Black or African American",2,8.3
="Ansonia School District",="Black or African American",10,5.2
="Area Cooperative Educational Services",="Black or African American",18,6.2
="Berlin School District",="Black or African American",1,0.4
="Bethel School District",="Black or African American",1,0.3
="Bloomfield School District",="Black or African American",56,22.2
="Branford School District",="Black or African American",4,1.2
="Bridgeport School District",="Black or African American",254,14.7
="Bristol School District",="Black or African American",10,1.4
="Brookfield School District",="Black or African American",1,0.4
="Canterbury School District",="Black or African American",1,2.0
="Capitol Region Education Council",="Black or African American",22,6.8
="Cheshire School District",="Black or African American",3,0.7
="Colchester School District",="Black or African American",1,0.4
="Common Ground High School District",="Black or African American",2,16.7
="Connecticut Technical High School System",="Black or African American",79,6.2
="Cooperative Educational Services",="Black or African American",1,0.8
="Coventry School District",="Black or African American",2,1.1
="Cromwell School District",="Black or African American",2,1.2
="Danbury School District",="Black or African American",35,4.2
="Darien School District",="Black or African American",1,0.2
="Derby School District",="Black or African American",1,0.8
="East Granby School District",="Black or African American",2,2.4
="East Hartford School District",="Black or African American",23,3.6
="East Haven School District",="Black or African American",1,0.3
="Ellington School District",="Black or African American",3,1.4
="Enfield School District",="Black or African American",6,1.1
="Fairfield School District",="Black or African American",6,0.7
="Farmington School District",="Black or African American",6,1.6
="Glastonbury School District",="Black or African American",6,1.1
="Granby School District",="Black or African American",1,0.6
="Greenwich School District",="Black or African American",22,2.3
="Groton School District",="Black or African American",11,2.1
="Guilford School District",="Black or African American",2,0.6
="Hamden School District",="Black or African American",29,5.4
="Hartford School District",="Black or African American",365,17.2
="Hebron School District",="Black or African American",1,1.0
="Highville Mustard Seed Charter School District",="Black or African American",5,22.7
="Integrated Day Charter School District",="Black or African American",1,5.0
="Jumoke Academy District",="Black or African American",4,17.4
="Lebanon School District",="Black or African American",1,0.7
="Ledyard School District",="Black or African American",2,0.8
="Madison School District",="Black or African American",1,0.4
="Manchester School District",="Black or African American",24,3.7
="Mansfield School District",="Black or African American",2,1.4
="Meriden School District",="Black or African American",10,1.4
="Middletown School District",="Black or African American",26,5.7
="Milford School District",="Black or African American",4,0.6
="Monroe School District",="Black or African American",1,0.3
="Montville School District",="Black or African American",1,0.4
="Naugatuck School District",="Black or African American",2,0.5
="New Beginnings Inc Family Academy District",="Black or African American",4,23.5
="New Britain School District",="Black or African American",42,4.9
="New Canaan School District",="Black or African American",4,1.0
="New Fairfield School District",="Black or African American",1,0.4
="New Haven School District",="Black or African American",339,20.0
="New London School District",="Black or African American",24,7.8
="Newington School District",="Black or African American",4,1.0
="Newtown School District",="Black or African American",2,0.5
="North Haven School District",="Black or African American",2,0.6
="Norwalk School District",="Black or African American",69,7.7
="Norwich Free Academy District",="Black or African American",3,1.7
="Norwich School District",="Black or African American",5,1.7
="Old Saybrook School District",="Black or African American",1,0.6
="Plainville School District",="Black or African American",3,1.2
="Preston School District",="Black or African American",1,1.9
="Regional School District 07",="Black or African American",1,0.9
="Regional School District 08",="Black or African American",1,0.7
="Regional School District 09",="Black or African American",1,1.1
="Regional School District 10",="Black or African American",2,0.8
="Regional School District 15",="Black or African American",2,0.5
="Regional School District 17",="Black or African American",1,0.4
="Regional School District 19",="Black or African American",1,0.8
="Ridgefield School District",="Black or African American",1,0.2
="Rocky Hill School District",="Black or African American",2,0.9
="Seymour School District",="Black or African American",3,1.3
="Simsbury School District",="Black or African American",1,0.2
="South Windsor School District",="Black or African American",5,1.2
="Southington School District",="Black or African American",2,0.4
="Stamford School District",="Black or African American",95,6.7
="Stonington School District",="Black or African American",1,0.5
="Stratford School District",="Black or African American",15,2.4
="Suffield School District",="Black or African American",1,0.5
="The Bridge Academy District",="Black or African American",1,7.7
="Tolland School District",="Black or African American",1,0.4
="Torrington School District",="Black or African American",2,0.5
="Trailblazers Academy District",="Black or African American",1,5.9
="Trumbull School District",="Black or African American",5,0.9
="Unified School District #1",="Black or African American",10,5.2
="Unified School District #2",="Black or African American",9,8.0
="Vernon School District",="Black or African American",4,1.1
="Wallingford School District",="Black or African American",4,0.6
="Waterbury School District",="Black or African American",55,3.8
="Waterford School District",="Black or African American",2,0.7
="Watertown School District",="Black or African American",1,0.4
="West Hartford School District",="Black or African American",19,2.1
="West Haven School District",="Black or African American",25,4.2
="Weston School District",="Black or African American",2,0.8
="Westport School District",="Black or African American",4,0.7
="Wethersfield School District",="Black or African American",7,2.4
="Wilton School District",="Black or African American",2,0.5
="Windham School District",="Black or African American",3,0.8
="Windsor Locks School District",="Black or African American",4,2.1
="Windsor School District",="Black or African American",31,6.8
="Wolcott School District",="Black or African American",1,0.4
="Woodbridge School District",="Black or African American",1,1.1

