"Physical Fitness Tests: Students Reaching Health Standard, 2010-11"
"All Districts, Push Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2010-11"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Push Up",55.7
"Amistad Academy District","=""2790013""","All Grades","Push Up",61.3
"Andover School District","=""0010011""","All Grades","Push Up",86.3
"Ansonia School District","=""0020011""","All Grades","Push Up",66.8
"Area Cooperative Educational Services","=""2440014""","All Grades","Push Up",62.8
"Ashford School District","=""0030011""","All Grades","Push Up",83.9
"Avon School District","=""0040011""","All Grades","Push Up",81.8
"Barkhamsted School District","=""0050011""","All Grades","Push Up",57.9
"Berlin School District","=""0070011""","All Grades","Push Up",84.2
"Bethany School District","=""0080011""","All Grades","Push Up",59.1
"Bethel School District","=""0090011""","All Grades","Push Up",70.3
"Bloomfield School District","=""0110011""","All Grades","Push Up",70.3
"Bolton School District","=""0120011""","All Grades","Push Up",77.0
"Bozrah School District","=""0130011""","All Grades","Push Up",85.7
"Branford School District","=""0140011""","All Grades","Push Up",75.2
"Bridgeport Achievement First District","=""2850013""","All Grades","Push Up",58.8
"Bridgeport School District","=""0150011""","All Grades","Push Up",68.1
"Bristol School District","=""0170011""","All Grades","Push Up",79.5
"Brookfield School District","=""0180011""","All Grades","Push Up",77.4
"Brooklyn School District","=""0190011""","All Grades","Push Up",58.6
"Canaan School District","=""0210011""","All Grades","Push Up",92.0
"Canterbury School District","=""0220011""","All Grades","Push Up",68.8
"Canton School District","=""0230011""","All Grades","Push Up",95.6
"Capitol Region Education Council","=""2410014""","All Grades","Push Up",64.7
"Chaplin School District","=""0240011""","All Grades","Push Up",66.7
"Cheshire School District","=""0250011""","All Grades","Push Up",83.7
"Chester School District","=""0260011""","All Grades","Push Up",65.5
"Clinton School District","=""0270011""","All Grades","Push Up",63.2
"Colchester School District","=""0280011""","All Grades","Push Up",63.8
"Colebrook School District","=""0290011""","All Grades","Push Up",76.9
"Columbia School District","=""0300011""","All Grades","Push Up",89.5
"Connecticut Technical High School System","=""9000016""","All Grades","Push Up",73.2
"Cooperative Educational Services","=""2430014""","All Grades","Push Up",86.8
"Cornwall School District","=""0310011""","All Grades","Push Up",85.4
"Coventry School District","=""0320011""","All Grades","Push Up",74.1
"Cromwell School District","=""0330011""","All Grades","Push Up",79.7
"Danbury School District","=""0340011""","All Grades","Push Up",64.5
"Darien School District","=""0350011""","All Grades","Push Up",90.3
"Deep River School District","=""0360011""","All Grades","Push Up",85.9
"Derby School District","=""0370011""","All Grades","Push Up",57.9
"East Granby School District","=""0400011""","All Grades","Push Up",83.5
"East Haddam School District","=""0410011""","All Grades","Push Up",45.7
"East Hampton School District","=""0420011""","All Grades","Push Up",71.2
"East Hartford School District","=""0430011""","All Grades","Push Up",75.9
"East Haven School District","=""0440011""","All Grades","Push Up",65.1
