"Physical Fitness Tests: Students Reaching Health Standard, 2009-10"
"All Districts, Curl Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2009-10"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Curl Up",77.1
"Amistad Academy District","=""2790013""","All Grades","Curl Up",52.6
"Andover School District","=""0010011""","All Grades","Curl Up",65.9
"Ansonia School District","=""0020011""","All Grades","Curl Up",85.2
"Area Cooperative Educational Services","=""2440014""","All Grades","Curl Up",77.5
"Ashford School District","=""0030011""","All Grades","Curl Up",92.8
"Avon School District","=""0040011""","All Grades","Curl Up",79.0
"Barkhamsted School District","=""0050011""","All Grades","Curl Up",93.8
"Berlin School District","=""0070011""","All Grades","Curl Up",89.6
"Bethany School District","=""0080011""","All Grades","Curl Up",79.3
"Bethel School District","=""0090011""","All Grades","Curl Up",82.2
"Bloomfield School District","=""0110011""","All Grades","Curl Up",66.4
"Bolton School District","=""0120011""","All Grades","Curl Up",91.2
"Bozrah School District","=""0130011""","All Grades","Curl Up",94.9
"Branford School District","=""0140011""","All Grades","Curl Up",79.6
"Bridgeport Achievement First District","=""2850013""","All Grades","Curl Up",56.5
"Bridgeport School District","=""0150011""","All Grades","Curl Up",75.6
"Bristol School District","=""0170011""","All Grades","Curl Up",85.5
"Brookfield School District","=""0180011""","All Grades","Curl Up",88.5
"Brooklyn School District","=""0190011""","All Grades","Curl Up",68.6
"Canaan School District","=""0210011""","All Grades","Curl Up",93.9
"Canterbury School District","=""0220011""","All Grades","Curl Up",69.6
"Canton School District","=""0230011""","All Grades","Curl Up",95.5
"Capitol Region Education Council","=""2410014""","All Grades","Curl Up",74.4
"Chaplin School District","=""0240011""","All Grades","Curl Up",97.2
"Cheshire School District","=""0250011""","All Grades","Curl Up",90.9
"Chester School District","=""0260011""","All Grades","Curl Up",86.5
"Clinton School District","=""0270011""","All Grades","Curl Up",88.4
"Colchester School District","=""0280011""","All Grades","Curl Up",83.0
"Colebrook School District","=""0290011""","All Grades","Curl Up",97.1
"Columbia School District","=""0300011""","All Grades","Curl Up",89.2
"Common Ground High School District","=""2680013""","All Grades","Curl Up",63.3
"Connecticut Technical High School System","=""9000016""","All Grades","Curl Up",90.4
"Cooperative Educational Services","=""2430014""","All Grades","Curl Up",63.7
"Cornwall School District","=""0310011""","All Grades","Curl Up",97.3
"Coventry School District","=""0320011""","All Grades","Curl Up",87.6
"Cromwell School District","=""0330011""","All Grades","Curl Up",93.1
"Danbury School District","=""0340011""","All Grades","Curl Up",79.9
"Darien School District","=""0350011""","All Grades","Curl Up",93.3
"Deep River School District","=""0360011""","All Grades","Curl Up",92.4
"Derby School District","=""0370011""","All Grades","Curl Up",81.0
"East Granby School District","=""0400011""","All Grades","Curl Up",90.7
"East Haddam School District","=""0410011""","All Grades","Curl Up",75.3
"East Hampton School District","=""0420011""","All Grades","Curl Up",70.8
"East Hartford School District","=""0430011""","All Grades","Curl Up",77.7
"East Haven School District","=""0440011""","All Grades","Curl Up",83.9
"East Lyme School District","=""0450011""","All Grades","Curl Up",89.5
"East Windsor School District","=""0470011""","All Grades","Curl Up",85.1
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Curl Up",74.6
"Eastford School District","=""0390011""","All Grades","Curl Up",89.6
"Easton School District","=""0460011""","All Grades","Curl Up",93.4
"Ellington School District","=""0480011""","All Grades","Curl Up",77.1
"Elm City College Preparatory School District","=""2890013""","All Grades","Curl Up",59.1
"Enfield School District","=""0490011""","All Grades","Curl Up",88.8
"Essex School District","=""0500011""","All Grades","Curl Up",94.3
"Explorations District","=""2720013""","All Grades","Curl Up","*"
"Fairfield School District","=""0510011""","All Grades","Curl Up",88.7
"Farmington School District","=""0520011""","All Grades","Curl Up",83.6
"Franklin School District","=""0530011""","All Grades","Curl Up",72.0
"Glastonbury School District","=""0540011""","All Grades","Curl Up",87.6
"Granby School District","=""0560011""","All Grades","Curl Up",83.4
"Greenwich School District","=""0570011""","All Grades","Curl Up",94.1
"Griswold School District","=""0580011""","All Grades","Curl Up",66.8
"Groton School District","=""0590011""","All Grades","Curl Up",81.0
"Guilford School District","=""0600011""","All Grades","Curl Up",94.3
"Hamden School District","=""0620011""","All Grades","Curl Up",81.9
"Hampton School District","=""0630011""","All Grades","Curl Up",95.1
"Hartford School District","=""0640011""","All Grades","Curl Up",72.1
"Hartland School District","=""0650011""","All Grades","Curl Up",96.6
"Hebron School District","=""0670011""","All Grades","Curl Up",82.3
"Highville Charter School District","=""2860013""","All Grades","Curl Up",95.6
"Integrated Day Charter School District","=""2640013""","All Grades","Curl Up",88.1
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Curl Up",27.5
"Jumoke Academy District","=""2610013""","All Grades","Curl Up",66.0
"Kent School District","=""0680011""","All Grades","Curl Up",73.1
"Killingly School District","=""0690011""","All Grades","Curl Up",83.1
"Learn","=""2450014""","All Grades","Curl Up",72.7
"Lebanon School District","=""0710011""","All Grades","Curl Up",86.0
"Ledyard School District","=""0720011""","All Grades","Curl Up",75.5
"Lisbon School District","=""0730011""","All Grades","Curl Up",82.1
"Litchfield School District","=""0740011""","All Grades","Curl Up",95.0
"Madison School District","=""0760011""","All Grades","Curl Up",90.9
"Manchester School District","=""0770011""","All Grades","Curl Up",77.3
"Mansfield School District","=""0780011""","All Grades","Curl Up",94.6
"Marlborough School District","=""0790011""","All Grades","Curl Up",82.8
"Meriden School District","=""0800011""","All Grades","Curl Up",73.3
"Middletown School District","=""0830011""","All Grades","Curl Up",73.3
"Milford School District","=""0840011""","All Grades","Curl Up",90.0
"Monroe School District","=""0850011""","All Grades","Curl Up",87.8
"Montville School District","=""0860011""","All Grades","Curl Up",74.2
"Naugatuck School District","=""0880011""","All Grades","Curl Up",77.7
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","Curl Up","*"
"New Britain School District","=""0890011""","All Grades","Curl Up",56.9
"New Canaan School District","=""0900011""","All Grades","Curl Up",97.3
"New Fairfield School District","=""0910011""","All Grades","Curl Up",95.7
"New Hartford School District","=""0920011""","All Grades","Curl Up",87.4
"New Haven School District","=""0930011""","All Grades","Curl Up",71.7
"New London School District","=""0950011""","All Grades","Curl Up",78.1
"New Milford School District","=""0960011""","All Grades","Curl Up",85.1
"Newington School District","=""0940011""","All Grades","Curl Up",84.7
