"Physical Fitness Tests: Students Reaching Health Standard, 2009-10"
"All Districts, Push Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2009-10"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Push Up",65.1
"Amistad Academy District","=""2790013""","All Grades","Push Up",62.9
"Andover School District","=""0010011""","All Grades","Push Up",88.6
"Ansonia School District","=""0020011""","All Grades","Push Up",68.1
"Area Cooperative Educational Services","=""2440014""","All Grades","Push Up",61.4
"Ashford School District","=""0030011""","All Grades","Push Up",81.0
"Avon School District","=""0040011""","All Grades","Push Up",71.6
"Barkhamsted School District","=""0050011""","All Grades","Push Up",79.2
"Berlin School District","=""0070011""","All Grades","Push Up",83.8
"Bethany School District","=""0080011""","All Grades","Push Up",70.4
"Bethel School District","=""0090011""","All Grades","Push Up",70.1
"Bloomfield School District","=""0110011""","All Grades","Push Up",59.1
"Bolton School District","=""0120011""","All Grades","Push Up",79.6
"Bozrah School District","=""0130011""","All Grades","Push Up",81.0
"Branford School District","=""0140011""","All Grades","Push Up",72.5
"Bridgeport Achievement First District","=""2850013""","All Grades","Push Up",43.5
"Bridgeport School District","=""0150011""","All Grades","Push Up",67.5
"Bristol School District","=""0170011""","All Grades","Push Up",82.7
"Brookfield School District","=""0180011""","All Grades","Push Up",77.2
"Brooklyn School District","=""0190011""","All Grades","Push Up",62.7
"Canaan School District","=""0210011""","All Grades","Push Up",97.0
"Canterbury School District","=""0220011""","All Grades","Push Up",64.2
"Canton School District","=""0230011""","All Grades","Push Up",91.7
"Capitol Region Education Council","=""2410014""","All Grades","Push Up",62.7
"Chaplin School District","=""0240011""","All Grades","Push Up",77.8
"Cheshire School District","=""0250011""","All Grades","Push Up",81.2
"Chester School District","=""0260011""","All Grades","Push Up",77.1
"Clinton School District","=""0270011""","All Grades","Push Up",58.4
"Colchester School District","=""0280011""","All Grades","Push Up",68.3
"Colebrook School District","=""0290011""","All Grades","Push Up",80.0
"Columbia School District","=""0300011""","All Grades","Push Up",92.8
"Common Ground High School District","=""2680013""","All Grades","Push Up",40.0
"Connecticut Technical High School System","=""9000016""","All Grades","Push Up",70.1
"Cooperative Educational Services","=""2430014""","All Grades","Push Up",75.5
"Cornwall School District","=""0310011""","All Grades","Push Up",91.9
"Coventry School District","=""0320011""","All Grades","Push Up",72.9
"Cromwell School District","=""0330011""","All Grades","Push Up",82.8
"Danbury School District","=""0340011""","All Grades","Push Up",68.7
"Darien School District","=""0350011""","All Grades","Push Up",86.4
"Deep River School District","=""0360011""","All Grades","Push Up",82.9
"Derby School District","=""0370011""","All Grades","Push Up",64.8
"East Granby School District","=""0400011""","All Grades","Push Up",83.8
"East Haddam School District","=""0410011""","All Grades","Push Up",48.6
"East Hampton School District","=""0420011""","All Grades","Push Up",70.0
"East Hartford School District","=""0430011""","All Grades","Push Up",73.0
"East Haven School District","=""0440011""","All Grades","Push Up",73.9
"East Lyme School District","=""0450011""","All Grades","Push Up",83.9
"East Windsor School District","=""0470011""","All Grades","Push Up",60.7
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Push Up",67.6
"Eastford School District","=""0390011""","All Grades","Push Up",77.1
"Easton School District","=""0460011""","All Grades","Push Up",84.3
"Ellington School District","=""0480011""","All Grades","Push Up",71.5
"Elm City College Preparatory School District","=""2890013""","All Grades","Push Up",57.2
"Enfield School District","=""0490011""","All Grades","Push Up",75.0
"Essex School District","=""0500011""","All Grades","Push Up",74.2
"Explorations District","=""2720013""","All Grades","Push Up","*"
"Fairfield School District","=""0510011""","All Grades","Push Up",79.4
"Farmington School District","=""0520011""","All Grades","Push Up",72.2
"Franklin School District","=""0530011""","All Grades","Push Up",66.7
"Glastonbury School District","=""0540011""","All Grades","Push Up",76.5
"Granby School District","=""0560011""","All Grades","Push Up",78.1
"Greenwich School District","=""0570011""","All Grades","Push Up",80.8
"Griswold School District","=""0580011""","All Grades","Push Up",76.8
"Groton School District","=""0590011""","All Grades","Push Up",73.6
"Guilford School District","=""0600011""","All Grades","Push Up",87.3
"Hamden School District","=""0620011""","All Grades","Push Up",76.4
"Hampton School District","=""0630011""","All Grades","Push Up",85.4
"Hartford School District","=""0640011""","All Grades","Push Up",59.5
"Hartland School District","=""0650011""","All Grades","Push Up",83.1
"Hebron School District","=""0670011""","All Grades","Push Up",84.6
