"Physical Fitness Tests: Students Reaching Health Standard, 2010-11"
"All Districts, Curl Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2010-11"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Curl Up",65.7
"Amistad Academy District","=""2790013""","All Grades","Curl Up",64.3
"Andover School District","=""0010011""","All Grades","Curl Up",88.8
"Ansonia School District","=""0020011""","All Grades","Curl Up",83.0
"Area Cooperative Educational Services","=""2440014""","All Grades","Curl Up",86.8
"Ashford School District","=""0030011""","All Grades","Curl Up",95.5
"Avon School District","=""0040011""","All Grades","Curl Up",87.8
"Barkhamsted School District","=""0050011""","All Grades","Curl Up",72.6
"Berlin School District","=""0070011""","All Grades","Curl Up",80.5
"Bethany School District","=""0080011""","All Grades","Curl Up",59.1
"Bethel School District","=""0090011""","All Grades","Curl Up",82.0
"Bloomfield School District","=""0110011""","All Grades","Curl Up",84.4
"Bolton School District","=""0120011""","All Grades","Curl Up",92.7
"Bozrah School District","=""0130011""","All Grades","Curl Up",94.8
"Branford School District","=""0140011""","All Grades","Curl Up",77.6
"Bridgeport Achievement First District","=""2850013""","All Grades","Curl Up",83.8
"Bridgeport School District","=""0150011""","All Grades","Curl Up",82.5
"Bristol School District","=""0170011""","All Grades","Curl Up",85.9
"Brookfield School District","=""0180011""","All Grades","Curl Up",90.6
"Brooklyn School District","=""0190011""","All Grades","Curl Up",70.4
"Canaan School District","=""0210011""","All Grades","Curl Up",100.0
"Canterbury School District","=""0220011""","All Grades","Curl Up",73.5
"Canton School District","=""0230011""","All Grades","Curl Up",97.4
"Capitol Region Education Council","=""2410014""","All Grades","Curl Up",75.4
"Chaplin School District","=""0240011""","All Grades","Curl Up",64.7
"Cheshire School District","=""0250011""","All Grades","Curl Up",88.4
"Chester School District","=""0260011""","All Grades","Curl Up",65.5
"Clinton School District","=""0270011""","All Grades","Curl Up",82.3
"Colchester School District","=""0280011""","All Grades","Curl Up",79.9
"Colebrook School District","=""0290011""","All Grades","Curl Up",71.8
"Columbia School District","=""0300011""","All Grades","Curl Up",95.7
"Connecticut Technical High School System","=""9000016""","All Grades","Curl Up",91.0
"Cooperative Educational Services","=""2430014""","All Grades","Curl Up",93.4
"Cornwall School District","=""0310011""","All Grades","Curl Up",87.8
"Coventry School District","=""0320011""","All Grades","Curl Up",91.4
"Cromwell School District","=""0330011""","All Grades","Curl Up",88.1
"Danbury School District","=""0340011""","All Grades","Curl Up",80.2
"Darien School District","=""0350011""","All Grades","Curl Up",93.9
"Deep River School District","=""0360011""","All Grades","Curl Up",90.9
"Derby School District","=""0370011""","All Grades","Curl Up",65.6
"East Granby School District","=""0400011""","All Grades","Curl Up",87.9
"East Haddam School District","=""0410011""","All Grades","Curl Up",72.2
"East Hampton School District","=""0420011""","All Grades","Curl Up",83.6
"East Hartford School District","=""0430011""","All Grades","Curl Up",84.8
