"Physical Fitness Tests: Students Reaching Health Standard, 2009-10"
"All Districts, Mile Run"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2009-10"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Mile Run",43.4
"Amistad Academy District","=""2790013""","All Grades","Mile Run",54.6
"Andover School District","=""0010011""","All Grades","Mile Run",89.8
"Ansonia School District","=""0020011""","All Grades","Mile Run",64.4
"Area Cooperative Educational Services","=""2440014""","All Grades","Mile Run",75.8
"Ashford School District","=""0030011""","All Grades","Mile Run",69.3
"Avon School District","=""0040011""","All Grades","Mile Run",86.2
"Barkhamsted School District","=""0050011""","All Grades","Mile Run",58.3
"Berlin School District","=""0070011""","All Grades","Mile Run",82.5
"Bethany School District","=""0080011""","All Grades","Mile Run",65.2
"Bethel School District","=""0090011""","All Grades","Mile Run",78.9
"Bloomfield School District","=""0110011""","All Grades","Mile Run",70.9
"Bolton School District","=""0120011""","All Grades","Mile Run",76.8
"Bozrah School District","=""0130011""","All Grades","Mile Run",78.5
"Branford School District","=""0140011""","All Grades","Mile Run",63.6
"Bridgeport Achievement First District","=""2850013""","All Grades","Mile Run",29.0
"Bridgeport School District","=""0150011""","All Grades","Mile Run",67.4
"Bristol School District","=""0170011""","All Grades","Mile Run",72.4
"Brookfield School District","=""0180011""","All Grades","Mile Run",75.8
"Brooklyn School District","=""0190011""","All Grades","Mile Run",64.9
"Canaan School District","=""0210011""","All Grades","Mile Run",81.8
"Canterbury School District","=""0220011""","All Grades","Mile Run",78.4
"Canton School District","=""0230011""","All Grades","Mile Run",83.4
"Capitol Region Education Council","=""2410014""","All Grades","Mile Run",53.7
"Chaplin School District","=""0240011""","All Grades","Mile Run",63.9
"Cheshire School District","=""0250011""","All Grades","Mile Run",80.0
"Chester School District","=""0260011""","All Grades","Mile Run",59.4
"Clinton School District","=""0270011""","All Grades","Mile Run",54.8
"Colchester School District","=""0280011""","All Grades","Mile Run",83.7
"Colebrook School District","=""0290011""","All Grades","Mile Run",88.6
"Columbia School District","=""0300011""","All Grades","Mile Run",79.4
"Common Ground High School District","=""2680013""","All Grades","Mile Run","*"
"Connecticut Technical High School System","=""9000016""","All Grades","Mile Run",43.1
"Cooperative Educational Services","=""2430014""","All Grades","Mile Run",55.9
"Cornwall School District","=""0310011""","All Grades","Mile Run",94.6
"Coventry School District","=""0320011""","All Grades","Mile Run",72.5
"Cromwell School District","=""0330011""","All Grades","Mile Run",69.1
"Danbury School District","=""0340011""","All Grades","Mile Run",58.1
"Darien School District","=""0350011""","All Grades","Mile Run",88.9
"Deep River School District","=""0360011""","All Grades","Mile Run",83.8
"Derby School District","=""0370011""","All Grades","Mile Run",62.4
"East Granby School District","=""0400011""","All Grades","Mile Run",70.3
"East Haddam School District","=""0410011""","All Grades","Mile Run",69.8
"East Hampton School District","=""0420011""","All Grades","Mile Run",75.1
"East Hartford School District","=""0430011""","All Grades","Mile Run",62.2
"East Haven School District","=""0440011""","All Grades","Mile Run",59.3
"East Lyme School District","=""0450011""","All Grades","Mile Run",78.1
"East Windsor School District","=""0470011""","All Grades","Mile Run",70.0
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Mile Run",28.2
"Eastford School District","=""0390011""","All Grades","Mile Run",81.3
"Easton School District","=""0460011""","All Grades","Mile Run",83.0
"Ellington School District","=""0480011""","All Grades","Mile Run",82.5
"Elm City College Preparatory School District","=""2890013""","All Grades","Mile Run",69.2
"Enfield School District","=""0490011""","All Grades","Mile Run",71.1
"Essex School District","=""0500011""","All Grades","Mile Run",75.5
"Explorations District","=""2720013""","All Grades","Mile Run","*"
"Fairfield School District","=""0510011""","All Grades","Mile Run",85.1
"Farmington School District","=""0520011""","All Grades","Mile Run",78.2
"Franklin School District","=""0530011""","All Grades","Mile Run",68.0
"Glastonbury School District","=""0540011""","All Grades","Mile Run",82.1
"Granby School District","=""0560011""","All Grades","Mile Run",85.1
"Greenwich School District","=""0570011""","All Grades","Mile Run",91.7
"Griswold School District","=""0580011""","All Grades","Mile Run",66.1
"Groton School District","=""0590011""","All Grades","Mile Run",61.6
"Guilford School District","=""0600011""","All Grades","Mile Run",84.4
"Hamden School District","=""0620011""","All Grades","Mile Run",67.1
"Hampton School District","=""0630011""","All Grades","Mile Run",78.0
"Hartford School District","=""0640011""","All Grades","Mile Run",58.4
"Hartland School District","=""0650011""","All Grades","Mile Run",89.8
"Hebron School District","=""0670011""","All Grades","Mile Run",62.9
"Highville Charter School District","=""2860013""","All Grades","Mile Run",83.8
"Integrated Day Charter School District","=""2640013""","All Grades","Mile Run",87.1
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Mile Run",60.8
"Jumoke Academy District","=""2610013""","All Grades","Mile Run",44.3
"Kent School District","=""0680011""","All Grades","Mile Run",71.8
"Killingly School District","=""0690011""","All Grades","Mile Run",56.8
"Learn","=""2450014""","All Grades","Mile Run",70.5
"Lebanon School District","=""0710011""","All Grades","Mile Run",71.9
"Ledyard School District","=""0720011""","All Grades","Mile Run",67.7
"Lisbon School District","=""0730011""","All Grades","Mile Run",75.3
"Litchfield School District","=""0740011""","All Grades","Mile Run",90.1
"Madison School District","=""0760011""","All Grades","Mile Run",83.7
"Manchester School District","=""0770011""","All Grades","Mile Run",71.7
"Mansfield School District","=""0780011""","All Grades","Mile Run",79.2
"Marlborough School District","=""0790011""","All Grades","Mile Run",81.1
"Meriden School District","=""0800011""","All Grades","Mile Run",55.9
"Middletown School District","=""0830011""","All Grades","Mile Run",64.3
"Milford School District","=""0840011""","All Grades","Mile Run",58.6
"Monroe School District","=""0850011""","All Grades","Mile Run",74.0
"Montville School District","=""0860011""","All Grades","Mile Run",57.5
"Naugatuck School District","=""0880011""","All Grades","Mile Run",59.7
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","Mile Run",77.5
"New Britain School District","=""0890011""","All Grades","Mile Run",58.8
"New Canaan School District","=""0900011""","All Grades","Mile Run",88.8
"New Fairfield School District","=""0910011""","All Grades","Mile Run",78.8
"New Hartford School District","=""0920011""","All Grades","Mile Run",98.3
"New Haven School District","=""0930011""","All Grades","Mile Run",55.3
"New London School District","=""0950011""","All Grades","Mile Run",62.5
"New Milford School District","=""0960011""","All Grades","Mile Run",70.1
"Newington School District","=""0940011""","All Grades","Mile Run",78.5
"Newtown School District","=""0970011""","All Grades","Mile Run",82.1
"Norfolk School District","=""0980011""","All Grades","Mile Run",65.6
"North Branford School District","=""0990011""","All Grades","Mile Run",59.7
"North Canaan School District","=""1000011""","All Grades","Mile Run",52.7
"North Haven School District","=""1010011""","All Grades","Mile Run",74.6
"North Stonington School District","=""1020011""","All Grades","Mile Run",66.4
"Norwalk School District","=""1030011""","All Grades","Mile Run",68.2
"Norwich Free Academy District","=""9010022""","All Grades","Mile Run",52.5
"Norwich School District","=""1040011""","All Grades","Mile Run",60.1
"Odyssey Community School District","=""2630013""","All Grades","Mile Run",38.2
"Old Saybrook School District","=""1060011""","All Grades","Mile Run",82.1
"Orange School District","=""1070011""","All Grades","Mile Run",82.8
"Oxford School District","=""1080011""","All Grades","Mile Run",79.8
"Park City Prep Charter School District","=""2830013""","All Grades","Mile Run",54.1
"Plainfield School District","=""1090011""","All Grades","Mile Run",71.4
"Plainville School District","=""1100011""","All Grades","Mile Run",71.5
"Plymouth School District","=""1110011""","All Grades","Mile Run",76.1
"Pomfret School District","=""1120011""","All Grades","Mile Run",77.2
"Portland School District","=""1130011""","All Grades","Mile Run",50.8
"Preston School District","=""1140011""","All Grades","Mile Run",70.1
"Putnam School District","=""1160011""","All Grades","Mile Run",63.4
"Redding School District","=""1170011""","All Grades","Mile Run",88.6
"Regional School District 01","=""2010012""","All Grades","Mile Run",85.9
"Regional School District 04","=""2040012""","All Grades","Mile Run",77.2
"Regional School District 05","=""2050012""","All Grades","Mile Run",79.5
"Regional School District 06","=""2060012""","All Grades","Mile Run",72.6
"Regional School District 07","=""2070012""","All Grades","Mile Run",72.0
"Regional School District 08","=""2080012""","All Grades","Mile Run",87.8
"Regional School District 10","=""2100012""","All Grades","Mile Run",73.1
"Regional School District 11","=""2110012""","All Grades","Mile Run",63.3
"Regional School District 12","=""2120012""","All Grades","Mile Run",82.2
"Regional School District 13","=""2130012""","All Grades","Mile Run",83.1
"Regional School District 14","=""2140012""","All Grades","Mile Run",65.8
"Regional School District 15","=""2150012""","All Grades","Mile Run",79.9
"Regional School District 16","=""2160012""","All Grades","Mile Run",79.5
"Regional School District 17","=""2170012""","All Grades","Mile Run",78.8
"Regional School District 18","=""2180012""","All Grades","Mile Run",82.9
"Regional School District 19","=""2190012""","All Grades","Mile Run",64.6
"Ridgefield School District","=""1180011""","All Grades","Mile Run",83.5
"Rocky Hill School District","=""1190011""","All Grades","Mile Run",74.1
"Salem School District","=""1210011""","All Grades","Mile Run",77.9
