"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts, Curl Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)",,,,
"District","District Code","Grade","Test","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Curl Up",58.5,70.3,66.3,70.0,56.4
"Amistad Academy District","=""2790013""","All Grades","Curl Up",56.4,57.4,45.7,53.2,44.9
"Andover School District","=""0010011""","All Grades","Curl Up",66.3,80.8,71.6,81.7,84.9
"Ansonia School District","=""0020011""","All Grades","Curl Up",76.2,81.4,79.3,74.4,82.1
"Area Cooperative Educational Services","=""2440014""","All Grades","Curl Up",83.3,75.5,81.8,71.6,73.3
"Ashford School District","=""0030011""","All Grades","Curl Up",81.2,83.4,68.4,84.3,81.7
"Avon School District","=""0040011""","All Grades","Curl Up",88.4,86.2,87.0,89.8,85.4
"Barkhamsted School District","=""0050011""","All Grades","Curl Up",90.6,100.0,89.9,80.6,88.4
"Berlin School District","=""0070011""","All Grades","Curl Up",91.6,90.1,93.5,92.4,88.5
"Bethany School District","=""0080011""","All Grades","Curl Up",82.5,67.9,40.7,64.2,92.0
"Bethel School District","=""0090011""","All Grades","Curl Up",88.0,85.7,80.1,74.6,83.6
"Bloomfield School District","=""0110011""","All Grades","Curl Up",87.2,83.1,80.9,80.5,75.9
"Bolton School District","=""0120011""","All Grades","Curl Up",90.1,90.0,91.5,90.8,91.0
"Bozrah School District","=""0130011""","All Grades","Curl Up",97.0,97.0,90.4,100.0,88.5
"Branford School District","=""0140011""","All Grades","Curl Up",79.5,84.7,80.5,83.8,88.7
"Bridgeport Achievement First District","=""2850013""","All Grades","Curl Up",75.7,30.1,62.1,76.2,66.6
"Bridgeport School District","=""0150011""","All Grades","Curl Up",81.9,80.4,82.6,75.8,77.4
"Bristol School District","=""0170011""","All Grades","Curl Up",86.7,88.6,86.9,90.8,90.1
"Brookfield School District","=""0180011""","All Grades","Curl Up",85.2,84.4,79.4,84.1,85.9
"Brooklyn School District","=""0190011""","All Grades","Curl Up",67.9,60.6,68.3,66.9,71.5
"Canaan School District","=""0210011""","All Grades","Curl Up",83.3,91.3,60.7,85.2,80.8
"Canterbury School District","=""0220011""","All Grades","Curl Up",75.5,69.1,74.8,76.4,80.6
"Canton School District","=""0230011""","All Grades","Curl Up",86.5,94.0,93.7,89.9,94.9
"Capitol Region Education Council","=""2410014""","All Grades","Curl Up",77.0,79.2,80.4,79.3,81.1
"Chaplin School District","=""0240011""","All Grades","Curl Up",63.0,63.2,65.1,95.1,97.1
"Cheshire School District","=""0250011""","All Grades","Curl Up",92.7,93.1,92.0,92.8,90.7
"Chester School District","=""0260011""","All Grades","Curl Up",87.5,79.7,73.6,69.7,67.6
"Clinton School District","=""0270011""","All Grades","Curl Up",95.9,94.4,94.7,96.2,91.3
"Colchester School District","=""0280011""","All Grades","Curl Up",83.6,76.3,82.6,80.2,86.8
"Colebrook School District","=""0290011""","All Grades","Curl Up",100.0,86.1,92.0,96.3,96.0
"Columbia School District","=""0300011""","All Grades","Curl Up",92.1,95.8,94.3,93.7,90.9
"Common Ground High School District","=""2680013""","All Grades","Curl Up",30.0,71.4,69.4,80.4,67.3
"Connecticut Technical High School System","=""9000016""","All Grades","Curl Up",89.4,89.9,87.1,86.8,88.7
"Cooperative Educational Services","=""2430014""","All Grades","Curl Up",86.8,85.5,89.7,87.1,65.3
"Cornwall School District","=""0310011""","All Grades","Curl Up",90.5,97.1,83.3,97.2,81.5
"Coventry School District","=""0320011""","All Grades","Curl Up",86.3,87.7,88.2,84.4,78.7
"Cromwell School District","=""0330011""","All Grades","Curl Up",87.4,87.6,94.3,91.1,83.2
"Danbury School District","=""0340011""","All Grades","Curl Up",75.3,74.3,69.1,75.9,69.3
"Darien School District","=""0350011""","All Grades","Curl Up",95.1,95.1,94.8,96.4,95.9
"Deep River School District","=""0360011""","All Grades","Curl Up",93.9,95.7,85.6,94.2,92.5
