"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts, Mile Run"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)",,,,
"District","District Code","Grade","Test","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Mile Run",44.9,70.3,62.1,71.4,57.0
"Amistad Academy District","=""2790013""","All Grades","Mile Run",64.7,64.8,59.3,33.3,74.3
"Andover School District","=""0010011""","All Grades","Mile Run",85.4,94.9,91.6,84.1,97.7
"Ansonia School District","=""0020011""","All Grades","Mile Run",70.2,59.7,63.9,66.9,66.6
"Area Cooperative Educational Services","=""2440014""","All Grades","Mile Run",61.8,60.5,59.0,58.7,70.5
"Ashford School District","=""0030011""","All Grades","Mile Run",64.7,73.5,68.4,69.3,70.6
"Avon School District","=""0040011""","All Grades","Mile Run",85.6,83.1,86.9,86.0,78.0
"Barkhamsted School District","=""0050011""","All Grades","Mile Run",64.7,63.9,67.1,67.6,71.6
"Berlin School District","=""0070011""","All Grades","Mile Run",77.2,81.3,80.2,84.5,78.8
"Bethany School District","=""0080011""","All Grades","Mile Run",88.8,87.8,66.4,58.5,76.1
"Bethel School District","=""0090011""","All Grades","Mile Run",76.4,73.6,70.6,70.6,73.3
"Bloomfield School District","=""0110011""","All Grades","Mile Run",74.3,53.5,55.3,66.2,70.5
"Bolton School District","=""0120011""","All Grades","Mile Run",89.4,87.4,83.9,87.9,87.1
"Bozrah School District","=""0130011""","All Grades","Mile Run",82.1,76.1,74.7,83.6,88.5
"Branford School District","=""0140011""","All Grades","Mile Run",63.3,70.3,70.4,62.4,66.9
"Bridgeport Achievement First District","=""2850013""","All Grades","Mile Run",42.9,42.5,51.1,54.9,69.7
"Bridgeport School District","=""0150011""","All Grades","Mile Run",68.8,65.4,65.0,58.4,61.8
"Bristol School District","=""0170011""","All Grades","Mile Run",79.1,85.4,83.8,84.1,83.0
"Brookfield School District","=""0180011""","All Grades","Mile Run",85.2,86.8,80.1,78.8,81.3
"Brooklyn School District","=""0190011""","All Grades","Mile Run",60.6,61.7,55.6,59.1,59.0
"Canaan School District","=""0210011""","All Grades","Mile Run",40.0,73.9,64.3,70.4,61.5
"Canterbury School District","=""0220011""","All Grades","Mile Run",77.9,78.9,78.3,68.4,70.9
"Canton School District","=""0230011""","All Grades","Mile Run",76.7,80.8,80.8,73.5,83.3
"Capitol Region Education Council","=""2410014""","All Grades","Mile Run",52.5,54.2,56.8,52.0,61.8
"Chaplin School District","=""0240011""","All Grades","Mile Run",100.0,100.0,100.0,51.2,64.7
"Cheshire School District","=""0250011""","All Grades","Mile Run",78.7,81.5,82.9,84.7,80.2
"Chester School District","=""0260011""","All Grades","Mile Run",70.8,69.6,75.0,71.2,84.5
"Clinton School District","=""0270011""","All Grades","Mile Run",73.9,77.0,80.4,79.0,76.6
"Colchester School District","=""0280011""","All Grades","Mile Run",76.3,83.2,75.7,70.0,79.2
"Colebrook School District","=""0290011""","All Grades","Mile Run",92.3,52.8,84.0,81.5,80.0
"Columbia School District","=""0300011""","All Grades","Mile Run",81.9,86.7,83.5,88.6,84.8
"Common Ground High School District","=""2680013""","All Grades","Mile Run","*","*","*",27.5,"*"
"Connecticut Technical High School System","=""9000016""","All Grades","Mile Run",46.9,45.4,46.6,44.9,48.7
