"Physical Fitness Tests: Students Reaching Health Standard, 2015-16"
"All Districts, Curl Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Curl Up",56.4
"Amistad Academy District","=""2790013""","All Grades","Curl Up",44.9
"Andover School District","=""0010011""","All Grades","Curl Up",84.9
"Ansonia School District","=""0020011""","All Grades","Curl Up",82.1
"Area Cooperative Educational Services","=""2440014""","All Grades","Curl Up",73.3
"Ashford School District","=""0030011""","All Grades","Curl Up",81.7
"Avon School District","=""0040011""","All Grades","Curl Up",85.4
"Barkhamsted School District","=""0050011""","All Grades","Curl Up",88.4
"Berlin School District","=""0070011""","All Grades","Curl Up",88.5
"Bethany School District","=""0080011""","All Grades","Curl Up",92.0
"Bethel School District","=""0090011""","All Grades","Curl Up",83.6
"Bloomfield School District","=""0110011""","All Grades","Curl Up",75.9
"Bolton School District","=""0120011""","All Grades","Curl Up",91.0
"Bozrah School District","=""0130011""","All Grades","Curl Up",88.5
"Branford School District","=""0140011""","All Grades","Curl Up",88.7
"Bridgeport Achievement First District","=""2850013""","All Grades","Curl Up",66.6
"Bridgeport School District","=""0150011""","All Grades","Curl Up",77.4
"Bristol School District","=""0170011""","All Grades","Curl Up",90.1
"Brookfield School District","=""0180011""","All Grades","Curl Up",85.9
"Brooklyn School District","=""0190011""","All Grades","Curl Up",71.5
"Canaan School District","=""0210011""","All Grades","Curl Up",80.8
"Canterbury School District","=""0220011""","All Grades","Curl Up",80.6
"Canton School District","=""0230011""","All Grades","Curl Up",94.9
"Capitol Region Education Council","=""2410014""","All Grades","Curl Up",81.1
"Chaplin School District","=""0240011""","All Grades","Curl Up",97.1
"Cheshire School District","=""0250011""","All Grades","Curl Up",90.7
"Chester School District","=""0260011""","All Grades","Curl Up",67.6
"Clinton School District","=""0270011""","All Grades","Curl Up",91.3
"Colchester School District","=""0280011""","All Grades","Curl Up",86.8
"Colebrook School District","=""0290011""","All Grades","Curl Up",96.0
"Columbia School District","=""0300011""","All Grades","Curl Up",90.9
"Common Ground High School District","=""2680013""","All Grades","Curl Up",67.3
"Connecticut Technical High School System","=""9000016""","All Grades","Curl Up",88.7
"Cooperative Educational Services","=""2430014""","All Grades","Curl Up",65.3
"Cornwall School District","=""0310011""","All Grades","Curl Up",81.5
"Coventry School District","=""0320011""","All Grades","Curl Up",78.7
"Cromwell School District","=""0330011""","All Grades","Curl Up",83.2
"Danbury School District","=""0340011""","All Grades","Curl Up",69.3
"Darien School District","=""0350011""","All Grades","Curl Up",95.9
"Deep River School District","=""0360011""","All Grades","Curl Up",92.5
"Derby School District","=""0370011""","All Grades","Curl Up",74.6
"East Granby School District","=""0400011""","All Grades","Curl Up",87.8
"East Haddam School District","=""0410011""","All Grades","Curl Up",87.5
"East Hampton School District","=""0420011""","All Grades","Curl Up",80.2
"East Hartford School District","=""0430011""","All Grades","Curl Up",73.0
"East Haven School District","=""0440011""","All Grades","Curl Up",90.4
"East Lyme School District","=""0450011""","All Grades","Curl Up",88.1
"East Windsor School District","=""0470011""","All Grades","Curl Up",74.3
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Curl Up",86.9
"Eastford School District","=""0390011""","All Grades","Curl Up",94.7
"Easton School District","=""0460011""","All Grades","Curl Up",89.4
"Ellington School District","=""0480011""","All Grades","Curl Up",83.7
"Elm City College Preparatory School District","=""2890013""","All Grades","Curl Up",72.2
"Enfield School District","=""0490011""","All Grades","Curl Up",91.0
"Essex School District","=""0500011""","All Grades","Curl Up",93.3
"Explorations District","=""2720013""","All Grades","Curl Up","*"
"Fairfield School District","=""0510011""","All Grades","Curl Up",90.0
"Farmington School District","=""0520011""","All Grades","Curl Up",86.0
"Franklin School District","=""0530011""","All Grades","Curl Up",90.2
"Glastonbury School District","=""0540011""","All Grades","Curl Up",85.0
"Granby School District","=""0560011""","All Grades","Curl Up",86.7
"Great Oaks Charter School District","=""2940013""","All Grades","Curl Up",79.6
"Greenwich School District","=""0570011""","All Grades","Curl Up",94.4
"Griswold School District","=""0580011""","All Grades","Curl Up",83.6
"Groton School District","=""0590011""","All Grades","Curl Up",80.3
"Guilford School District","=""0600011""","All Grades","Curl Up",94.4
"Hamden School District","=""0620011""","All Grades","Curl Up",73.1
"Hampton School District","=""0630011""","All Grades","Curl Up",100.0
"Hartford School District","=""0640011""","All Grades","Curl Up",75.5
"Hartland School District","=""0650011""","All Grades","Curl Up",100.0
"Hebron School District","=""0670011""","All Grades","Curl Up",71.0
"Highville Charter School District","=""2860013""","All Grades","Curl Up",76.6
"Integrated Day Charter School District","=""2640013""","All Grades","Curl Up",69.4
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Curl Up",78.2
"Jumoke Academy District","=""2610013""","All Grades","Curl Up",62.2
"Kent School District","=""0680011""","All Grades","Curl Up",81.3
"Killingly School District","=""0690011""","All Grades","Curl Up",79.3
"Learn","=""2450014""","All Grades","Curl Up",77.9
"Lebanon School District","=""0710011""","All Grades","Curl Up",89.5
"Ledyard School District","=""0720011""","All Grades","Curl Up",76.7
"Lisbon School District","=""0730011""","All Grades","Curl Up",90.8
"Litchfield School District","=""0740011""","All Grades","Curl Up",82.4
"Madison School District","=""0760011""","All Grades","Curl Up",88.9
"Manchester School District","=""0770011""","All Grades","Curl Up",79.2
"Mansfield School District","=""0780011""","All Grades","Curl Up",91.2
"Marlborough School District","=""0790011""","All Grades","Curl Up",84.7
"Meriden School District","=""0800011""","All Grades","Curl Up",77.8
"Middletown School District","=""0830011""","All Grades","Curl Up",81.2
"Milford School District","=""0840011""","All Grades","Curl Up",92.3
"Monroe School District","=""0850011""","All Grades","Curl Up",87.9
"Montville School District","=""0860011""","All Grades","Curl Up",81.2
"Naugatuck School District","=""0880011""","All Grades","Curl Up",83.0
"New Beginnings Inc Family Academy District","=""2800013""","All Grades","Curl Up",70.3
"New Britain School District","=""0890011""","All Grades","Curl Up",74.1
"New Canaan School District","=""0900011""","All Grades","Curl Up",93.5
"New Fairfield School District","=""0910011""","All Grades","Curl Up",88.9
"New Hartford School District","=""0920011""","All Grades","Curl Up",93.9
"New Haven School District","=""0930011""","All Grades","Curl Up",77.9
"New London School District","=""0950011""","All Grades","Curl Up",58.4
"New Milford School District","=""0960011""","All Grades","Curl Up",72.9
"Newington School District","=""0940011""","All Grades","Curl Up",84.7
"Newtown School District","=""0970011""","All Grades","Curl Up",95.4
"Norfolk School District","=""0980011""","All Grades","Curl Up",97.1
"North Branford School District","=""0990011""","All Grades","Curl Up",83.1
"North Canaan School District","=""1000011""","All Grades","Curl Up",83.6
"North Haven School District","=""1010011""","All Grades","Curl Up",79.1
"North Stonington School District","=""1020011""","All Grades","Curl Up",91.8
"Norwalk School District","=""1030011""","All Grades","Curl Up",84.3
"Norwich Free Academy District","=""9010022""","All Grades","Curl Up",82.1
"Norwich School District","=""1040011""","All Grades","Curl Up",82.5
"Odyssey Community School District","=""2630013""","All Grades","Curl Up",92.4
"Old Saybrook School District","=""1060011""","All Grades","Curl Up",88.9
"Orange School District","=""1070011""","All Grades","Curl Up",73.1
"Oxford School District","=""1080011""","All Grades","Curl Up",80.2
"Park City Prep Charter School District","=""2830013""","All Grades","Curl Up",83.8
"Plainfield School District","=""1090011""","All Grades","Curl Up",87.7
"Plainville School District","=""1100011""","All Grades","Curl Up",82.2
"Plymouth School District","=""1110011""","All Grades","Curl Up",85.7
"Pomfret School District","=""1120011""","All Grades","Curl Up",83.6
"Portland School District","=""1130011""","All Grades","Curl Up",79.8
"Preston School District","=""1140011""","All Grades","Curl Up",60.0
"Putnam School District","=""1160011""","All Grades","Curl Up",72.3
"Redding School District","=""1170011""","All Grades","Curl Up",93.1
"Regional School District 01","=""2010012""","All Grades","Curl Up",83.5
"Regional School District 04","=""2040012""","All Grades","Curl Up",91.6
"Regional School District 05","=""2050012""","All Grades","Curl Up",89.7
"Regional School District 06","=""2060012""","All Grades","Curl Up",92.4
"Regional School District 07","=""2070012""","All Grades","Curl Up",70.0
"Regional School District 08","=""2080012""","All Grades","Curl Up",95.8
"Regional School District 10","=""2100012""","All Grades","Curl Up",93.0
"Regional School District 11","=""2110012""","All Grades","Curl Up",88.2
"Regional School District 12","=""2120012""","All Grades","Curl Up",94.9
"Regional School District 13","=""2130012""","All Grades","Curl Up",89.6
"Regional School District 14","=""2140012""","All Grades","Curl Up",81.5
"Regional School District 15","=""2150012""","All Grades","Curl Up",87.0
"Regional School District 16","=""2160012""","All Grades","Curl Up",84.4
"Regional School District 17","=""2170012""","All Grades","Curl Up",93.3
"Regional School District 18","=""2180012""","All Grades","Curl Up",97.2
"Regional School District 19","=""2190012""","All Grades","Curl Up",83.6
"Ridgefield School District","=""1180011""","All Grades","Curl Up",94.4
"Rocky Hill School District","=""1190011""","All Grades","Curl Up",88.6
"Salem School District","=""1210011""","All Grades","Curl Up",83.0
"Salisbury School District","=""1220011""","All Grades","Curl Up",69.9
"Scotland School District","=""1230011""","All Grades","Curl Up",85.3
"Seymour School District","=""1240011""","All Grades","Curl Up",83.2
"Sharon School District","=""1250011""","All Grades","Curl Up",40.0
"Shelton School District","=""1260011""","All Grades","Curl Up",87.4
"Sherman School District","=""1270011""","All Grades","Curl Up",77.1
"Side By Side Charter School District","=""2700013""","All Grades","Curl Up",81.5
"Simsbury School District","=""1280011""","All Grades","Curl Up",79.0
"Somers School District","=""1290011""","All Grades","Curl Up",80.3
"South Windsor School District","=""1320011""","All Grades","Curl Up",86.9
"Southington School District","=""1310011""","All Grades","Curl Up",85.3
"Sprague School District","=""1330011""","All Grades","Curl Up",70.9
"Stafford School District","=""1340011""","All Grades","Curl Up",79.7
"Stamford Academy District","=""2820013""","All Grades","Curl Up",51.6
"Stamford School District","=""1350011""","All Grades","Curl Up",78.5
"Sterling School District","=""1360011""","All Grades","Curl Up",97.0
"Stonington School District","=""1370011""","All Grades","Curl Up",93.3
"Stratford School District","=""1380011""","All Grades","Curl Up",85.3
"Suffield School District","=""1390011""","All Grades","Curl Up",80.4
"The Bridge Academy District","=""2690013""","All Grades","Curl Up",86.0
"The Gilbert School District","=""9020022""","All Grades","Curl Up",81.4
"Thomaston School District","=""1400011""","All Grades","Curl Up",81.8
"Thompson School District","=""1410011""","All Grades","Curl Up",82.3
"Tolland School District","=""1420011""","All Grades","Curl Up",94.1
"Torrington School District","=""1430011""","All Grades","Curl Up",72.6
"Trailblazers Academy District","=""2780013""","All Grades","Curl Up",88.5
"Trumbull School District","=""1440011""","All Grades","Curl Up",88.3
"Union School District","=""1450011""","All Grades","Curl Up",100.0
"Vernon School District","=""1460011""","All Grades","Curl Up",83.9
"Voluntown School District","=""1470011""","All Grades","Curl Up",92.9
"Wallingford School District","=""1480011""","All Grades","Curl Up",87.4
"Waterbury School District","=""1510011""","All Grades","Curl Up",79.4
"Waterford School District","=""1520011""","All Grades","Curl Up",76.0
"Watertown School District","=""1530011""","All Grades","Curl Up",85.7
"West Hartford School District","=""1550011""","All Grades","Curl Up",86.7
"West Haven School District","=""1560011""","All Grades","Curl Up",67.6
"Westbrook School District","=""1540011""","All Grades","Curl Up",88.8
"Weston School District","=""1570011""","All Grades","Curl Up",89.1
"Westport School District","=""1580011""","All Grades","Curl Up",86.4
"Wethersfield School District","=""1590011""","All Grades","Curl Up",78.4
"Willington School District","=""1600011""","All Grades","Curl Up",81.2
"Wilton School District","=""1610011""","All Grades","Curl Up",96.0
"Winchester School District","=""1620011""","All Grades","Curl Up",89.8
"Windham School District","=""1630011""","All Grades","Curl Up",81.8
"Windsor Locks School District","=""1650011""","All Grades","Curl Up",87.6
"Windsor School District","=""1640011""","All Grades","Curl Up",75.1
"Wolcott School District","=""1660011""","All Grades","Curl Up",88.2
"Woodbridge School District","=""1670011""","All Grades","Curl Up",87.5
"Woodstock Academy District","=""9030022""","All Grades","Curl Up",97.0
"Woodstock School District","=""1690011""","All Grades","Curl Up",86.1

