"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts, Sit and Reach"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)",,,,
"District","District Code","Grade","Test","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Sit and Reach",64.3,76.9,78.9,80.6,70.1
"Amistad Academy District","=""2790013""","All Grades","Sit and Reach",52.9,53.0,61.1,80.9,65.8
"Andover School District","=""0010011""","All Grades","Sit and Reach",86.5,91.0,93.7,93.9,96.5
"Ansonia School District","=""0020011""","All Grades","Sit and Reach",84.4,83.9,83.5,77.6,85.7
"Area Cooperative Educational Services","=""2440014""","All Grades","Sit and Reach",80.7,77.5,79.7,77.0,73.7
"Ashford School District","=""0030011""","All Grades","Sit and Reach",82.7,81.5,87.7,95.0,45.0
"Avon School District","=""0040011""","All Grades","Sit and Reach",74.1,75.5,77.8,74.6,72.3
"Barkhamsted School District","=""0050011""","All Grades","Sit and Reach",82.4,93.3,74.7,75.9,85.3
"Berlin School District","=""0070011""","All Grades","Sit and Reach",87.4,88.0,85.1,87.6,86.5
"Bethany School District","=""0080011""","All Grades","Sit and Reach",53.8,71.8,62.1,77.2,66.4
"Bethel School District","=""0090011""","All Grades","Sit and Reach",88.1,88.1,86.4,82.5,84.0
"Bloomfield School District","=""0110011""","All Grades","Sit and Reach",68.1,77.6,75.9,75.0,80.4
"Bolton School District","=""0120011""","All Grades","Sit and Reach",88.7,83.7,85.1,83.7,79.8
"Bozrah School District","=""0130011""","All Grades","Sit and Reach",86.6,89.6,91.6,91.0,86.9
"Branford School District","=""0140011""","All Grades","Sit and Reach",71.5,78.9,78.9,82.6,81.5
"Bridgeport Achievement First District","=""2850013""","All Grades","Sit and Reach",63.6,39.0,53.8,54.5,60.8
"Bridgeport School District","=""0150011""","All Grades","Sit and Reach",80.1,79.8,78.6,74.2,71.9
"Bristol School District","=""0170011""","All Grades","Sit and Reach",88.0,90.8,90.7,89.1,86.5
"Brookfield School District","=""0180011""","All Grades","Sit and Reach",85.2,84.8,82.4,82.4,74.6
"Brooklyn School District","=""0190011""","All Grades","Sit and Reach",73.4,74.9,75.3,73.6,61.5
"Canaan School District","=""0210011""","All Grades","Sit and Reach",90.0,69.6,67.9,92.6,88.5
"Canterbury School District","=""0220011""","All Grades","Sit and Reach",86.5,88.0,92.3,93.7,96.3
"Canton School District","=""0230011""","All Grades","Sit and Reach",93.0,90.2,88.2,84.2,86.8
"Capitol Region Education Council","=""2410014""","All Grades","Sit and Reach",72.5,79.2,75.6,76.6,77.3
"Chaplin School District","=""0240011""","All Grades","Sit and Reach",95.7,100.0,97.7,97.6,97.1
"Cheshire School District","=""0250011""","All Grades","Sit and Reach",76.8,78.4,76.3,77.0,71.8
"Chester School District","=""0260011""","All Grades","Sit and Reach",77.8,73.4,83.3,80.3,69.0
"Clinton School District","=""0270011""","All Grades","Sit and Reach",83.9,86.0,81.1,81.7,78.0
"Colchester School District","=""0280011""","All Grades","Sit and Reach",82.3,80.4,80.3,75.2,89.3
"Colebrook School District","=""0290011""","All Grades","Sit and Reach",76.9,63.9,88.0,70.4,84.0
"Columbia School District","=""0300011""","All Grades","Sit and Reach",94.9,97.0,97.5,98.1,99.2
"Common Ground High School District","=""2680013""","All Grades","Sit and Reach",63.3,61.9,50.0,72.5,49.0
"Connecticut Technical High School System","=""9000016""","All Grades","Sit and Reach",79.2,83.4,81.3,81.3,83.6
"Cooperative Educational Services","=""2430014""","All Grades","Sit and Reach",68.4,80.3,70.1,92.2,77.9
"Cornwall School District","=""0310011""","All Grades","Sit and Reach",88.1,91.4,91.7,97.2,85.2
"Coventry School District","=""0320011""","All Grades","Sit and Reach",80.0,76.1,78.4,79.1,81.1
"Cromwell School District","=""0330011""","All Grades","Sit and Reach",89.4,87.4,80.9,80.4,84.5
"Danbury School District","=""0340011""","All Grades","Sit and Reach",71.2,72.5,70.0,76.6,76.8
"Darien School District","=""0350011""","All Grades","Sit and Reach",87.9,84.3,88.8,83.6,86.5
"Deep River School District","=""0360011""","All Grades","Sit and Reach",88.9,84.0,83.7,96.5,91.5
"Derby School District","=""0370011""","All Grades","Sit and Reach",71.7,66.9,78.2,69.3,72.6
"East Granby School District","=""0400011""","All Grades","Sit and Reach",84.2,76.6,72.7,71.1,81.0
"East Haddam School District","=""0410011""","All Grades","Sit and Reach",78.3,72.3,79.2,82.9,84.9
"East Hampton School District","=""0420011""","All Grades","Sit and Reach",87.3,87.8,79.1,80.1,90.9
"East Hartford School District","=""0430011""","All Grades","Sit and Reach",82.8,82.8,73.9,78.5,75.9
"East Haven School District","=""0440011""","All Grades","Sit and Reach",89.9,87.8,86.8,90.4,90.4
"East Lyme School District","=""0450011""","All Grades","Sit and Reach",86.6,86.4,88.8,84.1,86.6
"East Windsor School District","=""0470011""","All Grades","Sit and Reach",73.0,82.0,80.8,76.2,76.9
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Sit and Reach",47.5,70.5,77.0,77.1,75.4
"Eastford School District","=""0390011""","All Grades","Sit and Reach",83.7,98.1,87.5,95.6,97.4
"Easton School District","=""0460011""","All Grades","Sit and Reach",73.4,81.8,73.2,74.4,72.8
"Ellington School District","=""0480011""","All Grades","Sit and Reach",81.2,86.7,88.4,84.6,83.7
"Elm City College Preparatory School District","=""2890013""","All Grades","Sit and Reach",61.0,42.4,55.4,66.2,70.8
"Enfield School District","=""0490011""","All Grades","Sit and Reach",87.8,84.6,87.2,85.0,89.8
"Essex School District","=""0500011""","All Grades","Sit and Reach",83.7,78.6,82.1,78.7,69.4
"Explorations District","=""2720013""","All Grades","Sit and Reach",34.8,"*","*",80.0,"*"
"Fairfield School District","=""0510011""","All Grades","Sit and Reach",81.6,83.0,84.8,86.1,84.9
"Farmington School District","=""0520011""","All Grades","Sit and Reach",82.9,84.6,84.9,84.5,83.6
"Franklin School District","=""0530011""","All Grades","Sit and Reach",95.3,86.7,60.7,80.0,90.2
"Glastonbury School District","=""0540011""","All Grades","Sit and Reach",81.3,80.1,80.7,80.9,72.8
"Granby School District","=""0560011""","All Grades","Sit and Reach",86.7,89.0,87.8,85.7,86.5
"Great Oaks Charter School District","=""2940013""","All Grades","Sit and Reach","N/A","N/A","N/A",59.3,90.3
"Greenwich School District","=""0570011""","All Grades","Sit and Reach",82.1,82.2,81.5,82.3,83.0
"Griswold School District","=""0580011""","All Grades","Sit and Reach",81.3,82.3,77.9,76.8,75.3
"Groton School District","=""0590011""","All Grades","Sit and Reach",84.3,84.4,80.9,84.2,82.4
"Guilford School District","=""0600011""","All Grades","Sit and Reach",84.5,94.1,84.0,87.0,87.6
"Hamden School District","=""0620011""","All Grades","Sit and Reach",81.4,84.1,81.3,84.1,78.8
"Hampton School District","=""0630011""","All Grades","Sit and Reach",87.2,92.0,100.0,96.3,87.0
"Hartford School District","=""0640011""","All Grades","Sit and Reach",76.1,76.5,78.1,81.5,80.7
