"Physical Fitness Tests: Students Reaching Health Standard, 2014-15"
"All Districts, Curl Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2014-15"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Curl Up",70.0
"Amistad Academy District","=""2790013""","All Grades","Curl Up",53.2
"Andover School District","=""0010011""","All Grades","Curl Up",81.7
"Ansonia School District","=""0020011""","All Grades","Curl Up",74.4
"Area Cooperative Educational Services","=""2440014""","All Grades","Curl Up",71.6
"Ashford School District","=""0030011""","All Grades","Curl Up",84.3
"Avon School District","=""0040011""","All Grades","Curl Up",89.8
"Barkhamsted School District","=""0050011""","All Grades","Curl Up",80.6
"Berlin School District","=""0070011""","All Grades","Curl Up",92.4
"Bethany School District","=""0080011""","All Grades","Curl Up",64.2
"Bethel School District","=""0090011""","All Grades","Curl Up",74.6
"Bloomfield School District","=""0110011""","All Grades","Curl Up",80.5
"Bolton School District","=""0120011""","All Grades","Curl Up",90.8
"Bozrah School District","=""0130011""","All Grades","Curl Up",100.0
"Branford School District","=""0140011""","All Grades","Curl Up",83.8
"Bridgeport Achievement First District","=""2850013""","All Grades","Curl Up",76.2
"Bridgeport School District","=""0150011""","All Grades","Curl Up",75.8
"Bristol School District","=""0170011""","All Grades","Curl Up",90.8
"Brookfield School District","=""0180011""","All Grades","Curl Up",84.1
"Brooklyn School District","=""0190011""","All Grades","Curl Up",66.9
"Canaan School District","=""0210011""","All Grades","Curl Up",85.2
"Canterbury School District","=""0220011""","All Grades","Curl Up",76.4
"Canton School District","=""0230011""","All Grades","Curl Up",89.9
"Capitol Region Education Council","=""2410014""","All Grades","Curl Up",79.3
"Chaplin School District","=""0240011""","All Grades","Curl Up",95.1
"Cheshire School District","=""0250011""","All Grades","Curl Up",92.8
"Chester School District","=""0260011""","All Grades","Curl Up",69.7
"Clinton School District","=""0270011""","All Grades","Curl Up",96.2
"Colchester School District","=""0280011""","All Grades","Curl Up",80.2
"Colebrook School District","=""0290011""","All Grades","Curl Up",96.3
"Columbia School District","=""0300011""","All Grades","Curl Up",93.7
"Common Ground High School District","=""2680013""","All Grades","Curl Up",80.4
"Connecticut Technical High School System","=""9000016""","All Grades","Curl Up",86.8
"Cooperative Educational Services","=""2430014""","All Grades","Curl Up",87.1
"Cornwall School District","=""0310011""","All Grades","Curl Up",97.2
"Coventry School District","=""0320011""","All Grades","Curl Up",84.4
"Cromwell School District","=""0330011""","All Grades","Curl Up",91.1
"Danbury School District","=""0340011""","All Grades","Curl Up",75.9
"Darien School District","=""0350011""","All Grades","Curl Up",96.4
"Deep River School District","=""0360011""","All Grades","Curl Up",94.2
"Derby School District","=""0370011""","All Grades","Curl Up",74.7
"East Granby School District","=""0400011""","All Grades","Curl Up",86.8
"East Haddam School District","=""0410011""","All Grades","Curl Up",89.2
"East Hampton School District","=""0420011""","All Grades","Curl Up",65.4
"East Hartford School District","=""0430011""","All Grades","Curl Up",71.7
"East Haven School District","=""0440011""","All Grades","Curl Up",82.3
