"Physical Fitness Tests: Students Reaching Health Standard, 2010-11"
"All Districts"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2010-11"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","All Tests - District",27.1
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Curl Up",65.7
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Mile Run",45.7
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Push Up",55.7
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Sit and Reach",80.0
"Amistad Academy District","=""2790013""","All Grades","All Tests - District",15.5
"Amistad Academy District","=""2790013""","All Grades","Curl Up",64.3
"Amistad Academy District","=""2790013""","All Grades","Mile Run",35.7
"Amistad Academy District","=""2790013""","All Grades","Push Up",61.3
"Amistad Academy District","=""2790013""","All Grades","Sit and Reach",73.2
"Andover School District","=""0010011""","All Grades","All Tests - District",70.0
"Andover School District","=""0010011""","All Grades","Curl Up",88.8
"Andover School District","=""0010011""","All Grades","Mile Run",88.8
"Andover School District","=""0010011""","All Grades","Push Up",86.3
"Andover School District","=""0010011""","All Grades","Sit and Reach",91.3
"Ansonia School District","=""0020011""","All Grades","All Tests - District",39.2
"Ansonia School District","=""0020011""","All Grades","Curl Up",83.0
"Ansonia School District","=""0020011""","All Grades","Mile Run",61.7
"Ansonia School District","=""0020011""","All Grades","Push Up",66.8
"Ansonia School District","=""0020011""","All Grades","Sit and Reach",83.5
"Area Cooperative Educational Services","=""2440014""","All Grades","All Tests - District",47.4
"Area Cooperative Educational Services","=""2440014""","All Grades","Curl Up",86.8
"Area Cooperative Educational Services","=""2440014""","All Grades","Mile Run",70.9
"Area Cooperative Educational Services","=""2440014""","All Grades","Push Up",62.8
"Area Cooperative Educational Services","=""2440014""","All Grades","Sit and Reach",82.4
"Ashford School District","=""0030011""","All Grades","All Tests - District",65.8
"Ashford School District","=""0030011""","All Grades","Curl Up",95.5
"Ashford School District","=""0030011""","All Grades","Mile Run",76.1
"Ashford School District","=""0030011""","All Grades","Push Up",83.9
"Ashford School District","=""0030011""","All Grades","Sit and Reach",94.2
"Avon School District","=""0040011""","All Grades","All Tests - District",60.4
"Avon School District","=""0040011""","All Grades","Curl Up",87.8
"Avon School District","=""0040011""","All Grades","Mile Run",85.3
"Avon School District","=""0040011""","All Grades","Push Up",81.8
"Avon School District","=""0040011""","All Grades","Sit and Reach",79.5
"Barkhamsted School District","=""0050011""","All Grades","All Tests - District",43.2
"Barkhamsted School District","=""0050011""","All Grades","Curl Up",72.6
"Barkhamsted School District","=""0050011""","All Grades","Mile Run",45.3
"Barkhamsted School District","=""0050011""","All Grades","Push Up",57.9
"Barkhamsted School District","=""0050011""","All Grades","Sit and Reach",88.4
"Berlin School District","=""0070011""","All Grades","All Tests - District",62.3
"Berlin School District","=""0070011""","All Grades","Curl Up",80.5
"Berlin School District","=""0070011""","All Grades","Mile Run",84.6
"Berlin School District","=""0070011""","All Grades","Push Up",84.2
"Berlin School District","=""0070011""","All Grades","Sit and Reach",89.7
"Bethany School District","=""0080011""","All Grades","All Tests - District",22.0
"Bethany School District","=""0080011""","All Grades","Curl Up",59.1
"Bethany School District","=""0080011""","All Grades","Mile Run",79.9
"Bethany School District","=""0080011""","All Grades","Push Up",59.1
"Bethany School District","=""0080011""","All Grades","Sit and Reach",56.0
"Bethel School District","=""0090011""","All Grades","All Tests - District",52.6
"Bethel School District","=""0090011""","All Grades","Curl Up",82.0
"Bethel School District","=""0090011""","All Grades","Mile Run",79.2
"Bethel School District","=""0090011""","All Grades","Push Up",70.3
