"Physical Fitness Tests: Students Reaching Health Standard, 2011-12"
"All Districts, Mile Run"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2011-12"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Mile Run",44.9
"Amistad Academy District","=""2790013""","All Grades","Mile Run",64.7
"Andover School District","=""0010011""","All Grades","Mile Run",85.4
"Ansonia School District","=""0020011""","All Grades","Mile Run",70.2
"Area Cooperative Educational Services","=""2440014""","All Grades","Mile Run",61.8
"Ashford School District","=""0030011""","All Grades","Mile Run",64.7
"Avon School District","=""0040011""","All Grades","Mile Run",85.6
"Barkhamsted School District","=""0050011""","All Grades","Mile Run",64.7
"Berlin School District","=""0070011""","All Grades","Mile Run",77.2
"Bethany School District","=""0080011""","All Grades","Mile Run",88.8
"Bethel School District","=""0090011""","All Grades","Mile Run",76.4
"Bloomfield School District","=""0110011""","All Grades","Mile Run",74.3
"Bolton School District","=""0120011""","All Grades","Mile Run",89.4
"Bozrah School District","=""0130011""","All Grades","Mile Run",82.1
"Branford School District","=""0140011""","All Grades","Mile Run",63.3
"Bridgeport Achievement First District","=""2850013""","All Grades","Mile Run",42.9
"Bridgeport School District","=""0150011""","All Grades","Mile Run",68.8
"Bristol School District","=""0170011""","All Grades","Mile Run",79.1
"Brookfield School District","=""0180011""","All Grades","Mile Run",85.2
"Brooklyn School District","=""0190011""","All Grades","Mile Run",60.6
"Canaan School District","=""0210011""","All Grades","Mile Run",40.0
"Canterbury School District","=""0220011""","All Grades","Mile Run",77.9
"Canton School District","=""0230011""","All Grades","Mile Run",76.7
"Capitol Region Education Council","=""2410014""","All Grades","Mile Run",52.5
"Chaplin School District","=""0240011""","All Grades","Mile Run",100.0
"Cheshire School District","=""0250011""","All Grades","Mile Run",78.7
"Chester School District","=""0260011""","All Grades","Mile Run",70.8
"Clinton School District","=""0270011""","All Grades","Mile Run",73.9
"Colchester School District","=""0280011""","All Grades","Mile Run",76.3
"Colebrook School District","=""0290011""","All Grades","Mile Run",92.3
"Columbia School District","=""0300011""","All Grades","Mile Run",81.9
"Common Ground High School District","=""2680013""","All Grades","Mile Run","*"
"Connecticut Technical High School System","=""9000016""","All Grades","Mile Run",46.9
"Cooperative Educational Services","=""2430014""","All Grades","Mile Run",64.9
"Cornwall School District","=""0310011""","All Grades","Mile Run",97.6
"Coventry School District","=""0320011""","All Grades","Mile Run",75.0
"Cromwell School District","=""0330011""","All Grades","Mile Run",70.3
"Danbury School District","=""0340011""","All Grades","Mile Run",61.0
"Darien School District","=""0350011""","All Grades","Mile Run",88.3
"Deep River School District","=""0360011""","All Grades","Mile Run",89.9
"Derby School District","=""0370011""","All Grades","Mile Run",54.1
"East Granby School District","=""0400011""","All Grades","Mile Run",64.2
"East Haddam School District","=""0410011""","All Grades","Mile Run",75.4
"East Hampton School District","=""0420011""","All Grades","Mile Run",74.8
"East Hartford School District","=""0430011""","All Grades","Mile Run",66.1
"East Haven School District","=""0440011""","All Grades","Mile Run",75.8
"East Lyme School District","=""0450011""","All Grades","Mile Run",79.9
"East Windsor School District","=""0470011""","All Grades","Mile Run",66.4
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Mile Run","*"
"Eastford School District","=""0390011""","All Grades","Mile Run",88.4
"Easton School District","=""0460011""","All Grades","Mile Run",82.7
"Ellington School District","=""0480011""","All Grades","Mile Run",77.2
"Elm City College Preparatory School District","=""2890013""","All Grades","Mile Run",59.3
"Enfield School District","=""0490011""","All Grades","Mile Run",74.2
"Essex School District","=""0500011""","All Grades","Mile Run",75.9
"Explorations District","=""2720013""","All Grades","Mile Run","*"
"Fairfield School District","=""0510011""","All Grades","Mile Run",85.8
"Farmington School District","=""0520011""","All Grades","Mile Run",80.2
"Franklin School District","=""0530011""","All Grades","Mile Run",89.1
"Glastonbury School District","=""0540011""","All Grades","Mile Run",79.1
"Granby School District","=""0560011""","All Grades","Mile Run",88.1
"Greenwich School District","=""0570011""","All Grades","Mile Run",91.2
"Griswold School District","=""0580011""","All Grades","Mile Run",56.6
"Groton School District","=""0590011""","All Grades","Mile Run",60.2
"Guilford School District","=""0600011""","All Grades","Mile Run",72.1
"Hamden School District","=""0620011""","All Grades","Mile Run",66.0
"Hampton School District","=""0630011""","All Grades","Mile Run",74.4
"Hartford School District","=""0640011""","All Grades","Mile Run",59.8
"Hartland School District","=""0650011""","All Grades","Mile Run",84.5
"Hebron School District","=""0670011""","All Grades","Mile Run",73.5
"Highville Charter School District","=""2860013""","All Grades","Mile Run",68.5
"Integrated Day Charter School District","=""2640013""","All Grades","Mile Run",75.8
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Mile Run",36.3
"Jumoke Academy District","=""2610013""","All Grades","Mile Run",39.2
"Kent School District","=""0680011""","All Grades","Mile Run",76.3
"Killingly School District","=""0690011""","All Grades","Mile Run",52.6
"Learn","=""2450014""","All Grades","Mile Run",59.3
"Lebanon School District","=""0710011""","All Grades","Mile Run",76.1
"Ledyard School District","=""0720011""","All Grades","Mile Run",72.0
"Lisbon School District","=""0730011""","All Grades","Mile Run",74.8
"Litchfield School District","=""0740011""","All Grades","Mile Run",72.6
