"Physical Fitness Tests: Students Reaching Health Standard, 2012-13"
"All Districts, Curl Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2012-13"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Curl Up",70.3
"Amistad Academy District","=""2790013""","All Grades","Curl Up",57.4
"Andover School District","=""0010011""","All Grades","Curl Up",80.8
"Ansonia School District","=""0020011""","All Grades","Curl Up",81.4
"Area Cooperative Educational Services","=""2440014""","All Grades","Curl Up",75.5
"Ashford School District","=""0030011""","All Grades","Curl Up",83.4
"Avon School District","=""0040011""","All Grades","Curl Up",86.2
"Barkhamsted School District","=""0050011""","All Grades","Curl Up",100.0
"Berlin School District","=""0070011""","All Grades","Curl Up",90.1
"Bethany School District","=""0080011""","All Grades","Curl Up",67.9
"Bethel School District","=""0090011""","All Grades","Curl Up",85.7
"Bloomfield School District","=""0110011""","All Grades","Curl Up",83.1
"Bolton School District","=""0120011""","All Grades","Curl Up",90.0
"Bozrah School District","=""0130011""","All Grades","Curl Up",97.0
"Branford School District","=""0140011""","All Grades","Curl Up",84.7
"Bridgeport Achievement First District","=""2850013""","All Grades","Curl Up",30.1
"Bridgeport School District","=""0150011""","All Grades","Curl Up",80.4
"Bristol School District","=""0170011""","All Grades","Curl Up",88.6
"Brookfield School District","=""0180011""","All Grades","Curl Up",84.4
"Brooklyn School District","=""0190011""","All Grades","Curl Up",60.6
"Canaan School District","=""0210011""","All Grades","Curl Up",91.3
"Canterbury School District","=""0220011""","All Grades","Curl Up",69.1
"Canton School District","=""0230011""","All Grades","Curl Up",94.0
"Capitol Region Education Council","=""2410014""","All Grades","Curl Up",79.2
"Chaplin School District","=""0240011""","All Grades","Curl Up",63.2
"Cheshire School District","=""0250011""","All Grades","Curl Up",93.1
"Chester School District","=""0260011""","All Grades","Curl Up",79.7
"Clinton School District","=""0270011""","All Grades","Curl Up",94.4
"Colchester School District","=""0280011""","All Grades","Curl Up",76.3
"Colebrook School District","=""0290011""","All Grades","Curl Up",86.1
"Columbia School District","=""0300011""","All Grades","Curl Up",95.8
"Common Ground High School District","=""2680013""","All Grades","Curl Up",71.4
"Connecticut Technical High School System","=""9000016""","All Grades","Curl Up",89.9
"Cooperative Educational Services","=""2430014""","All Grades","Curl Up",85.5
"Cornwall School District","=""0310011""","All Grades","Curl Up",97.1
"Coventry School District","=""0320011""","All Grades","Curl Up",87.7
"Cromwell School District","=""0330011""","All Grades","Curl Up",87.6
"Danbury School District","=""0340011""","All Grades","Curl Up",74.3
"Darien School District","=""0350011""","All Grades","Curl Up",95.1
"Deep River School District","=""0360011""","All Grades","Curl Up",95.7
"Derby School District","=""0370011""","All Grades","Curl Up",77.6
"East Granby School District","=""0400011""","All Grades","Curl Up",86.0
"East Haddam School District","=""0410011""","All Grades","Curl Up",79.7
"East Hampton School District","=""0420011""","All Grades","Curl Up",82.1
"East Hartford School District","=""0430011""","All Grades","Curl Up",84.2
"East Haven School District","=""0440011""","All Grades","Curl Up",87.2
"East Lyme School District","=""0450011""","All Grades","Curl Up",85.1
"East Windsor School District","=""0470011""","All Grades","Curl Up",73.6
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Curl Up",68.2
"Eastford School District","=""0390011""","All Grades","Curl Up",98.1
"Easton School District","=""0460011""","All Grades","Curl Up",89.2
"Ellington School District","=""0480011""","All Grades","Curl Up",81.5
"Elm City College Preparatory School District","=""2890013""","All Grades","Curl Up",38.4
"Enfield School District","=""0490011""","All Grades","Curl Up",93.2
"Essex School District","=""0500011""","All Grades","Curl Up",98.7
"Explorations District","=""2720013""","All Grades","Curl Up","*"
"Fairfield School District","=""0510011""","All Grades","Curl Up",89.0
"Farmington School District","=""0520011""","All Grades","Curl Up",84.5
"Franklin School District","=""0530011""","All Grades","Curl Up",80.0
"Glastonbury School District","=""0540011""","All Grades","Curl Up",88.4
"Granby School District","=""0560011""","All Grades","Curl Up",91.2
"Greenwich School District","=""0570011""","All Grades","Curl Up",94.0
"Griswold School District","=""0580011""","All Grades","Curl Up",81.2
"Groton School District","=""0590011""","All Grades","Curl Up",84.2
"Guilford School District","=""0600011""","All Grades","Curl Up",91.3
"Hamden School District","=""0620011""","All Grades","Curl Up",84.5
"Hampton School District","=""0630011""","All Grades","Curl Up",72.0
"Hartford School District","=""0640011""","All Grades","Curl Up",75.4
"Hartland School District","=""0650011""","All Grades","Curl Up",100.0
"Hebron School District","=""0670011""","All Grades","Curl Up",82.3
"Highville Charter School District","=""2860013""","All Grades","Curl Up",91.8
"Integrated Day Charter School District","=""2640013""","All Grades","Curl Up",94.7
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Curl Up",60.8
"Jumoke Academy District","=""2610013""","All Grades","Curl Up",44.8
"Kent School District","=""0680011""","All Grades","Curl Up",78.7
"Killingly School District","=""0690011""","All Grades","Curl Up",84.1
"Learn","=""2450014""","All Grades","Curl Up",84.5
"Lebanon School District","=""0710011""","All Grades","Curl Up",89.7
"Ledyard School District","=""0720011""","All Grades","Curl Up",85.5
"Lisbon School District","=""0730011""","All Grades","Curl Up",67.5
"Litchfield School District","=""0740011""","All Grades","Curl Up",90.6
"Madison School District","=""0760011""","All Grades","Curl Up",87.9
"Manchester School District","=""0770011""","All Grades","Curl Up",89.4
"Mansfield School District","=""0780011""","All Grades","Curl Up",95.3
"Marlborough School District","=""0790011""","All Grades","Curl Up",84.8
"Meriden School District","=""0800011""","All Grades","Curl Up",74.5
"Middletown School District","=""0830011""","All Grades","Curl Up",75.3
"Milford School District","=""0840011""","All Grades","Curl Up",93.0
"Monroe School District","=""0850011""","All Grades","Curl Up",86.7
"Montville School District","=""0860011""","All Grades","Curl Up",75.0
"Naugatuck School District","=""0880011""","All Grades","Curl Up",83.9
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","Curl Up",80.3
"New Britain School District","=""0890011""","All Grades","Curl Up",70.2
"New Canaan School District","=""0900011""","All Grades","Curl Up",95.9
"New Fairfield School District","=""0910011""","All Grades","Curl Up",95.4
