"Physical Fitness Tests: Students Reaching Health Standard, 2013-14"
"All Districts, Push Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2013-14"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Push Up",56.8
"Amistad Academy District","=""2790013""","All Grades","Push Up",50.6
"Andover School District","=""0010011""","All Grades","Push Up",81.1
"Ansonia School District","=""0020011""","All Grades","Push Up",59.2
"Area Cooperative Educational Services","=""2440014""","All Grades","Push Up",56.0
"Ashford School District","=""0030011""","All Grades","Push Up",74.6
"Avon School District","=""0040011""","All Grades","Push Up",81.0
"Barkhamsted School District","=""0050011""","All Grades","Push Up",59.5
"Berlin School District","=""0070011""","All Grades","Push Up",79.0
"Bethany School District","=""0080011""","All Grades","Push Up",60.0
"Bethel School District","=""0090011""","All Grades","Push Up",61.0
"Bloomfield School District","=""0110011""","All Grades","Push Up",60.7
"Bolton School District","=""0120011""","All Grades","Push Up",68.5
"Bozrah School District","=""0130011""","All Grades","Push Up",79.5
"Branford School District","=""0140011""","All Grades","Push Up",70.2
"Bridgeport Achievement First District","=""2850013""","All Grades","Push Up",58.2
"Bridgeport School District","=""0150011""","All Grades","Push Up",66.6
"Bristol School District","=""0170011""","All Grades","Push Up",73.5
"Brookfield School District","=""0180011""","All Grades","Push Up",74.0
"Brooklyn School District","=""0190011""","All Grades","Push Up",46.3
"Canaan School District","=""0210011""","All Grades","Push Up",46.4
"Canterbury School District","=""0220011""","All Grades","Push Up",71.3
"Canton School District","=""0230011""","All Grades","Push Up",89.7
"Capitol Region Education Council","=""2410014""","All Grades","Push Up",69.8
"Chaplin School District","=""0240011""","All Grades","Push Up",72.1
"Cheshire School District","=""0250011""","All Grades","Push Up",82.4
"Chester School District","=""0260011""","All Grades","Push Up",66.7
"Clinton School District","=""0270011""","All Grades","Push Up",70.7
"Colchester School District","=""0280011""","All Grades","Push Up",68.4
"Colebrook School District","=""0290011""","All Grades","Push Up",80.0
"Columbia School District","=""0300011""","All Grades","Push Up",94.9
"Common Ground High School District","=""2680013""","All Grades","Push Up",47.2
"Connecticut Technical High School System","=""9000016""","All Grades","Push Up",68.4
"Cooperative Educational Services","=""2430014""","All Grades","Push Up",78.5
"Cornwall School District","=""0310011""","All Grades","Push Up",80.6
"Coventry School District","=""0320011""","All Grades","Push Up",71.9
"Cromwell School District","=""0330011""","All Grades","Push Up",88.4
"Danbury School District","=""0340011""","All Grades","Push Up",60.0
"Darien School District","=""0350011""","All Grades","Push Up",90.4
"Deep River School District","=""0360011""","All Grades","Push Up",80.8
"Derby School District","=""0370011""","All Grades","Push Up",73.2
"East Granby School District","=""0400011""","All Grades","Push Up",70.7
"East Haddam School District","=""0410011""","All Grades","Push Up",57.7
"East Hampton School District","=""0420011""","All Grades","Push Up",72.6
"East Hartford School District","=""0430011""","All Grades","Push Up",65.8
"East Haven School District","=""0440011""","All Grades","Push Up",66.5
"East Lyme School District","=""0450011""","All Grades","Push Up",83.9
"East Windsor School District","=""0470011""","All Grades","Push Up",61.4
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Push Up",68.9
"Eastford School District","=""0390011""","All Grades","Push Up",75.0
"Easton School District","=""0460011""","All Grades","Push Up",60.2
"Ellington School District","=""0480011""","All Grades","Push Up",69.1
"Elm City College Preparatory School District","=""2890013""","All Grades","Push Up",54.2
"Enfield School District","=""0490011""","All Grades","Push Up",80.8
"Essex School District","=""0500011""","All Grades","Push Up",76.3
"Explorations District","=""2720013""","All Grades","Push Up","*"
"Fairfield School District","=""0510011""","All Grades","Push Up",84.2
"Farmington School District","=""0520011""","All Grades","Push Up",80.1
"Franklin School District","=""0530011""","All Grades","Push Up",75.0
"Glastonbury School District","=""0540011""","All Grades","Push Up",80.4
"Granby School District","=""0560011""","All Grades","Push Up",76.9
"Greenwich School District","=""0570011""","All Grades","Push Up",81.0
"Griswold School District","=""0580011""","All Grades","Push Up",72.9
"Groton School District","=""0590011""","All Grades","Push Up",72.4
"Guilford School District","=""0600011""","All Grades","Push Up",87.2
"Hamden School District","=""0620011""","All Grades","Push Up",75.4
"Hampton School District","=""0630011""","All Grades","Push Up",72.4
"Hartford School District","=""0640011""","All Grades","Push Up",62.1
"Hartland School District","=""0650011""","All Grades","Push Up",83.8
"Hebron School District","=""0670011""","All Grades","Push Up",90.7
"Highville Charter School District","=""2860013""","All Grades","Push Up",58.3
"Integrated Day Charter School District","=""2640013""","All Grades","Push Up",86.1
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Push Up",36.5
"Jumoke Academy District","=""2610013""","All Grades","Push Up",39.5
"Kent School District","=""0680011""","All Grades","Push Up",69.3
"Killingly School District","=""0690011""","All Grades","Push Up",75.3
"Learn","=""2450014""","All Grades","Push Up",78.2
"Lebanon School District","=""0710011""","All Grades","Push Up",87.0
"Ledyard School District","=""0720011""","All Grades","Push Up",77.2
"Lisbon School District","=""0730011""","All Grades","Push Up",58.7
"Litchfield School District","=""0740011""","All Grades","Push Up",82.3
"Madison School District","=""0760011""","All Grades","Push Up",84.2
"Manchester School District","=""0770011""","All Grades","Push Up",71.7
"Mansfield School District","=""0780011""","All Grades","Push Up",74.0
"Marlborough School District","=""0790011""","All Grades","Push Up",89.9
"Meriden School District","=""0800011""","All Grades","Push Up",53.8
"Middletown School District","=""0830011""","All Grades","Push Up",64.6
"Milford School District","=""0840011""","All Grades","Push Up",76.8
"Monroe School District","=""0850011""","All Grades","Push Up",81.6
"Montville School District","=""0860011""","All Grades","Push Up",65.3
"Naugatuck School District","=""0880011""","All Grades","Push Up",66.9
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","Push Up",62.1
