"Physical Fitness Tests: Students Reaching Health Standard, 2011-12"
"All Districts, Sit and Reach"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2011-12"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Sit and Reach",64.3
"Amistad Academy District","=""2790013""","All Grades","Sit and Reach",52.9
"Andover School District","=""0010011""","All Grades","Sit and Reach",86.5
"Ansonia School District","=""0020011""","All Grades","Sit and Reach",84.4
"Area Cooperative Educational Services","=""2440014""","All Grades","Sit and Reach",80.7
"Ashford School District","=""0030011""","All Grades","Sit and Reach",82.7
"Avon School District","=""0040011""","All Grades","Sit and Reach",74.1
"Barkhamsted School District","=""0050011""","All Grades","Sit and Reach",82.4
"Berlin School District","=""0070011""","All Grades","Sit and Reach",87.4
"Bethany School District","=""0080011""","All Grades","Sit and Reach",53.8
"Bethel School District","=""0090011""","All Grades","Sit and Reach",88.1
"Bloomfield School District","=""0110011""","All Grades","Sit and Reach",68.1
"Bolton School District","=""0120011""","All Grades","Sit and Reach",88.7
"Bozrah School District","=""0130011""","All Grades","Sit and Reach",86.6
"Branford School District","=""0140011""","All Grades","Sit and Reach",71.5
"Bridgeport Achievement First District","=""2850013""","All Grades","Sit and Reach",63.6
"Bridgeport School District","=""0150011""","All Grades","Sit and Reach",80.1
"Bristol School District","=""0170011""","All Grades","Sit and Reach",88.0
"Brookfield School District","=""0180011""","All Grades","Sit and Reach",85.2
"Brooklyn School District","=""0190011""","All Grades","Sit and Reach",73.4
"Canaan School District","=""0210011""","All Grades","Sit and Reach",90.0
"Canterbury School District","=""0220011""","All Grades","Sit and Reach",86.5
"Canton School District","=""0230011""","All Grades","Sit and Reach",93.0
"Capitol Region Education Council","=""2410014""","All Grades","Sit and Reach",72.5
"Chaplin School District","=""0240011""","All Grades","Sit and Reach",95.7
"Cheshire School District","=""0250011""","All Grades","Sit and Reach",76.8
