"Physical Fitness Tests: Students Reaching Health Standard, 2009-10"
"All Districts"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2009-10"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","All Tests - District",20.5
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Curl Up",77.1
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Mile Run",43.4
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Push Up",65.1
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Sit and Reach",67.5
"Amistad Academy District","=""2790013""","All Grades","All Tests - District",22.7
"Amistad Academy District","=""2790013""","All Grades","Curl Up",52.6
"Amistad Academy District","=""2790013""","All Grades","Mile Run",54.6
"Amistad Academy District","=""2790013""","All Grades","Push Up",62.9
"Amistad Academy District","=""2790013""","All Grades","Sit and Reach",63.9
"Andover School District","=""0010011""","All Grades","All Tests - District",58.0
"Andover School District","=""0010011""","All Grades","Curl Up",65.9
"Andover School District","=""0010011""","All Grades","Mile Run",89.8
"Andover School District","=""0010011""","All Grades","Push Up",88.6
"Andover School District","=""0010011""","All Grades","Sit and Reach",86.4
"Ansonia School District","=""0020011""","All Grades","All Tests - District",46.1
"Ansonia School District","=""0020011""","All Grades","Curl Up",85.2
"Ansonia School District","=""0020011""","All Grades","Mile Run",64.4
"Ansonia School District","=""0020011""","All Grades","Push Up",68.1
"Ansonia School District","=""0020011""","All Grades","Sit and Reach",79.9
"Area Cooperative Educational Services","=""2440014""","All Grades","All Tests - District",46.4
"Area Cooperative Educational Services","=""2440014""","All Grades","Curl Up",77.5
"Area Cooperative Educational Services","=""2440014""","All Grades","Mile Run",75.8
"Area Cooperative Educational Services","=""2440014""","All Grades","Push Up",61.4
"Area Cooperative Educational Services","=""2440014""","All Grades","Sit and Reach",84.7
"Ashford School District","=""0030011""","All Grades","All Tests - District",57.5
"Ashford School District","=""0030011""","All Grades","Curl Up",92.8
"Ashford School District","=""0030011""","All Grades","Mile Run",69.3
"Ashford School District","=""0030011""","All Grades","Push Up",81.0
"Ashford School District","=""0030011""","All Grades","Sit and Reach",94.1
"Avon School District","=""0040011""","All Grades","All Tests - District",49.7
"Avon School District","=""0040011""","All Grades","Curl Up",79.0
"Avon School District","=""0040011""","All Grades","Mile Run",86.2
"Avon School District","=""0040011""","All Grades","Push Up",71.6
"Avon School District","=""0040011""","All Grades","Sit and Reach",74.0
"Barkhamsted School District","=""0050011""","All Grades","All Tests - District",58.3
"Barkhamsted School District","=""0050011""","All Grades","Curl Up",93.8
"Barkhamsted School District","=""0050011""","All Grades","Mile Run",58.3
"Barkhamsted School District","=""0050011""","All Grades","Push Up",79.2
"Barkhamsted School District","=""0050011""","All Grades","Sit and Reach",88.5
"Berlin School District","=""0070011""","All Grades","All Tests - District",61.3
"Berlin School District","=""0070011""","All Grades","Curl Up",89.6
"Berlin School District","=""0070011""","All Grades","Mile Run",82.5
"Berlin School District","=""0070011""","All Grades","Push Up",83.8
"Berlin School District","=""0070011""","All Grades","Sit and Reach",83.5
"Bethany School District","=""0080011""","All Grades","All Tests - District",37.8
"Bethany School District","=""0080011""","All Grades","Curl Up",79.3
"Bethany School District","=""0080011""","All Grades","Mile Run",65.2
"Bethany School District","=""0080011""","All Grades","Push Up",70.4
"Bethany School District","=""0080011""","All Grades","Sit and Reach",71.1
"Bethel School District","=""0090011""","All Grades","All Tests - District",51.1
"Bethel School District","=""0090011""","All Grades","Curl Up",82.2
"Bethel School District","=""0090011""","All Grades","Mile Run",78.9
"Bethel School District","=""0090011""","All Grades","Push Up",70.1
"Bethel School District","=""0090011""","All Grades","Sit and Reach",86.5
"Bloomfield School District","=""0110011""","All Grades","All Tests - District",39.5
"Bloomfield School District","=""0110011""","All Grades","Curl Up",66.4
"Bloomfield School District","=""0110011""","All Grades","Mile Run",70.9
"Bloomfield School District","=""0110011""","All Grades","Push Up",59.1
"Bloomfield School District","=""0110011""","All Grades","Sit and Reach",75.0
"Bolton School District","=""0120011""","All Grades","All Tests - District",64.8
"Bolton School District","=""0120011""","All Grades","Curl Up",91.2
"Bolton School District","=""0120011""","All Grades","Mile Run",76.8
"Bolton School District","=""0120011""","All Grades","Push Up",79.6
"Bolton School District","=""0120011""","All Grades","Sit and Reach",86.3
"Bozrah School District","=""0130011""","All Grades","All Tests - District",63.3
"Bozrah School District","=""0130011""","All Grades","Curl Up",94.9
"Bozrah School District","=""0130011""","All Grades","Mile Run",78.5
"Bozrah School District","=""0130011""","All Grades","Push Up",81.0
"Bozrah School District","=""0130011""","All Grades","Sit and Reach",87.3
"Branford School District","=""0140011""","All Grades","All Tests - District",42.9
"Branford School District","=""0140011""","All Grades","Curl Up",79.6
"Branford School District","=""0140011""","All Grades","Mile Run",63.6
"Branford School District","=""0140011""","All Grades","Push Up",72.5
"Branford School District","=""0140011""","All Grades","Sit and Reach",74.6
"Bridgeport Achievement First District","=""2850013""","All Grades","All Tests - District",29.0
"Bridgeport Achievement First District","=""2850013""","All Grades","Curl Up",56.5
"Bridgeport Achievement First District","=""2850013""","All Grades","Mile Run",29.0
"Bridgeport Achievement First District","=""2850013""","All Grades","Push Up",43.5
"Bridgeport Achievement First District","=""2850013""","All Grades","Sit and Reach",64.5
"Bridgeport School District","=""0150011""","All Grades","All Tests - District",44.4
"Bridgeport School District","=""0150011""","All Grades","Curl Up",75.6
"Bridgeport School District","=""0150011""","All Grades","Mile Run",67.4
"Bridgeport School District","=""0150011""","All Grades","Push Up",67.5
"Bridgeport School District","=""0150011""","All Grades","Sit and Reach",81.0
"Bristol School District","=""0170011""","All Grades","All Tests - District",58.3
"Bristol School District","=""0170011""","All Grades","Curl Up",85.5
"Bristol School District","=""0170011""","All Grades","Mile Run",72.4
"Bristol School District","=""0170011""","All Grades","Push Up",82.7
"Bristol School District","=""0170011""","All Grades","Sit and Reach",90.5
"Brookfield School District","=""0180011""","All Grades","All Tests - District",56.6
"Brookfield School District","=""0180011""","All Grades","Curl Up",88.5
"Brookfield School District","=""0180011""","All Grades","Mile Run",75.8
"Brookfield School District","=""0180011""","All Grades","Push Up",77.2
"Brookfield School District","=""0180011""","All Grades","Sit and Reach",85.7
"Brooklyn School District","=""0190011""","All Grades","All Tests - District",47.6
"Brooklyn School District","=""0190011""","All Grades","Curl Up",68.6
"Brooklyn School District","=""0190011""","All Grades","Mile Run",64.9
"Brooklyn School District","=""0190011""","All Grades","Push Up",62.7
"Brooklyn School District","=""0190011""","All Grades","Sit and Reach",71.2
"Canaan School District","=""0210011""","All Grades","All Tests - District",81.8
"Canaan School District","=""0210011""","All Grades","Curl Up",93.9
"Canaan School District","=""0210011""","All Grades","Mile Run",81.8
"Canaan School District","=""0210011""","All Grades","Push Up",97.0
"Canaan School District","=""0210011""","All Grades","Sit and Reach",100.0
"Canterbury School District","=""0220011""","All Grades","All Tests - District",59.5
"Canterbury School District","=""0220011""","All Grades","Curl Up",69.6
"Canterbury School District","=""0220011""","All Grades","Mile Run",78.4
"Canterbury School District","=""0220011""","All Grades","Push Up",64.2
"Canterbury School District","=""0220011""","All Grades","Sit and Reach",86.5
"Canton School District","=""0230011""","All Grades","All Tests - District",72.3
"Canton School District","=""0230011""","All Grades","Curl Up",95.5
"Canton School District","=""0230011""","All Grades","Mile Run",83.4
"Canton School District","=""0230011""","All Grades","Push Up",91.7
"Canton School District","=""0230011""","All Grades","Sit and Reach",89.8
"Capitol Region Education Council","=""2410014""","All Grades","All Tests - District",30.2
"Capitol Region Education Council","=""2410014""","All Grades","Curl Up",74.4
"Capitol Region Education Council","=""2410014""","All Grades","Mile Run",53.7
"Capitol Region Education Council","=""2410014""","All Grades","Push Up",62.7
"Capitol Region Education Council","=""2410014""","All Grades","Sit and Reach",79.0
"Chaplin School District","=""0240011""","All Grades","All Tests - District",61.1
"Chaplin School District","=""0240011""","All Grades","Curl Up",97.2
"Chaplin School District","=""0240011""","All Grades","Mile Run",63.9
"Chaplin School District","=""0240011""","All Grades","Push Up",77.8
"Chaplin School District","=""0240011""","All Grades","Sit and Reach",94.4
"Cheshire School District","=""0250011""","All Grades","All Tests - District",58.3
"Cheshire School District","=""0250011""","All Grades","Curl Up",90.9
"Cheshire School District","=""0250011""","All Grades","Mile Run",80.0
"Cheshire School District","=""0250011""","All Grades","Push Up",81.2
"Cheshire School District","=""0250011""","All Grades","Sit and Reach",76.5
"Chester School District","=""0260011""","All Grades","All Tests - District",38.5
"Chester School District","=""0260011""","All Grades","Curl Up",86.5
"Chester School District","=""0260011""","All Grades","Mile Run",59.4
"Chester School District","=""0260011""","All Grades","Push Up",77.1
"Chester School District","=""0260011""","All Grades","Sit and Reach",75.0
"Clinton School District","=""0270011""","All Grades","All Tests - District",37.4
"Clinton School District","=""0270011""","All Grades","Curl Up",88.4
"Clinton School District","=""0270011""","All Grades","Mile Run",54.8
"Clinton School District","=""0270011""","All Grades","Push Up",58.4
"Clinton School District","=""0270011""","All Grades","Sit and Reach",70.2
"Colchester School District","=""0280011""","All Grades","All Tests - District",57.0
"Colchester School District","=""0280011""","All Grades","Curl Up",83.0
"Colchester School District","=""0280011""","All Grades","Mile Run",83.7
"Colchester School District","=""0280011""","All Grades","Push Up",68.3
"Colchester School District","=""0280011""","All Grades","Sit and Reach",84.0
"Colebrook School District","=""0290011""","All Grades","All Tests - District",60.0
"Colebrook School District","=""0290011""","All Grades","Curl Up",97.1
"Colebrook School District","=""0290011""","All Grades","Mile Run",88.6
"Colebrook School District","=""0290011""","All Grades","Push Up",80.0
"Colebrook School District","=""0290011""","All Grades","Sit and Reach",68.6
"Columbia School District","=""0300011""","All Grades","All Tests - District",61.9
"Columbia School District","=""0300011""","All Grades","Curl Up",89.2
"Columbia School District","=""0300011""","All Grades","Mile Run",79.4
"Columbia School District","=""0300011""","All Grades","Push Up",92.8
"Columbia School District","=""0300011""","All Grades","Sit and Reach",88.1
"Common Ground High School District","=""2680013""","All Grades","All Tests - District","*"
"Common Ground High School District","=""2680013""","All Grades","Curl Up",63.3
"Common Ground High School District","=""2680013""","All Grades","Mile Run","*"
"Common Ground High School District","=""2680013""","All Grades","Push Up",40.0
"Common Ground High School District","=""2680013""","All Grades","Sit and Reach",90.0
"Connecticut Technical High School System","=""9000016""","All Grades","All Tests - District",34.2
"Connecticut Technical High School System","=""9000016""","All Grades","Curl Up",90.4
"Connecticut Technical High School System","=""9000016""","All Grades","Mile Run",43.1
"Connecticut Technical High School System","=""9000016""","All Grades","Push Up",70.1
"Connecticut Technical High School System","=""9000016""","All Grades","Sit and Reach",81.3
"Cooperative Educational Services","=""2430014""","All Grades","All Tests - District",33.3
"Cooperative Educational Services","=""2430014""","All Grades","Curl Up",63.7
"Cooperative Educational Services","=""2430014""","All Grades","Mile Run",55.9
"Cooperative Educational Services","=""2430014""","All Grades","Push Up",75.5
"Cooperative Educational Services","=""2430014""","All Grades","Sit and Reach",80.4
"Cornwall School District","=""0310011""","All Grades","All Tests - District",86.5
"Cornwall School District","=""0310011""","All Grades","Curl Up",97.3
"Cornwall School District","=""0310011""","All Grades","Mile Run",94.6
"Cornwall School District","=""0310011""","All Grades","Push Up",91.9
"Cornwall School District","=""0310011""","All Grades","Sit and Reach",97.3
"Coventry School District","=""0320011""","All Grades","All Tests - District",47.3
"Coventry School District","=""0320011""","All Grades","Curl Up",87.6
"Coventry School District","=""0320011""","All Grades","Mile Run",72.5
"Coventry School District","=""0320011""","All Grades","Push Up",72.9
"Coventry School District","=""0320011""","All Grades","Sit and Reach",75.8
"Cromwell School District","=""0330011""","All Grades","All Tests - District",43.8
"Cromwell School District","=""0330011""","All Grades","Curl Up",93.1
"Cromwell School District","=""0330011""","All Grades","Mile Run",69.1
"Cromwell School District","=""0330011""","All Grades","Push Up",82.8
"Cromwell School District","=""0330011""","All Grades","Sit and Reach",75.5
"Danbury School District","=""0340011""","All Grades","All Tests - District",32.2
"Danbury School District","=""0340011""","All Grades","Curl Up",79.9
"Danbury School District","=""0340011""","All Grades","Mile Run",58.1
"Danbury School District","=""0340011""","All Grades","Push Up",68.7
"Danbury School District","=""0340011""","All Grades","Sit and Reach",73.2
"Darien School District","=""0350011""","All Grades","All Tests - District",72.2
"Darien School District","=""0350011""","All Grades","Curl Up",93.3
"Darien School District","=""0350011""","All Grades","Mile Run",88.9
"Darien School District","=""0350011""","All Grades","Push Up",86.4
"Darien School District","=""0350011""","All Grades","Sit and Reach",88.6
"Deep River School District","=""0360011""","All Grades","All Tests - District",71.4
"Deep River School District","=""0360011""","All Grades","Curl Up",92.4
"Deep River School District","=""0360011""","All Grades","Mile Run",83.8
"Deep River School District","=""0360011""","All Grades","Push Up",82.9
"Deep River School District","=""0360011""","All Grades","Sit and Reach",93.3
"Derby School District","=""0370011""","All Grades","All Tests - District",43.6
"Derby School District","=""0370011""","All Grades","Curl Up",81.0
"Derby School District","=""0370011""","All Grades","Mile Run",62.4
"Derby School District","=""0370011""","All Grades","Push Up",64.8
"Derby School District","=""0370011""","All Grades","Sit and Reach",80.0
"East Granby School District","=""0400011""","All Grades","All Tests - District",54.8
"East Granby School District","=""0400011""","All Grades","Curl Up",90.7
"East Granby School District","=""0400011""","All Grades","Mile Run",70.3
"East Granby School District","=""0400011""","All Grades","Push Up",83.8
"East Granby School District","=""0400011""","All Grades","Sit and Reach",82.4
"East Haddam School District","=""0410011""","All Grades","All Tests - District",33.0
"East Haddam School District","=""0410011""","All Grades","Curl Up",75.3
"East Haddam School District","=""0410011""","All Grades","Mile Run",69.8
"East Haddam School District","=""0410011""","All Grades","Push Up",48.6
"East Haddam School District","=""0410011""","All Grades","Sit and Reach",73.6
"East Hampton School District","=""0420011""","All Grades","All Tests - District",50.2
"East Hampton School District","=""0420011""","All Grades","Curl Up",70.8
"East Hampton School District","=""0420011""","All Grades","Mile Run",75.1
"East Hampton School District","=""0420011""","All Grades","Push Up",70.0
"East Hampton School District","=""0420011""","All Grades","Sit and Reach",88.0
"East Hartford School District","=""0430011""","All Grades","All Tests - District",48.9
"East Hartford School District","=""0430011""","All Grades","Curl Up",77.7
