"Physical Fitness Tests: Students Reaching Health Standard, 2015-16"
"All Districts, Push Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Push Up",54.8
"Amistad Academy District","=""2790013""","All Grades","Push Up",54.0
"Andover School District","=""0010011""","All Grades","Push Up",91.9
"Ansonia School District","=""0020011""","All Grades","Push Up",69.5
"Area Cooperative Educational Services","=""2440014""","All Grades","Push Up",49.5
"Ashford School District","=""0030011""","All Grades","Push Up",29.4
"Avon School District","=""0040011""","All Grades","Push Up",75.2
"Barkhamsted School District","=""0050011""","All Grades","Push Up",65.3
"Berlin School District","=""0070011""","All Grades","Push Up",76.0
"Bethany School District","=""0080011""","All Grades","Push Up",76.1
"Bethel School District","=""0090011""","All Grades","Push Up",62.9
"Bloomfield School District","=""0110011""","All Grades","Push Up",66.6
"Bolton School District","=""0120011""","All Grades","Push Up",69.1
"Bozrah School District","=""0130011""","All Grades","Push Up",88.5
"Branford School District","=""0140011""","All Grades","Push Up",76.7
"Bridgeport Achievement First District","=""2850013""","All Grades","Push Up",62.4
"Bridgeport School District","=""0150011""","All Grades","Push Up",57.1
"Bristol School District","=""0170011""","All Grades","Push Up",72.0
"Brookfield School District","=""0180011""","All Grades","Push Up",69.7
"Brooklyn School District","=""0190011""","All Grades","Push Up",48.5
"Canaan School District","=""0210011""","All Grades","Push Up",65.4
"Canterbury School District","=""0220011""","All Grades","Push Up",77.6
"Canton School District","=""0230011""","All Grades","Push Up",87.4
"Capitol Region Education Council","=""2410014""","All Grades","Push Up",66.5
"Chaplin School District","=""0240011""","All Grades","Push Up",67.6
"Cheshire School District","=""0250011""","All Grades","Push Up",79.8
"Chester School District","=""0260011""","All Grades","Push Up",71.8
"Clinton School District","=""0270011""","All Grades","Push Up",71.9
"Colchester School District","=""0280011""","All Grades","Push Up",81.6
"Colebrook School District","=""0290011""","All Grades","Push Up",84.0
"Columbia School District","=""0300011""","All Grades","Push Up",96.2
"Common Ground High School District","=""2680013""","All Grades","Push Up",38.8
"Connecticut Technical High School System","=""9000016""","All Grades","Push Up",68.7
"Cooperative Educational Services","=""2430014""","All Grades","Push Up",55.4
"Cornwall School District","=""0310011""","All Grades","Push Up",85.2
"Coventry School District","=""0320011""","All Grades","Push Up",77.4
"Cromwell School District","=""0330011""","All Grades","Push Up",81.5
"Danbury School District","=""0340011""","All Grades","Push Up",60.9
"Darien School District","=""0350011""","All Grades","Push Up",91.8
"Deep River School District","=""0360011""","All Grades","Push Up",86.8
"Derby School District","=""0370011""","All Grades","Push Up",69.8
"East Granby School District","=""0400011""","All Grades","Push Up",79.2
"East Haddam School District","=""0410011""","All Grades","Push Up",63.5
"East Hampton School District","=""0420011""","All Grades","Push Up",73.9
"East Hartford School District","=""0430011""","All Grades","Push Up",68.1
"East Haven School District","=""0440011""","All Grades","Push Up",72.5
"East Lyme School District","=""0450011""","All Grades","Push Up",87.8
"East Windsor School District","=""0470011""","All Grades","Push Up",61.1
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Push Up",67.2
