"Physical Fitness Tests: Students Reaching Health Standard, 2011-12"
"All Districts, Push Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2011-12"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Push Up",51.2
"Amistad Academy District","=""2790013""","All Grades","Push Up",60.3
"Andover School District","=""0010011""","All Grades","Push Up",76.4
"Ansonia School District","=""0020011""","All Grades","Push Up",66.6
"Area Cooperative Educational Services","=""2440014""","All Grades","Push Up",58.6
"Ashford School District","=""0030011""","All Grades","Push Up",84.2
"Avon School District","=""0040011""","All Grades","Push Up",73.0
"Barkhamsted School District","=""0050011""","All Grades","Push Up",70.6
"Berlin School District","=""0070011""","All Grades","Push Up",81.1
"Bethany School District","=""0080011""","All Grades","Push Up",56.6
"Bethel School District","=""0090011""","All Grades","Push Up",72.6
"Bloomfield School District","=""0110011""","All Grades","Push Up",78.2
"Bolton School District","=""0120011""","All Grades","Push Up",73.9
"Bozrah School District","=""0130011""","All Grades","Push Up",82.1
"Branford School District","=""0140011""","All Grades","Push Up",69.1
"Bridgeport Achievement First District","=""2850013""","All Grades","Push Up",61.4
"Bridgeport School District","=""0150011""","All Grades","Push Up",67.1
"Bristol School District","=""0170011""","All Grades","Push Up",77.1
"Brookfield School District","=""0180011""","All Grades","Push Up",79.8
"Brooklyn School District","=""0190011""","All Grades","Push Up",48.5
"Canaan School District","=""0210011""","All Grades","Push Up",80.0
"Canterbury School District","=""0220011""","All Grades","Push Up",73.6
"Canton School District","=""0230011""","All Grades","Push Up",92.2
"Capitol Region Education Council","=""2410014""","All Grades","Push Up",68.5
"Chaplin School District","=""0240011""","All Grades","Push Up",71.7
"Cheshire School District","=""0250011""","All Grades","Push Up",82.7
"Chester School District","=""0260011""","All Grades","Push Up",76.4
"Clinton School District","=""0270011""","All Grades","Push Up",72.0
"Colchester School District","=""0280011""","All Grades","Push Up",67.0
"Colebrook School District","=""0290011""","All Grades","Push Up",73.1
"Columbia School District","=""0300011""","All Grades","Push Up",92.1
"Common Ground High School District","=""2680013""","All Grades","Push Up",63.3
"Connecticut Technical High School System","=""9000016""","All Grades","Push Up",69.4
"Cooperative Educational Services","=""2430014""","All Grades","Push Up",88.6
"Cornwall School District","=""0310011""","All Grades","Push Up",78.6
"Coventry School District","=""0320011""","All Grades","Push Up",71.8
"Cromwell School District","=""0330011""","All Grades","Push Up",86.7
"Danbury School District","=""0340011""","All Grades","Push Up",62.8
"Darien School District","=""0350011""","All Grades","Push Up",88.4
