"Physical Fitness Tests: Students Reaching Health Standard, 2009-10"
"All Districts"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2009-10"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","All Tests - District","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Curl Up","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Mile Run","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Push Up","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Sit and Reach","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","All Tests - District",20.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Curl Up",77.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Mile Run",43.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Push Up",65.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Sit and Reach",67.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","All Tests - District","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Curl Up","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Mile Run","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Push Up","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Sit and Reach","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","All Tests - District","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Curl Up","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Mile Run","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Push Up","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Sit and Reach","N/A"
"Amistad Academy District","=""2790013""","Grade 4","All Tests - District","N/A"
"Amistad Academy District","=""2790013""","Grade 4","Curl Up","N/A"
"Amistad Academy District","=""2790013""","Grade 4","Mile Run","N/A"
"Amistad Academy District","=""2790013""","Grade 4","Push Up","N/A"
"Amistad Academy District","=""2790013""","Grade 4","Sit and Reach","N/A"
"Amistad Academy District","=""2790013""","Grade 6","All Tests - District",17.9
"Amistad Academy District","=""2790013""","Grade 6","Curl Up",43.6
"Amistad Academy District","=""2790013""","Grade 6","Mile Run",53.8
"Amistad Academy District","=""2790013""","Grade 6","Push Up",46.2
"Amistad Academy District","=""2790013""","Grade 6","Sit and Reach",48.7
"Amistad Academy District","=""2790013""","Grade 8","All Tests - District",36.1
"Amistad Academy District","=""2790013""","Grade 8","Curl Up",69.4
"Amistad Academy District","=""2790013""","Grade 8","Mile Run",66.7
"Amistad Academy District","=""2790013""","Grade 8","Push Up",66.7
"Amistad Academy District","=""2790013""","Grade 8","Sit and Reach",69.4
"Amistad Academy District","=""2790013""","Grade 10","All Tests - District","*"
"Amistad Academy District","=""2790013""","Grade 10","Curl Up",40.9
"Amistad Academy District","=""2790013""","Grade 10","Mile Run",36.4
"Amistad Academy District","=""2790013""","Grade 10","Push Up",86.4
"Amistad Academy District","=""2790013""","Grade 10","Sit and Reach",81.8
"Andover School District","=""0010011""","Grade 4","All Tests - District",40.0
"Andover School District","=""0010011""","Grade 4","Curl Up",52.5
"Andover School District","=""0010011""","Grade 4","Mile Run",77.5
"Andover School District","=""0010011""","Grade 4","Push Up",82.5
"Andover School District","=""0010011""","Grade 4","Sit and Reach",77.5
"Andover School District","=""0010011""","Grade 6","All Tests - District",72.9
"Andover School District","=""0010011""","Grade 6","Curl Up",77.1
"Andover School District","=""0010011""","Grade 6","Mile Run",100.0
"Andover School District","=""0010011""","Grade 6","Push Up",93.8
"Andover School District","=""0010011""","Grade 6","Sit and Reach",93.8
"Andover School District","=""0010011""","Grade 8","All Tests - District","N/A"
"Andover School District","=""0010011""","Grade 8","Curl Up","N/A"
"Andover School District","=""0010011""","Grade 8","Mile Run","N/A"
"Andover School District","=""0010011""","Grade 8","Push Up","N/A"
"Andover School District","=""0010011""","Grade 8","Sit and Reach","N/A"
