"Physical Fitness Tests: Students Reaching Health Standard, 2013-14"
"All Districts"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2013-14"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","All Tests - District",30.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Curl Up",52.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Mile Run",62.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Push Up",40.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Sit and Reach",71.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","All Tests - District",28.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Curl Up",71.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Mile Run",75.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Push Up",65.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Sit and Reach",78.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","All Tests - District",29.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Curl Up",74.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Mile Run",43.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Push Up",61.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Sit and Reach",87.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","All Tests - District","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Curl Up","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Mile Run","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Push Up","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Sit and Reach","N/A"
"Amistad Academy District","=""2790013""","Grade 4","All Tests - District",7.1
"Amistad Academy District","=""2790013""","Grade 4","Curl Up",32.9
"Amistad Academy District","=""2790013""","Grade 4","Mile Run",54.1
"Amistad Academy District","=""2790013""","Grade 4","Push Up",37.6
"Amistad Academy District","=""2790013""","Grade 4","Sit and Reach",54.1
"Amistad Academy District","=""2790013""","Grade 6","All Tests - District",37.5
"Amistad Academy District","=""2790013""","Grade 6","Curl Up",75.0
"Amistad Academy District","=""2790013""","Grade 6","Mile Run",58.3
"Amistad Academy District","=""2790013""","Grade 6","Push Up",54.2
"Amistad Academy District","=""2790013""","Grade 6","Sit and Reach",70.8
"Amistad Academy District","=""2790013""","Grade 8","All Tests - District","*"
"Amistad Academy District","=""2790013""","Grade 8","Curl Up","*"
"Amistad Academy District","=""2790013""","Grade 8","Mile Run","*"
"Amistad Academy District","=""2790013""","Grade 8","Push Up","*"
"Amistad Academy District","=""2790013""","Grade 8","Sit and Reach","*"
"Amistad Academy District","=""2790013""","Grade 10","All Tests - District",25.6
"Amistad Academy District","=""2790013""","Grade 10","Curl Up",43.6
"Amistad Academy District","=""2790013""","Grade 10","Mile Run",74.4
"Amistad Academy District","=""2790013""","Grade 10","Push Up",61.5
"Amistad Academy District","=""2790013""","Grade 10","Sit and Reach",56.4
"Andover School District","=""0010011""","Grade 4","All Tests - District",40.8
"Andover School District","=""0010011""","Grade 4","Curl Up",67.3
"Andover School District","=""0010011""","Grade 4","Mile Run",87.8
"Andover School District","=""0010011""","Grade 4","Push Up",81.6
"Andover School District","=""0010011""","Grade 4","Sit and Reach",89.8
"Andover School District","=""0010011""","Grade 6","All Tests - District",63.0
"Andover School District","=""0010011""","Grade 6","Curl Up",76.1
"Andover School District","=""0010011""","Grade 6","Mile Run",95.7
"Andover School District","=""0010011""","Grade 6","Push Up",80.4
"Andover School District","=""0010011""","Grade 6","Sit and Reach",97.8
"Andover School District","=""0010011""","Grade 8","All Tests - District","N/A"
"Andover School District","=""0010011""","Grade 8","Curl Up","N/A"
"Andover School District","=""0010011""","Grade 8","Mile Run","N/A"
"Andover School District","=""0010011""","Grade 8","Push Up","N/A"
"Andover School District","=""0010011""","Grade 8","Sit and Reach","N/A"
"Andover School District","=""0010011""","Grade 10","All Tests - District","N/A"
"Andover School District","=""0010011""","Grade 10","Curl Up","N/A"
"Andover School District","=""0010011""","Grade 10","Mile Run","N/A"
"Andover School District","=""0010011""","Grade 10","Push Up","N/A"
"Andover School District","=""0010011""","Grade 10","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Grade 4","All Tests - District",26.3
"Ansonia School District","=""0020011""","Grade 4","Curl Up",73.7
"Ansonia School District","=""0020011""","Grade 4","Mile Run",78.2
"Ansonia School District","=""0020011""","Grade 4","Push Up",43.6
"Ansonia School District","=""0020011""","Grade 4","Sit and Reach",80.8
"Ansonia School District","=""0020011""","Grade 6","All Tests - District",17.8
"Ansonia School District","=""0020011""","Grade 6","Curl Up",63.3
"Ansonia School District","=""0020011""","Grade 6","Mile Run",57.2
"Ansonia School District","=""0020011""","Grade 6","Push Up",51.1
"Ansonia School District","=""0020011""","Grade 6","Sit and Reach",76.7
"Ansonia School District","=""0020011""","Grade 8","All Tests - District",41.9
"Ansonia School District","=""0020011""","Grade 8","Curl Up",89.0
"Ansonia School District","=""0020011""","Grade 8","Mile Run",52.3
"Ansonia School District","=""0020011""","Grade 8","Push Up",66.9
"Ansonia School District","=""0020011""","Grade 8","Sit and Reach",87.8
"Ansonia School District","=""0020011""","Grade 10","All Tests - District",60.5
"Ansonia School District","=""0020011""","Grade 10","Curl Up",95.3
"Ansonia School District","=""0020011""","Grade 10","Mile Run",71.3
"Ansonia School District","=""0020011""","Grade 10","Push Up",79.1
"Ansonia School District","=""0020011""","Grade 10","Sit and Reach",90.7
"Area Cooperative Educational Services","=""2440014""","Grade 4","All Tests - District",33.3
"Area Cooperative Educational Services","=""2440014""","Grade 4","Curl Up",81.3
"Area Cooperative Educational Services","=""2440014""","Grade 4","Mile Run",48.0
"Area Cooperative Educational Services","=""2440014""","Grade 4","Push Up",76.0
"Area Cooperative Educational Services","=""2440014""","Grade 4","Sit and Reach",82.7
"Area Cooperative Educational Services","=""2440014""","Grade 6","All Tests - District",35.0
"Area Cooperative Educational Services","=""2440014""","Grade 6","Curl Up",82.2
"Area Cooperative Educational Services","=""2440014""","Grade 6","Mile Run",58.1
"Area Cooperative Educational Services","=""2440014""","Grade 6","Push Up",52.2
"Area Cooperative Educational Services","=""2440014""","Grade 6","Sit and Reach",75.9
"Area Cooperative Educational Services","=""2440014""","Grade 8","All Tests - District",38.6
"Area Cooperative Educational Services","=""2440014""","Grade 8","Curl Up",81.6
"Area Cooperative Educational Services","=""2440014""","Grade 8","Mile Run",62.8
"Area Cooperative Educational Services","=""2440014""","Grade 8","Push Up",54.9
"Area Cooperative Educational Services","=""2440014""","Grade 8","Sit and Reach",82.9
"Area Cooperative Educational Services","=""2440014""","Grade 10","All Tests - District","N/A"
"Area Cooperative Educational Services","=""2440014""","Grade 10","Curl Up","N/A"
"Area Cooperative Educational Services","=""2440014""","Grade 10","Mile Run","N/A"
"Area Cooperative Educational Services","=""2440014""","Grade 10","Push Up","N/A"
"Area Cooperative Educational Services","=""2440014""","Grade 10","Sit and Reach","N/A"
"Ashford School District","=""0030011""","Grade 4","All Tests - District",50.0
"Ashford School District","=""0030011""","Grade 4","Curl Up",84.2
"Ashford School District","=""0030011""","Grade 4","Mile Run",81.6
"Ashford School District","=""0030011""","Grade 4","Push Up",52.6
"Ashford School District","=""0030011""","Grade 4","Sit and Reach",94.7
"Ashford School District","=""0030011""","Grade 6","All Tests - District",40.6
"Ashford School District","=""0030011""","Grade 6","Curl Up",43.8
"Ashford School District","=""0030011""","Grade 6","Mile Run",56.3
"Ashford School District","=""0030011""","Grade 6","Push Up",84.4
"Ashford School District","=""0030011""","Grade 6","Sit and Reach",93.8
"Ashford School District","=""0030011""","Grade 8","All Tests - District",45.5
"Ashford School District","=""0030011""","Grade 8","Curl Up",72.7
"Ashford School District","=""0030011""","Grade 8","Mile Run",65.9
"Ashford School District","=""0030011""","Grade 8","Push Up",86.4
"Ashford School District","=""0030011""","Grade 8","Sit and Reach",77.3
"Ashford School District","=""0030011""","Grade 10","All Tests - District","N/A"
"Ashford School District","=""0030011""","Grade 10","Curl Up","N/A"
"Ashford School District","=""0030011""","Grade 10","Mile Run","N/A"
"Ashford School District","=""0030011""","Grade 10","Push Up","N/A"
"Ashford School District","=""0030011""","Grade 10","Sit and Reach","N/A"
"Avon School District","=""0040011""","Grade 4","All Tests - District",47.2
"Avon School District","=""0040011""","Grade 4","Curl Up",88.1
"Avon School District","=""0040011""","Grade 4","Mile Run",86.9
"Avon School District","=""0040011""","Grade 4","Push Up",63.9
"Avon School District","=""0040011""","Grade 4","Sit and Reach",77.8
"Avon School District","=""0040011""","Grade 6","All Tests - District",75.2
"Avon School District","=""0040011""","Grade 6","Curl Up",95.7
"Avon School District","=""0040011""","Grade 6","Mile Run",96.1
"Avon School District","=""0040011""","Grade 6","Push Up",88.3
"Avon School District","=""0040011""","Grade 6","Sit and Reach",81.7
"Avon School District","=""0040011""","Grade 8","All Tests - District",54.6
"Avon School District","=""0040011""","Grade 8","Curl Up",73.6
"Avon School District","=""0040011""","Grade 8","Mile Run",93.2
"Avon School District","=""0040011""","Grade 8","Push Up",92.9
"Avon School District","=""0040011""","Grade 8","Sit and Reach",71.1
"Avon School District","=""0040011""","Grade 10","All Tests - District",52.1
"Avon School District","=""0040011""","Grade 10","Curl Up",93.2
"Avon School District","=""0040011""","Grade 10","Mile Run",70.3
"Avon School District","=""0040011""","Grade 10","Push Up",78.0
"Avon School District","=""0040011""","Grade 10","Sit and Reach",81.8
"Barkhamsted School District","=""0050011""","Grade 4","All Tests - District",41.9
"Barkhamsted School District","=""0050011""","Grade 4","Curl Up",88.4
"Barkhamsted School District","=""0050011""","Grade 4","Mile Run",67.4
"Barkhamsted School District","=""0050011""","Grade 4","Push Up",53.5
"Barkhamsted School District","=""0050011""","Grade 4","Sit and Reach",74.4
"Barkhamsted School District","=""0050011""","Grade 6","All Tests - District",47.2
"Barkhamsted School District","=""0050011""","Grade 6","Curl Up",91.7
"Barkhamsted School District","=""0050011""","Grade 6","Mile Run",66.7
"Barkhamsted School District","=""0050011""","Grade 6","Push Up",66.7
"Barkhamsted School District","=""0050011""","Grade 6","Sit and Reach",75.0
"Barkhamsted School District","=""0050011""","Grade 8","All Tests - District","N/A"
"Barkhamsted School District","=""0050011""","Grade 8","Curl Up","N/A"
"Barkhamsted School District","=""0050011""","Grade 8","Mile Run","N/A"
"Barkhamsted School District","=""0050011""","Grade 8","Push Up","N/A"
"Barkhamsted School District","=""0050011""","Grade 8","Sit and Reach","N/A"
"Barkhamsted School District","=""0050011""","Grade 10","All Tests - District","N/A"
"Barkhamsted School District","=""0050011""","Grade 10","Curl Up","N/A"
"Barkhamsted School District","=""0050011""","Grade 10","Mile Run","N/A"
"Barkhamsted School District","=""0050011""","Grade 10","Push Up","N/A"
"Barkhamsted School District","=""0050011""","Grade 10","Sit and Reach","N/A"
"Berlin School District","=""0070011""","Grade 4","All Tests - District",76.1
"Berlin School District","=""0070011""","Grade 4","Curl Up",96.7
"Berlin School District","=""0070011""","Grade 4","Mile Run",86.9
"Berlin School District","=""0070011""","Grade 4","Push Up",84.0
"Berlin School District","=""0070011""","Grade 4","Sit and Reach",95.8
"Berlin School District","=""0070011""","Grade 6","All Tests - District",49.0
"Berlin School District","=""0070011""","Grade 6","Curl Up",90.4
"Berlin School District","=""0070011""","Grade 6","Mile Run",81.8
"Berlin School District","=""0070011""","Grade 6","Push Up",66.7
"Berlin School District","=""0070011""","Grade 6","Sit and Reach",72.7
"Berlin School District","=""0070011""","Grade 8","All Tests - District",59.2
"Berlin School District","=""0070011""","Grade 8","Curl Up",90.8
"Berlin School District","=""0070011""","Grade 8","Mile Run",83.5
"Berlin School District","=""0070011""","Grade 8","Push Up",71.4
"Berlin School District","=""0070011""","Grade 8","Sit and Reach",87.4
"Berlin School District","=""0070011""","Grade 10","All Tests - District",56.1
